"rownum","Id","AudioEvent","HASH32"
0,"BoneShatterStun",257,4201952193
1,"MagmaBarrierBlock",267,3930982759
2,"ShieldDrumArmourBroken",263,77831965
3,"SkeletalBruteStun",206,2592481281
4,"SkeletalClericRevive",210,982105551
5,"SkeletonResummon",190,1108045582
6,"IceNovaFrostBolt",251,656542665
7,"LightningWarpSuccess",253,3292673204
8,"LightningWarpFail",254,2099612631
9,"SnipeFailure",288,700394792
10,"SnipeSuccess",291,1385059030
11,"SnipeSuccessHit",292,1794762153
12,"PerfectStrikeFail",271,1731975944
13,"PerfectStrikeSuccess",272,709844548
14,"UnearthConstructs",216,4083564587
