"rownum","BaseItemType","CritChance","WeaponClass","Speed","DamageMin","DamageMax","RangeMax","ReloadTime"
0,366,500,7,833,1,1,16,0
1,367,500,4,909,3,28,13,0
2,368,500,9,833,10,18,13,0
3,1158,600,1,667,5,10,10,0
4,1460,700,4,588,0,0,13,0
5,1461,700,7,625,0,0,16,0
6,2664,500,4,645,6,9,13,0
7,1935,500,4,645,6,9,13,0
8,1936,500,4,625,8,13,13,0
9,1937,500,4,667,11,20,13,0
10,1938,500,4,645,14,23,13,0
11,1939,500,4,625,19,34,13,0
12,1940,500,4,667,18,38,13,0
13,1941,500,4,667,27,37,13,0
14,1942,500,4,645,27,45,13,0
15,1943,500,4,667,33,49,13,0
16,1944,500,4,606,26,55,13,0
17,1945,500,4,625,30,56,13,0
18,1946,500,4,667,36,60,13,0
19,1947,500,4,645,43,65,13,0
20,1948,500,4,645,45,67,13,0
21,1949,500,4,645,48,71,13,0
22,1950,500,4,645,51,76,13,0
23,1951,500,4,645,51,76,13,0
24,1952,500,4,645,51,76,13,0
25,1953,500,4,645,51,76,13,0
26,1954,500,4,645,49,74,13,0
27,1955,500,4,645,51,76,13,0
28,1956,500,7,769,9,16,16,0
29,1957,500,7,741,13,23,16,0
30,1958,500,7,769,19,32,16,0
31,1959,500,7,800,25,42,16,0
32,1960,500,7,769,28,52,16,0
33,1961,500,7,741,31,58,16,0
34,1962,500,7,769,40,67,16,0
35,1963,500,7,800,49,73,16,0
36,1964,500,7,769,45,94,16,0
37,1965,500,7,800,55,103,16,0
38,1966,500,7,769,51,106,16,0
39,1967,500,7,741,61,92,16,0
40,1968,500,7,769,72,119,16,0
41,1969,500,7,769,74,123,16,0
42,1970,500,7,769,78,131,16,0
43,1971,500,7,769,83,139,16,0
44,1972,500,7,769,83,139,16,0
45,1973,500,7,769,83,139,16,0
46,1974,500,7,769,83,139,16,0
47,1975,500,7,769,81,135,16,0
48,1976,500,7,769,83,139,16,0
49,1977,500,2,667,4,10,13,0
50,1978,500,2,690,5,14,13,0
51,1979,500,2,690,8,21,13,0
52,1980,500,2,667,8,25,13,0
53,1981,500,2,667,13,31,13,0
54,1982,650,2,714,18,37,13,0
55,1983,500,2,667,19,44,13,0
56,1984,500,2,667,20,42,13,0
57,1985,500,2,645,24,55,13,0
58,1986,500,2,645,30,62,13,0
59,1987,500,2,667,28,65,13,0
60,1988,500,2,667,26,69,13,0
61,1989,500,2,667,34,79,13,0
62,1990,500,2,667,35,81,13,0
63,1991,500,2,667,37,86,13,0
64,1992,500,2,667,39,91,13,0
65,1993,500,2,667,39,91,13,0
66,1994,500,2,667,39,91,13,0
67,1995,500,2,667,39,91,13,0
68,1996,500,2,667,38,89,13,0
69,1997,500,2,667,39,91,13,0
70,1998,500,5,833,8,20,15,0
71,1999,500,5,800,10,25,15,0
72,2000,500,5,833,10,41,15,0
73,2001,500,5,870,17,59,15,0
74,2002,500,5,833,19,64,15,0
75,2003,500,5,833,23,70,15,0
76,2004,650,5,833,27,91,15,0
77,2005,500,5,870,43,99,15,0
78,2006,500,5,833,43,113,15,0
79,2007,500,5,833,58,154,15,0
80,2008,500,5,833,53,123,15,0
81,2009,500,5,833,48,143,15,0
82,2010,500,5,833,59,155,15,0
83,2011,500,5,833,60,159,15,0
84,2012,500,5,833,64,170,15,0
85,2013,500,5,833,68,180,15,0
86,2014,500,5,833,68,180,15,0
87,2015,500,5,833,68,180,15,0
88,2016,500,5,833,68,180,15,0
89,2017,500,5,833,67,176,15,0
90,2018,500,5,833,68,180,15,0
91,2019,500,3,690,6,10,13,0
92,2020,500,3,690,11,18,13,0
93,2021,500,3,645,11,17,13,0
94,2022,500,3,690,15,24,13,0
95,2023,700,3,690,18,24,13,0
96,2024,500,3,714,18,38,13,0
97,2025,500,3,690,28,38,13,0
98,2026,500,3,714,31,38,13,0
99,2027,650,3,690,33,49,13,0
100,2028,500,3,690,31,51,13,0
101,2029,500,3,690,36,60,13,0
102,2030,500,3,690,40,60,13,0
103,2031,500,3,690,44,73,13,0
104,2032,500,3,690,44,209,13,0
105,2033,500,3,690,44,73,13,0
106,2034,500,3,690,44,73,13,0
107,2035,500,3,690,85,403,13,0
108,2036,500,3,690,44,73,13,0
109,2037,500,3,690,54,91,13,0
110,2038,500,3,690,33,55,13,0
111,2039,500,6,909,13,18,15,0
112,2040,500,6,1000,16,30,15,0
113,2041,500,6,952,26,35,15,0
114,2042,500,6,909,32,48,15,0
115,2043,500,6,952,36,49,15,0
116,2044,500,6,833,35,72,15,0
117,2045,500,6,909,58,78,15,0
118,2046,800,6,909,62,75,15,0
119,2047,650,6,909,68,102,15,0
120,2048,500,6,909,77,105,15,0
121,2049,500,6,909,74,124,15,0
122,2050,500,6,909,87,118,15,0
123,2051,500,6,909,96,144,15,0
124,2052,500,11,625,5,9,15,0
125,2053,500,11,625,9,12,15,0
126,2054,500,11,645,10,17,15,0
127,2055,500,11,588,12,22,15,0
128,2056,500,11,625,16,27,15,0
129,2057,500,11,645,13,38,15,0
130,2058,600,11,667,20,38,15,0
131,2059,500,11,714,32,48,15,0
132,2060,500,11,625,25,52,15,0
133,2061,700,11,625,29,53,15,0
134,2062,500,11,625,30,56,15,0
135,2063,500,11,625,23,91,15,0
136,2064,500,11,625,37,68,15,0
137,2065,500,8,606,4,10,11,0
138,2066,500,8,588,4,16,11,0
139,2067,500,8,625,7,23,11,0
140,2068,500,8,645,10,26,11,0
141,2069,500,8,625,13,31,11,0
142,2070,500,8,588,11,38,11,0
143,2071,500,8,606,12,46,11,0
144,2072,500,8,645,16,49,11,0
145,2073,500,8,625,23,54,11,0
146,2074,500,8,588,25,52,11,0
147,2075,500,8,645,27,63,11,0
148,2076,500,8,625,23,68,11,0
149,2077,500,8,606,23,79,11,0
150,2078,1500,1,645,3,10,10,0
151,2079,1500,1,645,4,15,10,0
152,2080,1500,1,645,8,19,10,0
153,2081,1350,1,606,8,22,10,0
154,2082,1500,1,645,11,26,10,0
155,2083,1350,1,645,11,34,10,0
156,2084,1500,1,645,13,39,10,0
157,2085,1500,1,667,18,42,10,0
158,2086,1500,1,667,19,44,10,0
159,2087,1500,1,606,16,48,10,0
160,2088,1500,1,645,16,55,10,0
161,2089,1500,1,645,22,52,10,0
162,2090,1500,1,645,21,62,10,0
163,2091,1500,1,645,21,63,10,0
164,2092,1500,1,645,22,66,10,0
165,2093,1500,1,645,23,69,10,0
166,2094,1500,1,645,23,69,10,0
167,2095,1500,1,645,23,69,10,0
168,2096,1500,1,645,23,69,10,0
169,2097,1500,1,645,23,68,10,0
170,2098,1500,1,645,23,69,10,0
171,2099,1000,10,714,7,12,14,0
172,2100,1000,10,714,9,18,14,0
173,2101,1200,10,714,16,26,14,0
174,2102,1000,10,714,5,22,14,0
175,2103,1000,10,667,19,39,14,0
176,2104,1000,10,714,28,51,14,0
177,2105,1000,10,714,29,60,14,0
178,2106,1000,10,714,35,58,14,0
179,2107,1000,10,769,39,81,14,0
180,2108,0,10,667,59,79,14,0
181,2109,1000,10,714,47,79,14,0
182,2110,1000,10,714,47,87,14,0
183,2111,1000,10,714,57,94,14,0
184,2112,1000,13,690,6,9,13,0
185,2113,1000,13,690,8,14,13,0
186,2114,1000,13,690,10,17,13,0
187,2115,1000,13,690,14,23,13,0
188,2116,1000,13,714,8,18,13,0
189,2117,800,13,667,19,32,13,0
190,2118,1000,13,690,23,38,13,0
191,2119,1000,13,690,23,44,13,0
192,2120,1000,13,714,31,57,13,0
193,2121,1000,13,690,24,55,13,0
194,2122,1250,13,714,27,56,13,0
195,2123,1000,13,690,35,58,13,0
196,2124,1000,13,690,36,66,13,0
197,2125,1000,13,690,37,68,13,0
198,2126,1000,13,690,39,72,13,0
