"rownum","Id","Act","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","QuestId","bool_32","Type","[i32]_49","i32_65","TrackerGroup","bool_85","bool_86","NormalReward","QuestFlag"
0,"TheMiller",1,"Reaching Clearfell","Atteindre la Clairière","Nach Lichtfall gelangen","クリアフェルに到着","클리어펠을 향해","Chegando em Clearfell","Дорога в Клирфелл","Llegar a Sierraclara","ไปสู่เคลียร์เฟล","抵達皆伐","Art/2DArt/QuestIcons/Four/Miller.dds",0,"",0,[],56,"","","",[5],[]
1,"MudBurrower",1,"Treacherous Ground","Terrain périlleux","Trügerischer Boden","危険な地面","변덕스러운 대지","Chão Perigoso","Опасное место","Suelo traicionero","พื้นดินมหาภัย","險惡之地","Art/2DArt/QuestIcons/Four/TreacherousGround.dds",0,"",1,[],56,"","","","[7,0]",[]
2,"TreeOfSouls",1,"Secrets in the Dark","Sombres secrets","Geheimnisse in der Dunkelheit","闇の中の秘密","어둠 속의 비밀","Segredos nas Trevas","Тайны в темноте","Secretos en la oscuridad","ความลับในเงามืด","黑暗中的秘密","Art/2DArt/QuestIcons/Four/TreeofSouls.dds",0,"",0,[],56,"","","",[],[]
3,"TreeOfSouls2",1,"Secrets in the Dark","Sombres secrets","Geheimnisse in der Dunkelheit","闇の中の秘密","어둠 속의 비밀","Segredos nas Trevas","Тайны в темноте","Secretos en la oscuridad","ความลับในเงามืด","黑暗中的秘密","",0,"",0,[],56,"","","",[],[]
4,"ReviveHoodedMentor",1,"The Mysterious Shade","L'Ombre mystérieuse","Der geheimnisvolle Schatten","謎めいた陰","수수께끼의 그늘","A Penumbra Misteriosa","Загадочная тень","La sombra misteriosa","วิญญาณมืดลี้ลับ","神祕的影魅","Art/2DArt/QuestIcons/Four/MysteriousShade.dds",0,"",0,[],56,"","","",[],[]
5,"RenlysTools",1,"Finding the Forge","Trouver la Forge","Die Schmiede suchen","鍜治場探し","대장간 찾기","Busca pela Forja","Поиск кузницы","En busca de la forja","ตามหาเตาหลอม","尋找熔爐","Art/2DArt/QuestIcons/Four/RenlysTools.dds",0,"",1,[],56,"","","",[21],[]
6,"UnaLute",1,"The Lost Lute","Le Luth perdu","Die verlorene Laute","失くしたリュート","잃어버린 류트","O Alaúde Perdido","Потерянная лютня","El laúd perdido","ลูทที่สาบสูญ","遺失的魯特琴","Art/2DArt/QuestIcons/Four/UnaLute.dds",0,"",1,[],56,"","","",[4],[]
7,"GraveyardFight",1,"Sorrow Among Stones","Malheureux comme les pierres","Kummer unter Steinen","石の中の悲しみ","돌들 사이의 슬픔","Pesar entre Pedras","Печаль среди могил","Lamentos entre lápidas","เศร้าโศกในศิลา","石頭上的悲傷","Art/2DArt/QuestIcons/Four/SorrowAmongStones.dds",0,"",0,[],56,"","","",[5],[]
8,"TheOutcast",1,"Ominous Altars","Autels menaçants","Ominöse Altäre","不吉な祭壇","불길한 제단","Altares Sinistros","Зловещие алтари","Altares siniestros","แท่นอัปมงคล","不祥祭壇","Art/2DArt/QuestIcons/Four/Outcast.dds",0,"",1,[],56,"","","","[23,24]",[]
9,"TheExecutioner",1,"The Trail of Corruption","La piste de la Corruption","Auf der Spur der Verderbtheit","穢れの痕跡","타락의 흔적","A Trilha da Corrupção","След Порчи","El rastro de la corrupción","ตามรอยมลทิน","腐化痕跡","Art/2DArt/QuestIcons/Four/GuillotineExcecutioner.dds",0,"",0,[],56,"","","",[5],[]
10,"TheIronCount",1,"The Mad Wolf of Ogham","Le Loup enragé d'Ogham","Der wahnsinnige Wolf von Ogham","オガムの狂狼","오검의 미친 늑대","O Lobo Louco de Ogham","Безумный волк Огама","El lobo rabioso de Ogham","หมาป่าคลั่งแห่งอ็อกแฮม","奧格姆的狂狼","Art/2DArt/QuestIcons/Four/IronCount.dds",0,"",0,[],56,"","","",[],[]
11,"GoToAct2",1,"[DNT-UNUSED] The Mysterious Boat","WIP","[DNT-UNUSED] The Mysterious Boat","[DNT-UNUSED] The Mysterious Boat","WIP","[DNT-UNUSED]","[DNT-UNUSED] The Mysterious Boat","[DNT-UNUSED] The Mysterious Boat","DNT","WIP","",0,"",0,[],56,"","","",[],[]
12,"SentToG2_4",2,"[DNT-UNUSED] Treasure Hunter","WIP","[DNT-UNUSED] Treasure Hunter","[DNT-UNUSED] Treasure Hunter","WIP","[DNT-UNUSED]","[DNT-UNUSED] Treasure Hunter","[DNT-UNUSED] Treasure Hunter","DNT","WIP","",0,"",0,[],56,"","","",[],[]
13,"SentToG2_5",2,"[DNT-UNUSED] Matriarch 1","WIP","[DNT-UNUSED] Matriarch 1","[DNT-UNUSED] Matriarch 1","WIP","[DNT-UNUSED]","[DNT-UNUSED] Matriarch 1","[DNT-UNUSED] Matriarch 1","DNT","WIP","",0,"",0,[],56,"","","",[],[]
14,"SentToG2_6",2,"[DNT-UNUSED] Matriarch 2","WIP","[DNT-UNUSED] Matriarch 2","[DNT-UNUSED] Matriarch 2","WIP","[DNT-UNUSED]","[DNT-UNUSED] Matriarch 2","[DNT-UNUSED] Matriarch 2","DNT","WIP","",0,"",0,[],56,"","","",[],[]
15,"SentToG2_8",2,"[DNT-UNUSED] Matriarch 3","WIP","[DNT-UNUSED] Matriarch 3","[DNT-UNUSED] Matriarch 3","WIP","[DNT-UNUSED]","[DNT-UNUSED] Matriarch 3","[DNT-UNUSED] Matriarch 3","DNT","WIP","",0,"",0,[],56,"","","",[],[]
16,"CaravanRescue",2,"Earning Passage","Digne de passage","Mitreise verdienen","乗船許可を得る","통행의 자격","Conquistando a Passagem","Плата за проезд","Ganarse el pasaje","เปิดทางสร้างโอกาส","獲得通行許可","Art/2DArt/QuestIcons/Four/CaravanRescue.dds",0,"",0,[],56,"","","",[5],[]
17,"OpenTheDesertGates",2,"The Trail of Corruption","La Piste de la Corruption","Auf der Spur der Verderbtheit","穢れの痕跡","타락의 흔적","A Trilha da Corrupção","След Порчи","El rastro de la corrupción","ตามรอยมลทิน","腐化痕跡","Art/2DArt/QuestIcons/Four/OpenDesertGates.dds",0,"",0,[],56,"","","",[],[]
18,"BurnTheWaterGoddess",2,"The City of Seven Waters","La Cité des sept rivières","Die Stadt der sieben Wasser","七つの川の都市","일곱 갈래 물의 도시","A Cidade das Sete Águas","Город Семи вод","La ciudad de los siete ríos","นครเจ็ดสายธาร","七大水域之都","Art/2DArt/QuestIcons/Four/WaterGoddess.dds",0,"",0,[],56,"","","",[7],[]
19,"StealTheMastodonTusks",2,"A Theft of Ivory","Vol d'ivoire","Der Diebstahl von Elfenbein","象牙の盗難","상아 도둑","O Roubo do Marfim","Кража слоновой кости","Un robo de marfil","ฉกฉวยงาช้าง","象牙盜匪","Art/2DArt/QuestIcons/Four/TheftofIvory.dds",0,"",0,[],56,"","","",[7],[]
20,"PryTheFlameRuby",2,"A Crown of Stone","Une Couronne de pierres","Eine Krone aus Stein","石の冠","돌의 왕관","Uma Coroa de Pedra","Каменная жемчужина","Una corona de piedra","มงกุฎศิลา","石皇冠","Art/2DArt/QuestIcons/Four/FlameRuby.dds",0,"",0,[],56,"","","",[7],[]
21,"KillTheTraitor",2,"The Forgotten Prisoner","La Prisonnière oubliée","Der Vergessene Gefangene","忘れ去られた囚人","잊혀진 포로","A Prisioneira Esquecida","Забытая узница","La prisionera olvidada","นักโทษผู้ถูกลืม","被遺忘的囚犯","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",0,[],56,"","","",[],[]
22,"DjinnHunter",2,"Back in the Bottle","Retour dans la Lampe","Zurück in der Flasche","瓶に戻す","다시 병 속으로","De Volta à Garrafa","Обратно в бутылку","De vuelta a la botella","ไล่กลับลงขวด","返回瓶中","Art/2DArt/QuestIcons/BackintheBottle.dds",0,"",0,[],56,"","","",[],[]
23,"FindTheSuicideNote",2,"Tradition's Toll","Le Poids des traditions","Der Tribut der Tradition","伝統の犠牲者","관례의 대가","O Preço da Tradição","Дань традиции","El precio de la tradición","โทษประเพณี","傳統的代價","Art/2DArt/QuestIcons/Four/TraditionsToll.dds",0,"",1,[],56,"","","",[4],[]
24,"MysteriousRelics",2,"Ancient Vows","Anciennes promesses","Uralte Gelübde","古代の誓い","고대의 맹세","Votos Antigos","Старинные обеты","Promesas antiguas","คำสาบานแต่โบราณ","遠古誓言","Art/2DArt/QuestIcons/Four/Medallion.dds",0,"",1,[],56,"","","",[9],[]
25,"AscentToPower",2,"Ascent to Power","Montée en puissance","Aufstieg zur Macht","力の獲得","힘의 상승","Ascenda ao Poder","Восхождение к власти","Ascenso al poder","ขึ้นครองอำนาจ","崛起掌權","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",6,"[1,3]",56,"","","",[],[]
26,"SearchForTheVaalRepository",3,"Legacy of the Vaal","L'Héritage des Vaal","Das Vermächtnis der Vaal","ヴァールの遺産","바알의 유산","Legado dos Vaal","Наследие ваал","Legado de los vaal","มรดกตกทอดแห่งวาล์","瓦爾的傳承","Art/2DArt/QuestIcons/Four/LegacyoftheVaal.dds",0,"",0,[],56,"","","",[],[]
27,"JungleDepthsLandmark",3,"","","","","","","","","","","Art/2DArt/QuestIcons/base.dds",0,"",1,[],56,"","","",[],[]
28,"CleanseTheSnakePit",3,"The Slithering Dead","Les Morts serpentants","Die gleitenden Toten","蛇まみれの死者","기어가는 망자","Os Mortos Rastejantes","Ползучие мертвецы","Los muertos reptantes","ศพเลื้อยคลาน","滑行死者","Art/2DArt/QuestIcons/Four/DenofSnakes.dds",0,"",1,[],56,"","","","[9,2]",[]
29,"RaidTheTreasureVault",3,"Treasures of Utzaal","Les Trésors d'Utzaal","Schätze von Utzaal","ウトザールの財宝","웃자알의 보물","Tesouros de Utzaal","Сокровища Утцааля","Tesoros de Utzaal","สมบัติแห่งอุทซาล","奧札爾寶藏","Art/2DArt/QuestIcons/Four/TreasureVault.dds",0,"",1,[],56,"","","","[6,1,3]",[]
30,"KillTheBogWitch",3,"Tribal Vengeance","Vengeance tribale","Rache der Stämme","部族の復讐","부족의 복수","Vingança Tribal","Возмездие племени","Venganza tribal","ล้างแค้นแทนเผ่า","部落復仇","Art/2DArt/QuestIcons/Four/TribalVengeance.dds",0,"",1,[],56,"","","","[13,25]",[]
31,"FindTheSpearPieces",4,"The Search","La Recherche","Die Suche","捜索","탐색","A Busca","Поиски","La búsqueda","แสวงศัสตราวุธ","大搜索","Art/2DArt/QuestIcons/Four/SettingSail.dds",0,"",0,[],56,"","","",[],[]
32,"Act4KillGoblinBeast",4,"The Blind Beast","La Bête aveugle","Die blinde Bestie","盲目の獣","눈먼 짐승","A Fera Cega","Слепой зверь","La bestia ciega","สัตว์ร้ายตาบอด","眼盲巨獸","Art/2DArt/QuestIcons/Four/BlindBeast.dds",0,"",1,[],56,"","","",[],[]
33,"Act4ScourgeSkies",4,"Shrike Island","L'Île des Pies-grièches","Würgerinsel","モズの島","때까치 섬","Ilha dos Peneireiros","Остров сорокопутов","Isla de los alcaudones","เกาะไชร์ค","伯勞鳥之島","Art/2DArt/QuestIcons/Four/ScourgeoftheSky.dds",0,"",0,[],56,"","","",[],[]
34,"Act4KillGoblinGiant",4,"Land of the Kin","La Terre des Kins","Land der Kin","キンの地","혈족의 땅","Terra do Clã da Família","Земли Рода","La tierra del clan","ดินแดนแห่งคิน","金氏族地","Art/2DArt/QuestIcons/Four/GoblinBoss.dds",0,"",0,[],56,"","","",[],[]
35,"Act4VisitArastas",4,"Utopia","Utopie","Utopia","ユートピア","유토피아","Utopia","Утопия","Utopía","แดนสุขาวดี","烏托邦","Art/2DArt/QuestIcons/Four/PreacherDirectsYouToAratas.dds",0,"",0,[],56,"","","",[],[]
36,"Act4KillSiren",4,"Whakapanu Island","L'Île de Whakapanu","Insel Whakapanu","ワーカパヌ島","와카파누 섬","Ilha Whakapanu","Остров Вакапану","Isla Whakapanu","เกาะฟาคาปานู","瓦卡帕努島","Art/2DArt/QuestIcons/Four/Siren.dds",0,"",1,[],56,"","","",[],[]
37,"Act4KillPrisoner",4,"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","La prisión abandonada","เรือนจำร้าง","廢棄監獄","Art/2DArt/QuestIcons/Four/Prisoner.dds",0,"",1,[],56,"","","",[],[]
38,"Act4KillPrisonerLocalQuest",4,"The Prisoner","Le Prisonnier","Der Häftling","囚人","포로","O Prisioneiro","Узник","El prisionero","นักโทษฉกรรจ์","囚犯","Art/2DArt/QuestIcons/Four/Prisoner.dds",0,"",3,[],56,"",1,"",[],[]
39,"Act4RescueMedicineWoman",4,"Tribal Medicine","Médecine tribale","Stammesmedizin","部族の薬","부족의 의술","Remédio Tribal","Племенное лекарство","Medicina tribal","ยาชนเผ่า","部落藥術","Art/2DArt/QuestIcons/Four/MedicineWoman.dds",0,"",1,[],56,"","","",[],[]
40,"Act4DeliriumUnlock",4,"Dark Mists","Les Brumes obscures","Dunkle Nebel","闇の霧","어둑한 안개","Brumas Sombrias","Тёмные туманы","Nieblas oscuras","หมอกมืดมน","暗黑迷霧","Art/2DArt/QuestIcons/Four/Delirium.dds",0,"",0,[],56,"","","","[0,33,5]",[]
41,"Act4DeliriumUnlockEmotions",4,"Dark Mists","Les Brumes obscures","Dunkle Nebel","闇の霧","어둑한 안개","Brumas Sombrias","Тёмные туманы","Nieblas oscuras","หมอกมืดมน","暗黑迷霧","Art/2DArt/QuestIcons/Four/Delirium.dds",0,"",0,[],56,"","","",[],[]
42,"Act4TreasureMap",4,"Forgotten Bounty","Le Trésor oublié","Vergessener Schatz","忘れられた財宝","잊힌 하사품","Recompensa Esquecida","Забытое сокровище","Botín olvidado","รางวัลที่ถูกลืม","忘卻寶物","Art/2DArt/QuestIcons/Four/TreasureMap.dds",0,"",1,[],1,"","","",[],[]
43,"Act4TreasureMapExpedition",4,"The Runeseeker","Le Chercheur de Runes","Der Runensucher","ルーンシーカー","룬 탐구자","O Caça-runas","Искатель рун","El buscador de runas","นักแสวงอักขระ","符文探求者","Art/2DArt/QuestIcons/Four/ExpeditionRuneseeker.dds",0,"",1,[],54,"","","",[],[]
44,"Act4KaruiElder",4,"Trial of the Ancestors","L'Épreuve des Ancêtres","Prüfung der Ahnen","先祖の試練","선조들의 심판","Provação dos Ancestrais","Испытание предков","Torneo de los ancestros","บททดสอบแห่งบรรพชน","祖靈的試煉","Art/2DArt/QuestIcons/Four/TrialOfTheAncestors.dds",0,"",1,[],56,"","","",[34],[]
45,"Act5SiegeOfOriath",5,"The Siege of Oriath","Le Siège d'Oriath","Die Belagerung von Oriath","オリアス包囲戦","오리아스 공성전","O Cerco de Oriath","Осада Ориата","El asedio de Oriath","บุกยึดโอริอาท","奧瑞亞圍城戰","Art/2DArt/QuestIcons/Four/Alcove.dds",0,"",0,[],56,"","","",[],[]
46,"Act5GetToDominusEstate",5,"Infiltrating Oriath","Infiltrer Oriath","Infiltration von Oriath","オリアス侵入","오리아스 침투","Infiltrando-se em Oriath","Проникновение в Ориат","Infiltrarse en Oriath","แทรกซึมในโอริอาท","滲透奧瑞亞","Art/2DArt/QuestIcons/Four/Alcove.dds",0,"",0,[],56,"","","",[],[]
47,"Act5WaterWheel",5,"Plumbing the Depths","Inspection en profondeur","Das Ausloten der Tiefen","深部の配管工事","심연 파헤치기","Encarando as Profundezas","Погружаясь в глубины","Sondear las profundidades","ถลำลงเบื้องลึก","探測黑淵","Art/2DArt/QuestIcons/Four/Alcove.dds",0,"",1,[],56,"","","",[],[]
48,"Act5TrarthanGladiator",5,"Trarthan Gladiator","Gladiateur trarthien","Trarthanischer Gladiator","トラーサスの剣闘士","트라투스의 검투사","Gladiador Trarthano","Тератский гладиатор","Gladiador trarthano","นักสู้ทาร์ทาน","特拉特斯角鬥士","Art/2DArt/QuestIcons/Four/Gladiator.dds",0,"",1,[],56,"","","",[16],[]
49,"Act5EstatesRescueTibbsAndTullina",5,"Pinned Down","Au pied du mur","Festgesetzt","雁字搦め","속박","Aprisionado","Прижатые","Acorralados","ถูกต้อนจนมุม","動彈不得","Art/2DArt/QuestIcons/Four/Estates.dds",0,"",0,[],56,"","","",[],[]
50,"Act5DenOfPleasure",5,"Pleasure and Pain","Plaisir et Souffrance","Vergnügen und Schmerz","喜びと痛み","기쁨과 고통","Prazer e Pesar","Удовольствие и боль","Placer y dolor","สุขสมระทมทุกข์","快樂與痛苦","Art/2DArt/QuestIcons/Four/Alcove.dds",0,"",0,[],56,"","","",[],[]
51,"Act5BlightedGraveyard",5,"No Rest for the Blighted","Pas de répit pour les infestés","Keine Ruhe für die Befallenen","荒廃に休息はない","역병 걸린 자에게 안식은 없다","Infestados e sem Descanso","Нет покоя заражённым","No hay paz para los infectados","ป่วยไข้ไม่ตายดี","凋落者永無寧日","Art/2DArt/QuestIcons/Four/Alcove.dds",0,"",0,[],56,"","","",[],[]
52,"sanctum_timer_arena",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
53,"sanctum_portal_arena",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
54,"sanctum_explore",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
55,"sanctum_kill_monsters",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
56,"sanctum_rare_lair",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
57,"sanctum_puzzle",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
58,"sanctum_boss",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
59,"sanctum_floor_boss",0,"The Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","A Provação das Sekhemas","Испытание Сехем","La prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","",0,"",3,[29],56,"","","",[],[]
60,"ultimatum_encounter",0,"Trialmaster's Challenge","Le défi du Maître des Épreuves","Herausforderung des Prüfungsmeisters","トライアルマスターの挑戦状","시련의 대가의 도전","Desafio do Mestre das Provações","Вызов Мастера испытаний","El desafío del maestro de pruebas","การท้าทายของผู้คุมบททดสอบ","試煉大師的挑戰","",0,"",3,[36],56,"","","",[],[]
61,"Ultimatum",3,"The Trials of Chaos","Les Épreuves de Chaos","Die Prüfung des Chaos","カオスの試練","혼돈의 시련","As Provações do Caos","Испытания Хаоса","Las pruebas de Caos","บททดสอบแห่งเคออส","混沌試煉","Art/2DArt/QuestIcons/Four/UltimatumIntro.dds",0,"",6,"[1,3]",56,"","","",[],[]
62,"EndgameQuestline",10,"Cataclysm's Wake","L'Éveil du Cataclysme","Erwachen der Katastrophe","大災害の目覚め","대재앙의 흔적","Despertar do Cataclismo","Последствия Катаклизма","Tras el cataclismo","อุบัติการณ์มหาภัยพิบัติ","浩劫覺醒","Art/2DArt/QuestIcons/Four/CataclysmsWake.dds",0,"",0,[],56,"","","",[22],[]
63,"EndgameQuestInvestigateTower",10,"Legacy of the Precursors","Héritage des Prédécesseurs","Vermächtnis der Wegbereiter","先人の遺産","선도자의 유산","Legado dos Precursores","Наследие Предтеч","Legado de los precursores","มรดกของกลุ่มชนก่อนกาล","先行者之遺","Art/2DArt/QuestIcons/Four/ArbiterQuestline.dds",0,"",0,[],56,"","","",[],[]
64,"EndgameQuestObtainKey1",10,"Ezomyte Infiltration","Infiltration Ézomyte","Ezomyteninfiltration","エゾマイトの潜入","에조미어의 침투","Infiltração Ezomita","Внедрение эзомитов","Infiltración ezomita","แทรกแซงเอโซไมต์","艾茲麥滲透","Art/2DArt/QuestIcons/Four/EzomyteInfiltration.dds",0,"",0,[],56,"","","",[],[]
65,"EndgameQuestObtainKey2",10,"Faridun Foray","Razzia Faridun","Beutezug der Faridun","ファリドゥンの急襲","파리둔 급습","Ataque Faridun","Набег фаридунцев","Invasión faridun","ฟาดฟันฟาริดัน","法里登突襲","Art/2DArt/QuestIcons/Four/FaridunForay.dds",0,"",0,[],56,"","","",[],[]
66,"EndgameQuestObtainKey3",10,"Vaal Incursion","Incursion Vaal","Eindringen der Vaal","ヴァールの侵入","바알 기습","Incursão Vaal","Вмешательство ваал","Incursión vaal","ย้อนเวลาหาวาล์","瓦爾侵略","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",0,[],56,"","","",[],[]
67,"EndgameLeagueDelirium1",10,"The Shadow Trickster","Le Trompeur de l'ombre","Der Schattentrickser","影のトリックスター","그림자 협잡꾼","O Trapaceiro Sombrio","Чёрный Плут","El embaucador de las sombras","ผู้ลวงเล่ห์ลึกลับ","暗影欺詐者","Art/2DArt/QuestIcons/Four/AlvaDelirium.dds",0,"",0,[],56,"","","",[27],[]
