"rownum","ChestsKey","SpawnWeight","i32_20","bool_24","bool_25","SpawnWeightIncrease","SpawnWeightHardmode","BasicSpawnChanceStat","RequiredSpawnStat","BlockingSpawnStat","bool_94"
0,45,200,5,"",1,"",200,"",[],[],""
1,46,200,5,"",1,"",200,"",[],[],""
2,47,200,5,"",1,"",200,"",[],[],""
3,48,200,5,"",1,"",200,"",[],[],1
4,49,50,5,"",1,"",50,"",[],[],""
5,50,50,5,"",1,"",50,"",[],[],""
6,51,50,5,"",1,"",50,"",[],[],""
7,52,50,5,"",1,"",50,"",[],[],1
8,53,200,5,"",1,"",200,"",[],[],""
9,54,200,5,"",1,"",200,"",[],[],""
10,55,200,5,"",1,"",200,"",[],[],""
11,56,200,5,"",1,"",200,"",[],[],1
12,57,10,5,"",1,"",10,"",[],[],""
13,58,10,5,"",1,"",10,"",[],[],""
14,59,10,5,"",1,"",10,"",[],[],""
15,60,10,5,"",1,"",10,"",[],[],1
16,61,200,5,"",1,14541,200,"",[],[],""
17,62,200,5,"",1,14541,200,"",[],[],""
18,63,200,5,"",1,14541,200,"",[],[],""
19,64,200,5,"",1,14541,200,"",[],[],1
20,65,10,5,1,1,14542,10,"",[],[],""
21,66,10,5,"",1,14542,10,"",[],[],1
22,67,100,12,"",1,"",100,"",[],[],""
23,68,100,12,"",1,"",100,"",[],[],""
24,69,100,12,"",1,"",100,"",[],[],""
25,70,100,12,"",1,"",100,"",[],[],1
26,71,300,7,"",1,"",300,25384,[],[],""
27,72,300,7,"",1,"",300,25384,[],[],""
28,73,300,7,"",1,"",300,25384,[],[],""
29,74,300,7,"",1,"",300,25384,[],[],1
30,75,0,7,"",1,"",0,"",[],[],""
31,76,100,7,"",1,14543,100,"",[],[],""
32,77,100,7,"",1,14543,100,"",[],[],""
33,78,100,7,"",1,14543,100,"",[],[],""
34,79,100,7,"",1,14543,100,"",[],[],1
35,80,0,5,1,1,"",0,"",[],[],""
36,861,0,5,"",1,"",0,"",[],[],""
37,862,0,5,"",1,"",0,"",[],[],""
38,863,0,5,"",1,"",0,"",[],[],""
39,864,0,5,"",1,"",0,"",[],[],""
40,866,0,5,"",1,"",0,"",[],[],""
41,867,0,5,"",1,"",0,"",[],[],""
42,868,0,5,"",1,"",0,"",[],[],""
43,869,0,5,"",1,"",0,"",[],[],""
44,870,0,5,"",1,"",0,"",[],[],""
45,125,0,5,"",1,"",0,"",[],[],""
46,126,0,5,"",1,"",0,"",[],[],""
47,127,0,5,"",1,"",0,"",[],[],""
48,128,0,5,"",1,"",0,"",[],[],""
49,129,0,5,"",1,"",0,"",[],[],""
