"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]_64","AOFile","bool_88","DaemonMods","AppearanceChestsKey","ChestsKey","Achievement","i32_153","i32_157","bool_161","RequiredMapStat"
0,"ForgottenReliquaryChest",905,1189,0,[10746],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
1,"ForgottenReliquaryChest2",906,1190,0,[10747],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
2,"ForgottenReliquaryChestVaal",907,1191,0,[10748],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
3,"ForgottenReliquaryVenarius",908,1192,0,[10749],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
4,"ForgottenReliquaryEaterOfWorlds",909,1193,0,[10750],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
5,"ForgottenReliquaryMaven",910,1194,0,[10751],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
6,"ForgottenReliquarySearingExarch",911,1195,0,[10752],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
7,"ForgottenReliquarySirus",912,1196,0,[10753],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
8,"ForgottenReliquaryShaper",913,1197,0,[10754],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
9,"ForgottenReliquaryUberElder",914,1198,0,[10755],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"","",[],76,0,"",""
10,"ForgottenReliquaryCosmic",915,1199,0,[10756],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"","",[],76,0,"",""
11,"ReliquaryTwilightOrder",1773,1200,0,[],0,[],"Metadata/Chests/Reliquary/kethChestGold.ao",1,[],"",818,[],76,0,"",""
12,"UniqueCorruptionVaalStrongboxMartial",1774,3356,58,[5337],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",45,[],56,1,1,""
13,"UniqueCorruptionVaalStrongboxMartialLow",1774,3356,33,[5337],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",46,[],56,1,1,""
14,"UniqueCorruptionVaalStrongboxMartialHigh",1774,3356,0,[5337],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",47,[],56,1,1,""
15,"UniqueCorruptionVaalStrongboxMartialExpedition",1774,3356,0,[5337],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[8084,5224]","",47,[],56,1,1,""
16,"UniqueCorruptionVaalStrongboxCaster",1774,3356,58,[5337],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",49,[],57,1,1,""
17,"UniqueCorruptionVaalStrongboxCasterLow",1774,3356,33,[5337],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",50,[],57,1,1,""
18,"UniqueCorruptionVaalStrongboxCasterHigh",1774,3356,0,[5337],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",51,[],57,1,1,""
19,"UniqueCorruptionVaalStrongboxCasterExpedition",1774,3356,0,[5337],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[8084,5224]","",51,[],57,1,1,""
20,"UniqueCorruptionVaalStrongboxArmourer",1774,3356,58,[5337],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",53,[],58,1,1,""
21,"UniqueCorruptionVaalStrongboxArmourerLow",1774,3356,33,[5337],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",54,[],58,1,1,""
22,"UniqueCorruptionVaalStrongboxArmourerHigh",1774,3356,0,[5337],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",55,[],58,1,1,""
23,"UniqueCorruptionVaalStrongboxArmourerExpedition",1774,3356,0,[5337],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[8084,5224]","",55,[],58,1,1,""
24,"UniqueCorruptionVaalStrongboxJeweller",1774,3356,58,[5337],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",57,[],55,1,1,""
25,"UniqueCorruptionVaalStrongboxJewellerLow",1774,3356,33,[5337],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",58,[],55,1,1,""
26,"UniqueCorruptionVaalStrongboxJewellerHigh",1774,3356,0,[5337],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[8084,5224]","",59,[],55,1,1,""
27,"UniqueCorruptionVaalStrongboxJewellerExpedition",1774,3356,0,[5337],0,[],"Metadata/Terrain/Leagues/Expedition/Strongboxes/BuriedVaalStrongbox/BuriedVaalStrongbox01.ao",1,"[8084,5224]","",59,[],55,1,1,""
28,"UniqueRevivingEzomyteStrongboxLarge",1775,3357,0,"[8088,8367]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",67,[],76,0,"",""
29,"UniqueRevivingEzomyteStrongboxLargeLow",1775,3357,0,"[8088,8367]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",68,[],76,0,"",""
