"rownum","i32_0","ExpeditionCurrency","NPCTextAudio"
0,0,2,14200
1,1,2,14277
2,2,2,14299
3,3,2,14200
4,4,2,14173
5,5,2,14182
6,6,2,14224
7,7,2,14200
8,8,2,14338
9,9,2,14191
10,11,2,14200
11,18,2,14164
12,15,2,14233
13,16,2,14242
14,13,2,14251
15,14,2,14268
16,12,2,14259
17,0,0,12544
18,1,0,12425
19,2,0,12434
20,12,0,12443
21,13,0,12452
22,14,0,12461
23,4,0,12470
24,5,0,12479
25,6,0,12487
26,15,0,12496
27,16,0,12504
28,17,0,12516
29,9,0,12524
30,18,0,12535
31,0,1,12772
32,1,1,12840
33,2,1,12849
34,12,1,12819
35,13,1,12828
36,14,1,12834
37,4,1,12748
38,5,1,12757
39,6,1,12810
40,15,1,12795
41,16,1,12804
42,17,1,12886
43,9,1,12763
44,18,1,12740
