"rownum","string_0","rid_8","i32_24"
0,"Cadiro",4294967295,0
1,"Einhar",4294967295,0
2,"EndlessDelve",4294967295,0
3,"EndlessHeistContracts",23,0
4,"ExpeditionDealerArmour",4294967295,0
5,"ExpeditionDealerWeapon",4294967295,0
6,"ExpeditionDealerAccessory",4294967295,0
7,"ExpeditionSaga",4294967295,0
8,"Kirac",4294967295,0
9,"Whakano",22,0
10,"G1_weapons",0,0
11,"G1_Magic",1,0
12,"G1_Gamble",4294967295,0
13,"G2_Weapons",2,0
14,"G2_Magic",3,0
15,"G2_Gamble",4294967295,0
16,"G3_Weapons",4,0
17,"G3_Magic",5,0
18,"G3_Gamble",4294967295,0
19,"G4_Magic",6,0
20,"G4_Weapons",7,0
21,"G4_Gamble",4294967295,0
22,"G5_Weapons",8,0
23,"G5_Magic",9,0
24,"G5_Gamble",4294967295,0
25,"M1_Gamble",4294967295,0
26,"M2_Gamble",4294967295,0
27,"M3_Gamble",4294967295,0
28,"G6_Weapons",10,0
29,"G6_Magic",11,0
30,"G6_Gamble",4294967295,0
31,"Endgame_Weapons",12,0
32,"Endgame_Magic",13,0
33,"Endgame_Gamble",4294967295,0
34,"Endgame_Maps",25,0
35,"OutskirtsVendor",14,0
36,"DepthVendor",15,0
37,"FriendlyCauldronCrone",24,0
38,"EndgameWanderingCaster",16,0
39,"EndgameWanderingBlacksmith",17,0
40,"EndgameWanderingJeweler",18,0
41,"EndgameWanderingUniques",19,0
42,"CrueltySupporterPack_Gamble",4294967295,0
43,"RuneVendor",26,0
44,"InterludeCasterVendor",27,0
45,"A4TwilightCasterVendor",28,0
46,"A4KaruiWeaponVendor",29,0
47,"A5GladiatorVendor",4294967295,0
48,"P3UniqueVendor",4294967295,0
