"rownum","Id","Index"
0,"Default",0
1,"Dirt",1
2,"Clay",7
3,"ShortGrass",5
4,"LongGrass",6
5,"Mulch",4
6,"Twigs",3
7,"ThinLog",18
8,"ThickLog",18
9,"Stone",7
10,"RoughStone",7
11,"Rock",9
12,"Rock2",9
13,"SharpRock",9
14,"Pebbles",10
15,"Gravel",10
16,"Sand",12
17,"Sand2",12
18,"WoodenPlank",19
19,"WoodenFloor",18
20,"TileFloor",21
21,"Mud",2
22,"Mud2",2
23,"GrassMud",5
24,"Water",15
25,"Water2",16
26,"WetGrassLong",6
27,"WetGrassShort",5
28,"WetStone",8
29,"WetRock",8
30,"SoftFoliage",6
31,"HardFoliage",5
32,"WoodDeepCreak",18
33,"WoodLight",26
34,"WoodSmallCreak",19
35,"MetalJunk",22
36,"SandRed",12
37,"SandBlack",12
38,"G2_2_Sand",12
39,"G2_3_Sand",12
40,"G2_3_RoughStone",9
41,"G2_4_1_Stone",7
42,"G2_4_2_Stone",7
43,"MetalSolid",22
44,"SandWhite",12
45,"SloppyStone",8
46,"Blood",17
47,"TileRoof",21
48,"MetalRock",28
49,"MetalStone",28
50,"Snow",14
51,"MetalTreasure",23
52,"Bones",11
53,"Sand_Wet",13
54,"Wood_Carpet",20
55,"Mud_Wet",24
56,"Sea Shells",25
57,"Crystal",27
