"rownum","Monster","i32_16","bool_20","[rid]_21","[i32]_37"
0,145,0,"",[],[]
1,161,0,"",[],[]
2,197,0,"",[],[]
3,174,0,"",[],[]
4,205,0,"",[],[]
5,240,0,"",[],[]
6,276,0,"",[],[]
7,312,0,"",[],[]
8,426,0,"",[],[]
9,438,0,"",[],[]
10,696,0,"",[],[]
11,708,0,"",[],[]
12,806,0,"",[],[]
13,816,0,"",[],[]
14,861,0,"",[],[]
15,904,0,"",[],[]
16,918,0,"",[],[]
17,993,0,"",[],[]
18,1050,0,"",[],[]
19,1055,0,"",[],[]
20,1059,0,"",[],[]
21,1257,0,"",[],[]
22,1282,0,"",[],[]
23,1303,0,"",[],[]
24,1382,0,"",[],[]
25,1608,0,"",[],[]
26,1686,0,"",[],[]
27,1690,0,"",[],[]
28,1740,0,"",[],[]
29,1745,0,"",[],[]
30,1812,0,"",[],[]
31,1613,0,"",[],[]
32,1954,0,1,[],[]
33,2328,0,"",[],[3]
34,1275,0,"",[],[3]
35,1276,0,"",[],[3]
36,1809,0,1,[],[]
37,1796,0,1,[],[]
38,1550,0,"",[88],[1]
39,1550,1,"",[],[2]
40,328,0,"",[],[]
41,332,0,1,[],[]
42,1778,0,1,[],[]
43,2334,0,1,[],[]
44,2313,0,1,[],[]
45,430,0,1,[],[]
46,1477,0,1,[],[]
47,1492,0,1,[],[]
48,2303,0,"",[],[3]
49,688,0,1,[],[]
50,2297,0,"",[],[]
51,1802,0,1,[],[]
52,1803,0,1,[],[]
53,1804,0,1,[],[]
54,1805,0,1,[],[]
55,2477,0,1,[],[]
56,2479,0,1,[],[]
57,2293,0,"",[],[3]
58,2307,0,1,[],[]
59,906,0,1,[],[]
60,1341,0,"",[89],[1]
61,1341,1,"",[],[2]
62,1425,0,1,[],[]
63,1109,0,1,[],[]
64,1567,0,1,[],[]
65,1397,0,1,[],[]
66,1533,0,"",[],[3]
67,1582,0,"",[87],[1]
68,1582,1,"",[],[2]
69,738,0,1,[],[]
70,319,0,1,[],[]
71,1759,0,1,[],[]
72,1433,0,1,[],[]
73,1386,0,1,[],[]
