"rownum","Id","PhysicalDamageStats","FireDamageStats","LightningDamageStats","ColdDamageStats","ChaosDamageStats","CritChanceStat","CritBonusStat","AlwaysCritStat","CannotCritStat","StunThresholdStat","StunDurationStat","bool_184","CannotBlockStat","KnockbackStat","KnockbackOnCritStat","KnockbackChanceStat","Text","StatContextFlags","Type","IsAttack","PhysicalStunMultiplierStat","FakeHitForAilments","IsFakeHitForAilments","DoubleCritChanceStat","BaseCritChanceStat","PhysicalFreezeMultiplierStat","FireStunMultiplierStat","ColdStunMultiplierStat","LightningStunMultiplierStat","ChaosStunMultiplierStat","FireFreezeMultiplierStat","ColdFreezeMultiplierStat","LightningFreezeMultiplierStat","ChaosFreezeMultiplierStat","PhysicalPinMultiplierStat","FirePinMultiplierStat","ColdPinMultiplierStat","LightningPinMultiplierStat","ChaosPinMultiplierStat","bool_559","AccuracyRatingStat","AccuracyRatingIncreasedStat","AccuracyOverrideFromMinionParentStat","AccuracyRatingFinalStat","AccuracyUnaffectedByDistanceStat","AlwaysHitStat","CanEvadeStat","EventualCritStat"
0,"MainHandAttack","[270,271]","[258,259]","[262,263]","[254,255]","[266,267]",21712,596,18256,2742,291,18419,1,17931,279,455,470,"main hand",2,0,1,22001,1,"",21717,539,22280,23031,23035,23039,23043,23047,23051,23055,23059,23218,23222,23226,23230,23234,1,281,8264,16693,7972,17919,700,"",23945
1,"MainHandFakeHitForAilments","[270,271]","[258,259]","[262,263]","[254,255]","[266,267]",21712,596,18256,2742,"","","","","","","","main hand fake hit ailment",2,0,1,"","",1,21717,539,"","","","","","","","","","","","","","","","","","","","","","",23945
2,"OffHandAttack","[272,273]","[260,261]","[264,265]","[256,257]","[268,269]",21713,597,18256,2742,292,18420,1,17932,280,456,471,"off hand",2,1,1,22002,3,"",21718,540,22281,23032,23036,23040,23044,23048,23052,23056,23060,23219,23223,23227,23231,23235,1,282,8265,16694,7972,17920,701,"",23946
3,"OffHandFakeHitForAilments","[272,273]","[260,261]","[264,265]","[256,257]","[268,269]",21713,597,18256,2742,"","","","","","","","off hand fake hit ailment",2,1,1,"","",1,21718,540,"","","","","","","","","","","","","","","","","","","","","","",23946
4,"Spell","[252,253]","[246,247]","[248,250]","[244,245]","[249,251]",21714,598,8805,2742,102,200,1,18288,104,14248,2273,"spell",3,2,"",22003,5,"","",541,22282,23033,23037,23041,23045,23049,23053,23057,23061,23220,23224,23228,23232,23236,1,23785,7062,23786,7972,18840,2744,18700,23947
5,"SpellFakeHitForAilments","[252,253]","[246,247]","[248,250]","[244,245]","[249,251]",21714,598,8805,2742,"","","","","","","","spell fake hit ailment",3,2,"","","",1,"",541,"","","","","","","","","","","","","","","","","","","","","","",23947
6,"Secondary","[719,720]","[723,724]","[725,726]","[721,722]","[727,728]",21715,729,8805,2742,102,200,1,"",104,14248,2273,"secondary",4,3,"",22004,8,"","",730,22283,23034,23038,23042,23046,23050,23054,23058,23062,23221,23225,23229,23233,23237,1,23785,7062,23786,7972,18840,2743,18700,23948
7,"SecondarySelfDamage","[719,720]","[723,724]","[725,726]","[721,722]","[727,728]",21715,729,8805,2742,102,200,"","","","","","secondary self",4,3,"",22004,8,"","",730,22283,23034,23038,23042,23046,23050,23054,23058,23062,23221,23225,23229,23233,23237,"","","","","","","","",23948
8,"SecondaryFakeHitForAilments","[719,720]","[723,724]","[725,726]","[721,722]","[727,728]",21715,729,8805,2742,"","","","","","","","secondary fake hit ailment",4,3,"","","",1,"",730,"","","","","","","","","","","","","","","","","","","","","","",23948
9,"SecondaryWithMainHandDefence","[719,720]","[723,724]","[725,726]","[721,722]","[727,728]",21715,729,8805,2742,291,200,1,17931,279,455,470,"secondary main hand",4,3,"",22004,8,"","",730,22283,23034,23038,23042,23046,23050,23054,23058,23062,23221,23225,23229,23233,23237,1,281,8264,16693,7972,17919,700,"",23948
10,"SecondaryWithOffHandDefence","[719,720]","[723,724]","[725,726]","[721,722]","[727,728]",21715,729,8805,2742,292,200,1,17932,280,456,471,"secondary off hand",4,3,"",22004,8,"","",730,22283,23034,23038,23042,23046,23050,23054,23058,23062,23221,23225,23229,23233,23237,1,282,8265,16694,7972,17920,701,"",23948
11,"SecondaryWithSpellDefence","[719,720]","[723,724]","[725,726]","[721,722]","[727,728]",21715,729,8805,2742,102,200,1,18288,104,14248,2273,"secondary spell",4,3,"",22004,8,"","",730,22283,23034,23038,23042,23046,23050,23054,23058,23062,23221,23225,23229,23233,23237,1,23785,7062,23786,7972,18840,2744,18700,23948
12,"Thorns","[20014,20015]","[20018,20019]","[20020,20021]","[20016,20017]","[20022,20023]",21716,20024,8805,2742,102,200,1,"",104,14248,2273,"thorns",41,4,"",22004,8,"","",20027,22283,23034,23038,23042,23046,23050,23054,23058,23062,23221,23225,23229,23233,23237,1,"","","","","","","",23949
