"rownum","Level","MoreLife"
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
18,19,0
19,20,0
20,21,0
21,22,0
22,23,0
23,24,0
24,25,0
25,26,0
26,27,0
27,28,0
28,29,0
29,30,0
30,31,0
31,32,0
32,33,0
33,34,0
34,35,0
35,36,0
36,37,0
37,38,0
38,39,0
39,40,0
40,41,0
41,42,0
42,43,0
43,44,0
44,45,0
45,46,0
46,47,0
47,48,0
48,49,0
49,50,0
50,51,0
51,52,0
52,53,0
53,54,0
54,55,0
55,56,0
56,57,0
57,58,0
58,59,0
59,60,0
60,61,0
61,62,0
62,63,0
63,64,0
64,65,7
65,66,9
66,67,11
67,68,12
68,69,14
69,70,16
70,71,18
71,72,19
72,73,21
73,74,23
74,75,25
75,76,26
76,77,28
77,78,30
78,79,32
79,80,33
80,81,35
81,82,37
82,83,39
83,84,40
84,85,42
85,86,44
86,87,46
87,88,47
88,89,49
89,90,51
90,91,53
91,92,54
92,93,56
93,94,58
94,95,60
95,96,61
96,97,63
97,98,65
98,99,67
99,100,68
