"rownum","Id","MiscObject","i32_24","string_28","string_36","[i32]_44","bool_60","i32_61","bool_65","i32_66","i32_70","i32_74","[i32]_78","HideoutDoodad"
0,"EpilogueTown","",30,"Metadata/MiscellaneousObjects/MapDeviceSunTown","",[],"",0,"",8,0,0,[],""
1,"Hideout_Small","",18,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","",[],1,0,"",8,0,0,[],1306
2,"Hideout_Large","",36,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","aux_potralbutton_attachment","[-24,0]",1,20,1,8,0,0,[],1306
3,"DannigEndgameTown","",36,"Metadata/NPC/Four_Endgame/Expedition/Dannig","",[],"",0,1,8,0,0,[],""
4,"SynthesisBoss1","",36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_FinalBoss","",[],"",0,"",8,0,0,[],""
5,"SynthesisGuardian1","",36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian1","",[],"",0,"",8,0,0,[],""
6,"SynthesisGuardian2","",36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian2","",[],"",0,"",8,0,0,[],""
7,"SynthesisGuardian3","",36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian3","",[],"",0,"",8,0,0,[],""
8,"SynthesisGuardian4","",36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian4","",[],"",0,"",8,0,0,[],""
9,"MiracleMapDevice","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice","aux_potralbutton_attachment","[-14,0]",1,0,1,8,0,0,[],1054
10,"MiracleMapDevice1","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice1","aux_potralbutton_attachment","[-14,0]",1,0,1,8,0,0,[],1055
