"rownum","Id","Sound"
0,"None",""
1,"Unarmed","OnHit_UnarmedSG"
2,"Wand","OnHit_ElementalSG"
3,"Constant","OnHit_ConstantSG"
4,"Beast","OnHit_BeastSG"
5,"Snap","OnHit_SnapSG"
6,"Arrow","OnHit_ArrowSG"
7,"Mace1HWood","OnHit_1HBluntWoodSG"
8,"Mace1HMetal","OnHit_1HBluntMetalSG"
9,"Mace1HStone","OnHit_1HBluntStoneSG"
10,"Mace2HWood","OnHit_2HBluntWoodSG"
11,"Mace2HMetal","OnHit_2HBluntMetalSG"
12,"Mace2HStone","OnHit_2HBluntStoneSG"
13,"Axe1HMetal","OnHit_1HAxeSG"
14,"Axe1HStone","OnHit_1HAxeSG"
15,"Axe2HMetal","OnHit_2HAxeSG"
16,"Axe2HStone","OnHit_2HAxeSG"
17,"StaffWood","OnHit_StaffWoodSG"
18,"StaffMetal","OnHit_StaffMetalSG"
19,"Sword1H","OnHit_1HSwordSG"
20,"Sword2H","OnHit_2HSharpMetalSG"
21,"ShieldWood","OnHit_ShieldWoodSG"
22,"ShieldMetal","OnHit_ShieldMetalSG"
23,"ShieldStone","OnHit_ShieldStoneSG"
24,"SpearWood","OnHit_SpearWoodSG"
25,"SpearMetal","OnHit_SpearMetalSG"
26,"Slice1HMetal","OnHit_ClawSG"
27,"Stab1HMetal","OnHit_StabSG"
28,"FlailMetal","OnHit_FlailSG"
29,"MonsterBlunt","OnHit_MonsterBluntSG"
30,"MonsterStab","OnHit_MonsterStabSG"
31,"MTXSeveredArmWeaponSkin","OnHit_UnarmedSG"
