"rownum","string_0","rid_8","rid_24","rid_40","i32_56","i32_60","i32_64","bool_68","bool_69","f32_70","i32_74","i32_78","bool_82"
0,"ContentGeneric","","","",0,0,0,"","",0.65,0,0,""
1,"ContentImportant","","","",0,0,0,"","",0.85,0,0,""
2,"ContentNoLabel","","","",0,0,0,"","",0.65,0,0,""
3,"MapBorderSurface","","","",0,0,0,"","",1,0,0,1
4,"MapBorderUnderground","","","",0,0,0,"","",1,0,0,1
5,"Act1CompassRose","","","",0,0,0,"","",0.75,0,0,""
6,"Act1CompassTextBox","","","",0,0,0,"","",1,0,0,""
7,"Act1CompassLabel",40,"","",0,0,28,"",1,1,0,0,""
8,"Act2CompassRose","","","",0,0,0,"","",0.75,0,0,""
9,"Act2CompassTextBox","","","",0,0,0,"","",1,0,0,""
10,"Act2CompassLabel",40,"","",0,0,28,"",1,1,0,0,""
11,"Act3CompassRose","","","",0,-50,0,"","",0.75,0,0,""
12,"Act3CompassTextbox","","","",0,0,0,"","",1,0,0,""
13,"Act3CompassLabel",40,"","",0,0,28,"",1,1,0,0,""
