"rownum","StatisticTrackingMtx","i32_16","i32_20","VisualIdentity","bool_40","Icon","bool_49","Description","CounterType","i32_82","i32_86","bool_90","bool_91"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon","","",0,0,34,"",""
1,1,0,1,14,1,"","","",0,0,34,"",""
2,1,1,2,26,1,"","","",0,0,34,"",""
3,1,2,6,10,1,"","","",0,0,34,"",""
4,1,3,4,23,1,"","","",0,0,34,"",""
5,1,4,7,3,1,"","","",0,0,34,"",""
6,1,5,16,53,1,"","","",0,0,34,"",""
7,1,6,8,20,1,"","","",0,0,34,"",""
8,1,7,9,47,1,"","","",0,0,34,"",""
9,1,8,36,130,1,"","","",0,0,34,"",""
10,1,9,5,11,1,"","","",0,0,34,"",""
11,1,11,37,43,1,"","","",0,0,34,"",""
12,1,12,38,44,1,"","","",0,0,34,"",""
13,1,13,39,45,1,"","","",0,0,34,"",""
14,1,14,40,31,1,"","","",0,0,34,"",""
15,1,15,41,30,1,"","","",0,0,34,"",""
16,1,17,138,137,1,"","","",0,0,34,"",""
17,1,16,141,9,1,"","","",0,0,34,"",""
18,1,10,19,8,1,"","","",0,0,34,"",""
19,2,0,42,"",1,"","","",0,0,34,"",""
20,2,1,43,"",1,"","","",0,0,34,"",""
21,2,2,44,"",1,"","","",0,0,34,"",""
22,2,4,42,"",1,"","","",1,0,34,"",""
23,2,5,43,"",1,"","","",1,0,34,"",""
24,2,6,44,"",1,"","","",1,0,34,"",""
25,3,0,42,"",1,"","","",0,0,34,"",""
26,3,1,43,"",1,"","","",0,0,34,"",""
27,3,2,44,"",1,"","","",0,0,34,"",""
28,3,4,42,"",1,"","","",1,0,34,"",""
29,3,5,43,"",1,"","","",1,0,34,"",""
30,3,6,44,"",1,"","","",1,0,34,"",""
31,4,0,42,"",1,"","","",0,0,34,"",""
32,4,1,43,"",1,"","","",0,0,34,"",""
33,4,2,44,"",1,"","","",0,0,34,"",""
34,4,4,42,"",1,"","","",1,0,34,"",""
35,4,5,43,"",1,"","","",1,0,34,"",""
36,4,6,44,"",1,"","","",1,0,34,"",""
37,5,0,22,"",1,"","","",0,0,34,"",""
38,5,1,23,"",1,"","","",0,0,34,"",""
39,5,2,24,"",1,"","","",0,0,34,"",""
40,5,3,25,"",1,"","","",0,0,34,"",""
41,5,4,22,"",1,"","","",1,0,34,"",""
42,5,5,23,"",1,"","","",1,0,34,"",""
43,5,6,24,"",1,"","","",1,0,34,"",""
44,5,7,25,"",1,"","","",1,0,34,"",""
45,6,0,26,"",1,"","","",0,0,34,"",""
46,6,1,27,"",1,"","","",0,0,34,"",""
47,6,2,26,"",1,"","","",1,0,34,"",""
48,6,3,27,"",1,"","","",1,0,34,"",""
49,7,0,31,"",1,"Art/2DArt/UIImages/InGame/MTX/RotShamanKillCounter/RotShamanKillTrackerIcon","","",0,0,34,"",""
50,7,1,31,"",1,"Art/2DArt/UIImages/InGame/MTX/RotShamanKillCounter/RotShamanKillTrackerIcon","","",1,0,34,"",""
51,8,0,28,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollNormalMonsters","","",0,0,34,"",""
52,8,1,29,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollMagicMonsters","","",0,0,34,"",""
53,8,2,30,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollRareMonsters","","",0,0,34,"",""
54,8,3,31,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollUniqueMonsters","","",0,0,34,"",""
55,9,0,32,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollArbiterofAsh","",135,0,0,20,"",""
56,9,1,33,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollXesh","",136,0,0,21,"",""
57,9,2,34,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollOlroth","",137,0,0,22,"",""
58,9,3,35,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollKingintheMists","",139,0,0,23,"",""
59,9,4,134,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollArbiterofDivinity","",552,0,0,24,"",""
60,9,5,135,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollEshTul","",553,0,0,25,"",""
61,9,6,136,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollTangmazu","",554,0,0,26,"",""
62,9,7,137,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollWendigo","",555,0,0,27,"",""
63,10,0,45,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollGold","","",0,0,34,"",""
64,11,0,46,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollUniqueItems","","",0,0,34,"",""
65,13,0,47,"",1,"","",188,0,0,34,"",""
66,13,1,48,"",1,"","",189,0,0,34,"",""
67,13,2,49,"",1,"","",190,0,0,34,"",""
68,13,3,50,"",1,"","",191,0,0,34,"",""
69,13,4,47,"",1,"","",188,1,0,34,"",""
70,13,5,48,"",1,"","",189,1,0,34,"",""
71,13,6,49,"",1,"","",190,1,0,34,"",""
72,13,7,50,"",1,"","",191,1,0,34,"",""
73,14,0,51,"",1,"","",192,0,0,34,"",""
74,14,1,52,"","","","",193,0,0,34,"",""
75,14,2,53,"",1,"","",194,0,0,34,"",""
76,14,3,54,"","","","",195,0,0,34,"",""
77,14,4,55,"","","","",196,0,0,34,"",""
78,14,5,56,"","","","",197,0,0,34,"",""
79,14,6,57,"",1,"","",198,0,0,34,"",""
80,14,7,50,"","","","",199,0,0,34,"",""
81,14,8,58,"","","","",200,0,0,34,"",""
82,14,9,59,"",1,"","",201,0,0,34,"",""
83,14,10,51,"",1,"","",192,1,0,34,"",""
84,14,11,52,"","","","",193,1,0,34,"",""
85,14,12,53,"",1,"","",194,1,0,34,"",""
86,14,13,54,"","","","",195,1,0,34,"",""
87,14,14,55,"","","","",196,1,0,34,"",""
88,14,15,56,"","","","",197,1,0,34,"",""
89,14,16,57,"",1,"","",198,1,0,34,"",""
90,14,17,50,"","","","",199,1,0,34,"",""
91,14,18,58,"","","","",200,1,0,34,"",""
92,14,19,59,"",1,"","",201,1,0,34,"",""
93,15,0,60,"",1,"","",204,0,0,34,"",""
94,15,1,60,"",1,"","",204,1,0,34,"",""
95,15,2,61,"",1,"","",205,0,0,34,"",""
96,15,3,61,"",1,"","",205,1,0,34,"",""
97,16,0,62,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollAbyssMonsters","",260,0,0,34,"",""
98,16,1,63,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollAbyssPits","",261,0,0,34,"",""
99,16,2,64,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollCommanders","",262,0,0,34,"",""
100,16,3,65,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollAbyssVessels","",263,0,0,34,"",""
101,16,4,66,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollAbyssUberVessels","",264,0,0,34,"",""
102,16,5,67,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollAbyssWellItems","",265,0,0,34,"",""
103,16,6,68,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollAbyssDepths","",266,0,0,34,"",""
104,17,0,52,"",1,"","",261,0,0,34,"",""
105,17,1,52,"",1,"","",261,1,0,34,"",""
106,12,0,42,"",1,"","","",0,0,34,"",""
107,12,1,43,"",1,"","","",0,0,34,"",""
108,12,2,44,"",1,"","","",0,0,34,"",""
109,12,3,42,"",1,"","","",1,0,34,"",""
110,12,4,43,"",1,"","","",1,0,34,"",""
111,12,5,44,"",1,"","","",1,0,34,"",""
112,18,0,45,"",1,"","",329,0,0,34,"",""
113,18,1,69,"",1,"","",330,0,0,34,"",""
114,18,2,70,"",1,"","",331,0,0,34,"",""
115,18,3,71,"",1,"","",332,0,0,34,"",""
116,18,4,45,"",1,"","",329,1,0,34,"",""
117,18,5,69,"",1,"","",330,1,0,34,"",""
118,18,6,70,"",1,"","",331,1,0,34,"",""
119,18,7,71,"",1,"","",332,1,0,34,"",""
120,19,0,25,"",1,"","","",0,0,34,"",""
121,19,1,25,"",1,"","","",1,0,34,"",""
122,20,0,72,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionRoomsPlaced","",386,0,0,34,"",""
123,20,1,73,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionTemplesOpened","",387,0,0,34,"",""
124,20,2,74,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionLargestTemple","",388,0,2,34,"",""
125,20,3,75,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionMedallions","",389,0,0,34,"",""
126,20,4,76,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionRewardRooms","",390,0,0,34,"",""
127,20,5,77,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionArchitect","",391,0,0,34,"",""
128,20,6,78,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIncursionAtziri","",392,0,0,34,"",""
129,21,0,79,14,1,"","","",0,0,34,"",""
130,21,1,80,26,1,"","","",0,0,34,"",""
131,21,2,81,10,1,"","","",0,0,34,"",""
132,21,3,82,23,1,"","","",0,0,34,"",""
133,21,4,83,3,1,"","","",0,0,34,"",""
134,21,5,84,53,1,"","","",0,0,34,"",""
135,21,6,85,20,1,"","","",0,0,34,"",""
136,21,7,86,47,1,"","","",0,0,34,"",""
137,21,8,87,130,1,"","","",0,0,34,"",""
138,21,9,88,11,1,"","","",0,0,34,"",""
139,21,11,90,43,1,"","","",0,0,34,"",""
140,21,12,91,44,1,"","","",0,0,34,"",""
141,21,13,92,45,1,"","","",0,0,34,"",""
142,21,14,93,31,1,"","","",0,0,34,"",""
143,21,15,94,30,1,"","","",0,0,34,"",""
144,21,17,139,137,1,"","","",0,0,34,"",""
145,21,16,142,9,1,"","","",0,0,34,"",""
146,21,10,89,8,1,"","","",0,0,34,"",""
147,22,0,84,"",1,"","",406,0,0,34,"",""
148,22,1,84,"",1,"","",406,1,0,34,"",""
149,23,0,83,"",1,"","",407,0,0,34,"",""
150,23,1,83,"",1,"","",407,1,0,34,"",""
151,24,0,81,"",1,"","",408,0,0,34,"",""
152,24,1,81,"",1,"","",408,1,0,34,"",""
153,25,0,95,"",1,"","",477,0,0,34,"",""
154,25,1,96,"",1,"","",478,0,0,34,"",""
155,25,2,97,"",1,"","",479,0,0,34,"",""
156,25,3,95,"",1,"","",477,1,0,34,"",""
157,25,4,96,"",1,"","",478,1,0,34,"",""
158,25,5,97,"",1,"","",479,1,0,34,"",""
159,26,0,98,14,1,"","","",0,0,34,"",""
160,26,1,99,26,1,"","","",0,0,34,"",""
161,26,2,100,10,1,"","","",0,0,34,"",""
162,26,3,101,23,1,"","","",0,0,34,"",""
163,26,4,102,3,1,"","","",0,0,34,"",""
164,26,5,103,53,1,"","","",0,0,34,"",""
165,26,6,104,20,1,"","","",0,0,34,"",""
166,26,7,105,47,1,"","","",0,0,34,"",""
167,26,8,106,130,1,"","","",0,0,34,"",""
168,26,9,107,11,1,"","","",0,0,34,"",""
169,26,11,109,43,1,"","","",0,0,34,"",""
170,26,12,110,44,1,"","","",0,0,34,"",""
171,26,13,111,45,1,"","","",0,0,34,"",""
172,26,14,112,31,1,"","","",0,0,34,"",""
173,26,15,113,30,1,"","","",0,0,34,"",""
174,26,17,140,137,1,"","","",0,0,34,"",""
175,26,16,143,9,1,"","","",0,0,34,"",""
176,26,10,108,8,1,"","","",0,0,34,"",""
177,27,10,115,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount2","","",0,0,34,"",""
178,27,11,116,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount3","","",0,0,34,"",""
179,27,12,117,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount4","","",0,0,34,"",""
180,27,13,118,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount5","","",0,0,34,"",""
181,27,14,119,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount6","","",0,0,34,"",""
182,27,15,120,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount7","","",0,0,34,"",1
183,27,16,121,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount8","","",0,0,34,"",""
184,27,17,122,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount9","","",0,0,34,"",""
185,27,18,123,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/RunesAmount10","","",0,0,34,"",""
186,27,0,114,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollRune","",542,0,0,34,"",1
187,27,1,125,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollExpeditionCompleted","",544,0,0,34,1,""
188,27,2,126,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollLogbook","",545,0,0,34,"",""
189,27,3,127,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollIslands","",546,0,0,34,"",""
190,27,4,133,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollStarfallKnightBoss","",551,0,0,28,1,""
191,27,5,130,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollMedved","",548,0,0,29,"",""
192,27,6,129,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollVorana","",547,0,0,30,"",""
193,27,7,131,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollUhtred","",549,0,0,31,"",""
194,27,8,34,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollOlroth","",138,0,0,22,"",""
195,27,9,132,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollCyclopsSpider","",550,0,0,32,"",""
196,28,0,144,"","","Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryEldritch","","",0,0,34,"",""
197,28,1,145,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryDemon","","",0,0,34,"",""
