"rownum","Id","i32_8","BuffVisual","i32_28"
0,"Delirium1",0,1255,14
1,"Delirium2",0,1261,1
2,"Delirium3",0,1257,1
3,"Delirium4",0,1258,1
4,"Delirium5",0,1259,1
5,"Delirium6",0,1260,1
6,"Delirium7",0,1262,1
7,"Delirium8",0,1263,3
8,"Delirium9",0,1264,3
9,"Delirium10",0,1265,3
10,"Delirium11",0,1280,3
11,"Delirium12",0,1281,3
12,"Delirium13",0,1282,3
13,"Delirium14",0,1283,3
14,"Delirium15",0,1284,3
15,"Delirium16",0,1285,3
16,"Delirium17",0,1286,3
17,"DeliriumOnDeathMod1",1,1290,14
18,"DeliriumOnDeathMod2",1,1291,1
19,"DeliriumOnDeathMod3",1,1292,1
20,"DeliriumOnDeathMod4",1,1293,1
21,"DeliriumOnDeathMod5",1,1294,1
22,"DeliriumOnDeathMod6",1,1295,1
23,"DeliriumOnDeathMod7",1,1296,1
24,"DeliriumOnDeathMod8",1,1297,3
25,"DeliriumOnDeathMod9",1,1298,3
26,"DeliriumOnDeathMod10",1,1299,3
27,"DeliriumOnDeathMod11",1,1300,3
28,"DeliriumOnDeathMod12",1,1301,3
29,"DeliriumOnDeathMod13",1,1302,3
30,"DeliriumOnDeathMod14",1,1303,3
31,"DeliriumOnDeathMod15",1,1304,3
32,"DeliriumOnDeathMod16",1,1305,3
33,"DeliriumOnDeathMod17",1,1306,3
