"rownum","GrantedEffectsKey","StatsKeys","StatsValuesPermille","[rid]","[rid]"
0,0,[18328],[100],[],[]
1,1,[18328],[100],[],[]
2,2,[18328],[100],[],[]
3,3187,[18328],[100],[],[]
4,60,[18328],[150],[],[]
5,61,[18328],[150],[],[]
6,62,[18328],[150],[],[]
7,72,[18328],[150],[],[]
8,102,[3576],[2000],[],[]
9,103,[3576],[2000],[],[]
10,104,[3576],[2000],[],[]
11,109,[5708],[200],[],[]
12,110,[5708],[200],[],[]
13,111,[5708],[200],[],[]
14,175,[5371],[1000],[],[]
15,176,[9855],[50],[],[]
16,177,[5371],[1000],[],[]
17,11283,[5371],[1000],[],[]
18,198,[177],[1000],[],[]
19,199,[177],[1000],[],[]
20,200,[177],[1000],[],[]
21,249,[3335],[2000],[],[]
22,261,[7943],[1000],[],[]
23,262,[8433],[2000],[],[]
24,263,[19128],[200],[],[]
25,271,[7917],[250],[],[]
26,272,[7917],[250],[],[]
27,273,[7917],[250],[],[]
28,293,[9757],[1500],[],[]
29,294,[19568],[1000],[],[]
30,295,[9757],[1500],[],[]
31,307,[70],[500],[],[]
32,308,[70],[500],[],[]
33,309,[70],[500],[],[]
34,344,"[9761,9762]","[100,100]",[],[]
35,345,"[9761,9762]","[100,100]",[],[]
36,346,"[9761,9762]","[100,100]",[],[]
37,352,[4281],[750],[],[]
38,353,[16440],[2500],[],[]
39,354,[18328],[100],[],[]
40,372,[19036],[200],[],[]
41,373,[1127],[100],[],[]
42,374,[19036],[200],[],[]
43,11341,[19036],[200],[],[]
44,583,[42],[500],[],[]
45,584,[70],[500],[],[]
46,588,[497],[500],[],[]
47,586,[497],[500],[],[]
48,590,[175],[500],[],[]
49,592,[49],[500],[],[]
50,594,[84],[1000],[],[]
51,595,[618],[500],[],[]
52,597,[56],[500],[],[]
53,617,[165],[50],[],[]
54,618,[165],[50],[],[]
55,619,[7386],[750],[],[]
56,632,[5708],[100],[],[]
57,633,[5708],[100],[],[]
58,634,[5708],[100],[],[]
59,11295,[5708],[100],[],[]
60,648,[8434],[250],[],[]
61,653,[18328],[150],[],[]
62,654,[18328],[150],[],[]
63,655,[18328],[150],[],[]
64,700,[3601],[500],[],[]
65,701,[3601],[500],[],[]
66,702,[3601],[500],[],[]
67,707,[216],[3000],[],[]
68,708,[216],[3000],[],[]
69,709,[213],[250],[],[]
70,714,[553],[1000],[],[]
71,716,[95],[500],[],[]
72,717,[478],[500],[],[]
73,719,[9045],[500],[],[]
74,721,[9046],[500],[],[]
75,722,[63],[500],[],[]
76,724,[186],[500],[],[]
77,725,[1249],[1000],[],[]
78,726,[186],[500],[],[]
79,734,[186],[500],[],[]
80,877,[19033],[100],[],[]
81,878,[19033],[100],[],[]
82,879,[19033],[100],[],[]
83,3191,[19033],[100],[],[]
84,894,[3824],[500],[],[]
85,896,[959],[2000],[],[]
86,897,[1127],[100],[],[]
87,898,[959],[2000],[],[]
88,915,[497],[500],[],[]
89,916,[1785],[500],[],[]
90,918,[2093],[1000],[],[]
91,919,[164],[50],[],[]
92,920,[2093],[1000],[],[]
93,929,[9802],[5000],[],[]
94,930,[95],[2000],[],[]
95,931,[9802],[5000],[],[]
96,938,[12566],[2000],[],[]
97,949,[3335],[2000],[],[]
98,950,[3335],[2000],[],[]
99,951,[3335],[2000],[],[]
100,961,[175],[2000],[],[]
101,962,[175],[2000],[],[]
102,963,[175],[2000],[],[]
103,977,[16488],[500],[],[]
104,978,[16488],[500],[],[]
105,979,[16488],[500],[],[]
106,1015,[356],[50000],[],[]
107,1016,[19592],[2000],[],[]
108,1017,[356],[50000],[],[]
109,1026,[489],[500],[],[]
110,1027,[526],[350],[],[]
111,1029,[525],[500],[],[]
112,1030,[216],[500],[],[]
113,1032,[11528],[100],[],[]
114,1033,[11528],[100],[],[]
115,1034,[11528],[100],[],[]
116,1065,[2022],[1000],[],[]
117,1088,[620],[-1000],[],[]
118,1098,[12572],[250],[],[]
