"rownum","QualityModifier","Description","BaseItemTypesKey","rid"
0,20872,"Quality (Elemental Damage Modifiers)",286,0
1,20873,"Quality (Caster Modifiers)",287,1
2,20874,"Quality (Attack Modifiers)",288,2
3,20875,"Quality (Defence Modifiers)",289,3
4,20876,"Quality (Life and Mana Modifiers)",290,4
5,20877,"Quality (Resistance Modifiers)",291,5
6,20878,"Quality (Attribute Modifiers)",292,6
7,20879,"Quality (Physical and Chaos Damage Modifiers)",293,7
8,20880,"Quality (Speed Modifiers)",294,8
9,20881,"Quality (Critical Modifiers)",295,9
