"rownum","BaseItemTypesKey","bool","[rid]"
0,16,"",[]
1,0,"",[]
2,2,"",[]
3,10,"",[]
4,17,"",[]
5,26,"",[]
6,27,"",[]
7,28,"",[]
8,29,"",[]
9,213,"",[]
10,214,"",[]
11,215,"",[]
12,216,"",[]
13,217,"",[]
14,218,"",[]
15,219,"",[]
16,220,"",[]
17,221,"",[]
18,222,"",[]
19,11,"",[]
20,12,"",[]
21,7,"",[]
22,8,"",[]
23,20,"",[]
24,21,"",[]
25,9,1,[]
26,13,1,[]
27,24,1,[]
28,40,1,[]
29,19,1,[]
30,22,"",[]
31,7496,1,[]
32,206,1,[]
33,7461,1,[]
34,7462,1,[]
35,7463,1,[]
36,7464,1,[]
37,7465,1,[]
38,7466,1,[]
39,7468,1,[]
40,7467,1,[]
41,202,1,[376]
42,203,1,[376]
43,199,1,[376]
44,200,1,[376]
45,201,1,[376]
