"rownum","Item","TriggeredQuestFlag","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,10298,2284,"",225,"",[],"","","",1344,"","",""
1,10299,1870,"",351,"",[],"","","",1344,"","",""
2,10300,1869,"",352,"",[],"","","",1344,"","",""
3,10313,2301,"",979,"",[],"",1,888,1344,"","",""
4,10314,2302,"",980,"",[],"",1,888,1344,"","",""
5,10315,2303,"",981,"",[],"",1,888,1344,"","",""
6,10316,2304,"",982,"",[],"",1,888,1344,"","",""
7,6389,2583,"",1156,"",[],"","",903,1344,"","",""
8,6390,2584,"",1157,"",[],"","",904,1344,"","",""
9,6391,2594,"",1160,"",[],"","",905,1344,"","",""
10,10857,953,"",207,"",[],"",1,890,1344,"","",""
11,10859,954,"",212,"",[],"",1,6146,1344,"","",""
12,10861,955,"",323,"",[],"",1,891,1344,"","",""
13,10863,956,"",328,"",[],"",1,6147,1344,"","",""
14,6293,2007,"",662,"",[],"","",886,662,900,"skill_book",""
15,6294,2008,"",663,"",[],"","",886,663,900,"skill_book",""
16,6295,2009,"",664,"",[],"","",886,664,900,"skill_book",""
17,6296,2010,"",665,"",[],"","",886,665,900,"skill_book",""
18,6297,2012,"",675,"",[],"","",886,675,900,"skill_book",""
19,6298,2013,"",676,"",[],"","",886,676,900,"skill_book",""
20,6392,1518,1516,1344,1516,[],"","",906,1344,"","sentinel_controller",""
21,10995,2160,"",416,"",[],"","",908,1344,"","",""
