"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys","[rid]"
0,"IIQGrind",[],[1036],[],[],1,[0],[]
1,"TierGrind",[],[10005],[10230],[],1,[0],[]
2,"LeaguestoneGrind",[10],[],[],[],1,[0],[]
3,"Twinned",[3],[],[],[28],1,[0],[]
4,"RareUnid","[1,4]",[],[],[27],1,[0],[]
5,"Rare8Mod","[1,8]",[],[],[],1,[0],[]
6,"Rare8ModRed","[1,8,18]",[],"[10271,9525,9716]",[],1,[0],[]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0],[]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0],[]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0],[]
10,"ZanaMod",[11],[],[],[],1,[0],[]
11,"CraftedMods",[12],[],[],[],1,[0],[]
12,"Corrupted",[5],[],[],[],1,[0],[]
13,"AnySextant",[23],[],[],[],1,[0],[]
14,"NemesisSextant",[24],[],[],[],1,[0],[]
15,"GroundHasteSextant",[25],[],[],[],1,[0],[]
16,"NoReflectSextant",[26],[],[],[],1,[0],[]
17,"ExtraTeamMonstersSextant",[27],[],[],[],1,[0],[]
18,"BodyguardsSextant",[28],[],[],[],1,[0],[]
19,"BarrelSextant","[29,30,31,32,33,34]",[],[],[],"",[0],[]
20,"ConvertOnDeathSextant",[35],[],[],[],1,[0],[]
21,"OnslaughtIfHitRecentlySextant",[36],[],[],[],1,[0],[]
22,"QualityAffectsRaritySextant",[37],[],[],[],1,[0],[]
23,"CorruptedDropsSextant",[38],[],[],[],1,[0],[]
24,"MinStrongboxRaritySextant",[39],[],[],[],1,[0],[]
25,"PossessedRustedScarabSextant",[40],[],[],[],1,[0],[]
26,"PossessedPolishedScarabSextant",[41],[],[],[],1,[0],[]
27,"PossessedGildedScarabSextant",[42],[],[],[],1,[0],[]
28,"PossessedUniqueDropSextant",[44],[],[],[],1,[0],[]
29,"PossessedMapDropSextant",[45],[],[],[],1,[0],[]
30,"ShrineDurationSextant",[46],[],[],[],1,[0],[]
31,"CurrencyShardSextant",[47],[],[],[],1,[0],[]
32,"VaalMonstersSextant",[48],[],[],[],1,[0],[]
33,"BeyondSextant",[49],[],[],[],1,[0],[]
34,"TormentBetrayersSextant",[50],[],[],[],1,[0],[]
35,"TormentHereticsSextant",[51],[],[],[],1,[0],[]
36,"TormentGraverobbersSextant",[52],[],[],[],1,[0],[]
37,"CorruptEssenceSextant",[53],[],[],[],1,[0],[]
