"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,8204,1164,120,79,"","g","Vaults of Atziri",""
1,9273,1142,171,149,"","Ç","Maelstrom of Chaos",""
2,9292,1199,175,153,"","Å","The Coward's Trial",""
3,9335,1216,177,159,"","Ô","Acton's Nightmare",""
4,9368,1184,207,191,"","ß","Poorjoy's Asylum",""
5,9385,1171,230,209,"","À","Mao Kun",""
6,9389,1221,234,213,"","#","Oba's Cursed Trove",""
7,9449,1154,237,216,"","$","Olmec's Sanctum",""
8,9450,1173,238,217,1,"","Untainted Paradise",""
9,9603,1223,324,303,"","¿","Death and Taxes",""
10,9770,1114,386,394,"","È","Whakawairua Tuahu",""
11,10519,1202,409,417,1,"Ù","Hall of Grandmasters",""
12,10520,1168,610,577,1,"²","The Vinktar Square",""
13,11856,1156,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,11925,1116,723,893,1,"™","The Perandus Manor",1
15,12242,1187,807,1049,"","Õ","The Putrid Cloister",""
16,12243,1144,809,1051,"","Ð","Hallowed Ground",""
17,12478,1253,959,1506,1,"","The Beachhead",""
18,12479,1254,959,1506,1,"","The Beachhead",""
19,12480,1255,959,1506,1,"","The Beachhead",""
20,12482,1176,961,1527,"","^","The Twilight Temple",""
21,12483,1126,965,1528,1,"‹","Doryani's Machinarium",""
22,12484,1152,969,1529,"","›","Pillars of Arun",""
23,13092,454,1189,2151,1,"","Altered Distant Memory",""
24,13093,455,1190,2152,1,"","Augmented Distant Memory",""
25,13094,456,1191,2153,1,"","Twisted Distant Memory",""
26,13095,457,1192,2154,1,"","Rewritten Distant Memory",""
27,13096,453,1193,2155,1,"","Cortex",""
28,12481,1256,1280,1506,1,"","Infused Beachhead",""
29,13097,453,1194,2155,1,"","Cortex",""
30,12485,1152,970,1529,1,"","Pillars of Arun",""
31,9369,1184,208,191,1,"","Poorjoy's Asylum",""
32,13782,1758,1408,1784,1,"","The Tower of Ordeals",1
