"rownum","rid","bool","bool","bool"
0,1345,"","",""
1,1346,"","",""
2,1081,"","",""
3,1082,"","",""
4,1083,"","",""
5,1084,"","",""
6,1085,"","",""
7,1086,"","",""
8,1087,"","",""
9,1088,"","",""
10,1089,"","",""
11,1090,"","",""
12,1091,"","",""
13,1092,"","",""
14,1093,"","",""
15,1094,"","",""
16,1095,"","",""
17,1096,"","",""
18,1097,"","",""
19,1098,"","",""
20,1099,"","",""
21,1100,"","",""
22,1101,1,"",""
23,1102,"",1,""
24,1105,"","",""
25,1106,"","",""
26,1107,"","",""
27,1108,"","",""
