"rownum","Id","HASH16","CurrencyItem","Count","DisplayText"
0,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",19846,25,20,"20 Artificer's Orbs"
1,"Metadata/Items/Currency/CurrencyUpgradeToRare",20358,7,10,"10 Orbs of Alchemy"
2,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",54496,15,20,"20 Regal Orbs"
3,"Metadata/Items/Currency/CurrencyRerollRare",49977,3,10,"10 Chaos Orbs"
4,"Metadata/Items/Currency/CurrencyCorrupt",64921,42,10,"10 Vaal Orbs"
5,"Metadata/Items/Currency/CurrencyAddModToRare",62634,14,20,"20 Exalted Orbs"
6,"Metadata/Items/Currency/CurrencyModValues",61382,26,3,"3 Divine Orbs"
7,"Metadata/Items/Currency/CurrencyRemoveMod",19854,110,3,"3 Orb of Annulments"
8,"Metadata/Items/Currency/CurrencyUpgradeRandomly",45026,8,3,"3 Orbs of Chance"
9,"Metadata/Items/Currency/CurrencyArmourQuality",4897,5,20,"20 Armourer's Scraps"
10,"Metadata/Items/Currency/CurrencyWeaponQuality",32821,0,20,"20 Blacksmith's Whetstones"
11,"Metadata/Items/Currency/CurrencyMagicQuality",38303,1,20,"20 Arcanist's Etchers"
12,"Metadata/Items/Currency/CurrencyFlaskQuality",136,18,20,"20 Glassblower's Baubles"
13,"Metadata/Items/Currency/CurrencyGemQuality",53954,19,10,"10 Gemcutter's Prisms"
