"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[10118]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[10118,10161]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[10156]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[10156,10161]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[10157]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[10157,10161]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[10158]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[10158,10161]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[10159]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[10159,10161]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[10160]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[10160,10161]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[10107]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[10107,10108]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[10107]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[10107]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[10107]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[10107]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[10109]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[10109,10108]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[10109]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[10109]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[10109]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[10109]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[10110]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[10110,10108]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[10110]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[10110]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[10110]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[10110]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[10111]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[10111,10108]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[10111]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[10111]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[10111]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[10111]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[10112]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[10112,10108]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[10112]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[10112]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[10112]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[10112]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[10115,10113]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[10115,10113,10108]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[10115,10113]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[10115,10113]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[10115,10113]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[10115,10113]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[10116,10114]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[10116,10114,10108]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[10116,10114]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[10116,10114]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[10116,10114]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[10116,10114]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[10117,10107]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[10117,10115]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[10107,10108,11147]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[10107,10108,11147]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[10107,10108,11147]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[10107,10108,11147]"
