"rownum","Id","bool","i32","Name","AOFiles","bool","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","f32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","[rid]","string","i32","i32","bool","rid","rid","bool","bool","[rid]","bool","[string]","bool","bool","bool","i32","i32","rid","bool"
0,"Metadata/Chests/BarrelExplode",1,3,"Barrel","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]","",0,11927552,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-1241513984,0,0,0,-973078528,0,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-905969664,0,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,0,"",1
1,"Metadata/Chests/BarrelTar",1,3,"Barrel","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]","",0,20316160,0,-16908288,-16843010,-16843010,-16843010,16842494,0,905969664,1,0,0,1174405120,1,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1174405120,1,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,0,"",1
2,"Metadata/Chests/Barrel1NoDrops",1,3,"Barrel","[""Metadata/Chests/Barrels/GenericBarrel01.ao""]","",0,26083328,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-1912602624,1,0,0,-1644167168,1,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1644167168,1,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,0,"",1
3,"Metadata/Chests/MossyBoulder1",1,4,"Boulder","[""Metadata/Chests/MossyChests/MossyRockChest1.ao""]","",2,39190528,0,-16908288,-16843010,-16843010,-16843010,65278,0,1442840576,2,0,0,1442840576,2,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1442840576,2,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
4,"Metadata/Chests/MossyBoulder2",1,4,"Boulder","[""Metadata/Chests/MossyChests/MossyRockChest2.ao""]","",2,50069504,0,-16908288,-16843010,-16843010,-16843010,65278,0,-67108864,2,0,0,-67108864,2,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-67108864,2,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
5,"Metadata/Chests/MossyBoulder3",1,4,"Boulder","[""Metadata/Chests/MossyChests/MossyRockChest3.ao""]","",2,60948480,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1577058304,3,0,0,-1577058304,3,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1577058304,3,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
6,"Metadata/Chests/ForestBoulder1",1,4,"Boulder","[""Metadata/Chests/MossyChests/BoulderMossyForest_1.ao""]","",2,72613888,0,-16908288,-16843010,-16843010,-16843010,65278,0,1409286144,4,0,0,1409286144,4,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1409286144,4,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
7,"Metadata/Chests/ForestBoulder2",1,4,"Boulder","[""Metadata/Chests/MossyChests/BoulderMossyForest_2.ao""]","",2,84279296,0,-16908288,-16843010,-16843010,-16843010,65278,0,100663296,5,0,0,100663296,5,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,100663296,5,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
8,"Metadata/Chests/ForestBoulder3",1,4,"Boulder","[""Metadata/Chests/MossyChests/BoulderMossyForest_3.ao""]","",2,95944704,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1207959552,5,0,0,-1207959552,5,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1207959552,5,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
9,"Metadata/Chests/ForestBoulder4",1,4,"Boulder","[""Metadata/Chests/MossyChests/BoulderMossyForest_4.ao""]","",2,107610112,0,-16908288,-16843010,-16843010,-16843010,65278,0,1778384896,6,0,0,1778384896,6,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1778384896,6,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
10,"Metadata/Chests/ForestBoulder5",1,4,"Boulder","[""Metadata/Chests/MossyChests/BoulderMossyForest_5.ao""]","",2,119275520,0,-16908288,-16843010,-16843010,-16843010,65278,0,469762048,7,0,0,469762048,7,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,469762048,7,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
11,"Metadata/Chests/ForestBoulder6",1,4,"Boulder","[""Metadata/Chests/MossyChests/BoulderMossyForest_6.ao""]","",2,130940928,0,-16908288,-16843010,-16843010,-16843010,65278,0,-838860800,7,0,0,-838860800,7,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-838860800,7,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
12,"Metadata/Chests/RiverbedBoulder1",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirty_1.ao""]","",2,141688832,0,-16908288,-16843010,-16843010,-16843010,65278,0,1912602624,8,0,0,1912602624,8,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1912602624,8,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
13,"Metadata/Chests/RiverbedBoulder2",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirty_2.ao""]","",2,152436736,0,-16908288,-16843010,-16843010,-16843010,65278,0,369098752,9,0,0,369098752,9,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,369098752,9,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
14,"Metadata/Chests/RiverbedBoulder3",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirty_3.ao""]","",2,163184640,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1174405120,9,0,0,-1174405120,9,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1174405120,9,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
15,"Metadata/Chests/RiverbedBoulder4",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirty_4.ao""]","",2,173932544,0,-16908288,-16843010,-16843010,-16843010,65278,0,1577058304,10,0,0,1577058304,10,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1577058304,10,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
16,"Metadata/Chests/RiverbedBoulder5",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirty_5.ao""]","",2,184680448,0,-16908288,-16843010,-16843010,-16843010,65278,0,33554432,11,0,0,33554432,11,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,33554432,11,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
17,"Metadata/Chests/RiverbedBoulder6",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirty_6.ao""]","",2,195428352,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1509949440,11,0,0,-1509949440,11,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1509949440,11,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",1,200,"",1
18,"Metadata/Chests/GrimTangleBoulder1",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_1.ao""]","",2,207749120,0,-16908288,-16843010,-16843010,-16843010,65278,0,1644167168,12,0,0,1644167168,12,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1644167168,12,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1
19,"Metadata/Chests/GrimTangleBoulder2",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_2.ao""]","",2,220069888,0,-16908288,-16843010,-16843010,-16843010,65278,0,503316480,13,0,0,503316480,13,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,503316480,13,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1
20,"Metadata/Chests/GrimTangleBoulder3",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_3.ao""]","",2,232390656,0,-16908288,-16843010,-16843010,-16843010,65278,0,-637534208,13,0,0,-637534208,13,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-637534208,13,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1
21,"Metadata/Chests/GrimTangleBoulder4",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_4.ao""]","",2,244711424,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1778384896,14,0,0,-1778384896,14,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1778384896,14,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1
22,"Metadata/Chests/GrimTangleBoulder5",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_5.ao""]","",2,257032192,0,-16908288,-16843010,-16843010,-16843010,65278,0,1375731712,15,0,0,1375731712,15,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1375731712,15,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1
23,"Metadata/Chests/GrimTangleBoulder6",1,4,"Boulder","[""Metadata/Chests/Boulders/BoulderDirtyGrimTangle_6.ao""]","",2,269352960,0,-16908288,-16843010,-16843010,-16843010,65278,0,234881024,16,0,0,234881024,16,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,234881024,16,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"","","",0,200,"",1
24,"Metadata/Chests/VaalRubble1",1,3,"Loose Rubble","[""Metadata/Chests/VaalChests/VaalRubblePile01.ao""]",1,10,281804800,0,-16908288,-16843010,-16843010,-16843010,65278,0,-872415232,16,0,0,-872415232,16,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-872415232,16,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1
25,"Metadata/Chests/VaalRubble2",1,3,"Loose Rubble","[""Metadata/Chests/VaalChests/VaalRubblePile02.ao""]",1,10,292421632,0,-16908288,-16843010,-16843010,-16843010,65278,0,1845493760,17,0,0,1845493760,17,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1845493760,17,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1
26,"Metadata/Chests/VaalRubble3",1,3,"Loose Rubble","[""Metadata/Chests/VaalChests/VaalRubblePile03.ao""]",1,10,303038464,0,-16908288,-16843010,-16843010,-16843010,65278,0,268435456,18,0,0,268435456,18,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,268435456,18,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1
27,"Metadata/Chests/VaalRubble4",1,3,"Loose Rubble","[""Metadata/Chests/VaalChests/VaalRubblePile04.ao""]",1,10,313655296,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1308622848,18,0,0,-1308622848,18,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1308622848,18,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1
28,"Metadata/Chests/InfestationEggPurple",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/InfestationEgg.ao""]","",1,326500352,0,-16908288,-16843010,-16843010,-16843010,16842494,0,1979711488,19,0,0,-2046820352,19,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-2046820352,19,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
29,"Metadata/Chests/InfestationEggPurpleLarge",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/InfestationEgg.ao""]","",1,333709312,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-469762048,19,0,0,-201326592,19,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-201326592,19,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
30,"Metadata/Chests/InfestationEggPurpleSmall",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/InfestationEgg.ao""]","",1,340918272,0,-16908288,-16843010,-16843010,-16843010,16842494,0,1375731712,20,0,0,1644167168,20,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1644167168,20,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
31,"Metadata/Chests/InfestationEggGreen",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/RyslathaEgg.ao""]","",1,353632256,0,-16908288,-16843010,-16843010,-16843010,16842494,0,335544320,21,0,0,603979776,21,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,603979776,21,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
32,"Metadata/Chests/InfestationEggGreenLarge",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/RyslathaEgg.ao""]","",1,360710144,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-2147483648,21,0,0,-1879048192,21,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1879048192,21,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
