"rownum","Id","HASH32","DisplayString","[rid]","UiHints"
0,"default",422118271,"",[],""
1,"shield",2563403800,"",[],""
2,"ring",1548697290,"",[],""
3,"amulet",2782997871,"",[],""
4,"boots",2607746581,"",[],""
5,"bow",679464059,"",[],""
6,"equipment",722580695,"",[],""
7,"armour",2957524167,"",[],""
8,"weapon",2083734973,"",[],""
9,"wand",480222972,"",[],""
10,"staff",471286042,"",[],""
11,"mace",806631069,"",[],""
12,"sword",3989395041,"",[],""
13,"dagger",439417649,"",[],""
14,"claw",1232106651,"",[],""
15,"axe",2654028327,"",[],""
16,"body_armour",3277734544,"",[],""
17,"life_flask",3992779349,"",[],""
18,"mana_flask",3309677938,"",[],""
19,"hybrid_flask",774333752,"",[],""
20,"flask",3327377908,"",[],""
21,"quiver",2244848098,"",[],""
22,"gloves",1392394290,"",[],""
23,"onehand",1350994486,"",[],""
24,"twohand",4111396113,"",[],""
25,"helmet",3097172743,"",[],""
26,"belt",2520187466,"",[],""
27,"gem",2791310464,"Gem",[],""
28,"relic",3144236702,"",[],""
29,"not_str",1726095109,"",[],""
30,"not_dex",1518814017,"",[],""
31,"not_int",4204177021,"",[],""
32,"ranged",2439474685,"",[],""
33,"not_for_sale",298763543,"",[],""
34,"caster",993687062,"Caster",[],""
35,"magic",4061094038,"",[],""
36,"rare",809785191,"",[],""
37,"sceptre",3807640350,"",[],""
38,"str_armour",5047160,"",[306],""
39,"dex_armour",4008173021,"",[307],""
40,"int_armour",1534929092,"",[308],""
41,"str_dex_armour",593525683,"","[306,307]",""
42,"str_int_armour",126758274,"","[306,308]",""
43,"dex_int_armour",3175190279,"","[307,308]",""
44,"str_dex_int_armour",249531404,"","[306,307,308]",""
45,"focus",3429016659,"",[],""
46,"utility_flask",2981451131,"",[],""
47,"critical_utility_flask",1559119753,"",[],""
48,"humanoid",2827579785,"",[],""
49,"mammal_beast",658107308,"",[],""
50,"reptile_beast",259341384,"",[],""
51,"skeleton",1934215573,"",[],""
52,"zombie",2600842821,"",[],""
53,"ghost",1711657501,"",[],""
54,"earth_elemental",3677543486,"",[],""
55,"water_elemental",2522463463,"",[],""
56,"demon",526180268,"",[],""
57,"map",117084118,"",[],""
58,"rapier",3082615631,"",[],""
59,"necromancer_raisable",2215483723,"",[],""
60,"lots_of_life",2664853171,"",[],""
61,"indoors_area",1812553362,"",[],""
62,"beach",438557988,"",[],""
63,"dungeon",2489792956,"",[],""
64,"cave",3503134669,"",[],""
65,"forest",3783971532,"",[],""
66,"swamp",1271616055,"",[],""
67,"mountain",801147916,"",[],""
68,"temple",3448486726,"",[],""
