"rownum","Id","Name","LocalLevelStat","LocalQualityStat","GlobalSpellLevelStat"
0,"fire","[Fire]",9626,10103,10160
1,"cold","[Cold]",9627,10104,10006
2,"lightning","[Lightning]",9628,10105,10009
3,"chaos","[Chaos]",9629,10106,14324
4,"spell","[Spell]","",9625,""
5,"projectile","[Projectile]","",18967,""
6,"bow","[Bow]","",17993,""
7,"melee","[Melee]","",17992,""
8,"minion","[Minion]","",9631,14325
9,"strength","","",10108,""
10,"dexterity","","",10109,""
11,"intelligence","","",10110,""
12,"aura","[Aura]","","",10005
13,"attack","[Attack]","","",""
14,"area","[AoESkill|AoE]","","",""
15,"duration","[DurationSkill|Duration]","","",""
16,"support","[SupportGem|Support]","","",""
17,"curse","[Curse]","",16693,10008
18,"chaining","[Chain|Chaining]","","",""
19,"totem","[Totem]","",10112,""
20,"trap","Trap","",17991,""
21,"mine","Mine","","",""
22,"cast","Cast","","",""
23,"vaal","Vaal","",10111,""
24,"grants_active_skill","","","",""
25,"trigger","[Trigger]","","",""
26,"warcry","[Warcry]","","",""
27,"low_max_level","","","",""
28,"channelling","[Channelling]","","",""
29,"herald","[Herald]","","",""
30,"physical","[Physical]",9630,10107,14323
31,"travel","[Travel]","","",""
32,"strike","[Strike]","","",14322
33,"nova","[Nova]","","",""
34,"banner","[Banner]","","",""
35,"slam","[Slam]","","",""
36,"mark","[Mark]","","",""
37,"orb","[Orb]","","",""
38,"critical","[Critical]","","",""
39,"exceptional","Exceptional","","",""
40,"link","Link","",17104,""
41,"awakened","","","",""
42,"meta","[Meta]","","",""
43,"crossbow","[Crossbow]","",17994,""
44,"shapeshift","Shapeshift","","",""
45,"bear","Bear","","",""
46,"wolf","Wolf","","",""
47,"detonator","[Detonator]","","",""
48,"buff","[Buff]","","",""
49,"persistent","[Persistent]","","",""
50,"ammunition","[Ammunition]","","",""
51,"sustained","[Sustained]","","",""
52,"payoff","[Payoff]","","",""
53,"grenade","[Grenade]","","",""
54,"command","[Command]","","",""
55,"remnant","[Remnant]","","",""
56,"stages","[GainsStages|Staged]","","",""
57,"conditional","[Conditional]","","",""
58,"companion","[Companion]","","",""
59,"hazard","[Hazard]","","",""
