"rownum","rid","[rid]"
0,2332,"[13891,13894,13897,13899,13901]"
1,2333,"[13904,13907,13910,13912,13914]"
2,2334,"[13917,13920,13923,13925,13927]"
3,2335,"[13930,13933,13936,13938,13940]"
4,2336,"[13943,13946,13949,13951,13953]"
5,2337,"[13956,13959,13962,13964,13966]"
6,2338,"[13969,13972,13975,13977,13979]"
7,2339,"[13982,13985,13988,13990,13992]"
8,2340,"[13995,13998,14001,14003,14005]"
9,2341,"[14008,14011,14014,14016,14018]"
10,2342,"[14021,14024,14027,14029,14031]"
11,2343,[14034]
12,2344,[14047]
13,2345,"[14060,14063,14066,14068,14070]"
14,2346,"[14073,14076,14079,14081,14083]"
15,2347,"[14086,14089,14094,14096,14098]"
16,2348,[14101]
17,2349,"[14117,14120,14123,14125,14127]"
18,2350,"[14132,14135,14138,14140,14142]"
19,2351,"[14147,14150,14153,14155,14157]"
20,2352,"[14162,14164,14166,14168,14170]"
21,2353,"[14177,14179,14181,14183,14185]"
22,2354,"[14190,14192,14194,14196,14198]"
23,2355,"[14203,14205,14207,14209,14211]"
24,2356,"[14214,14216,14218,14220,14222]"
25,2357,"[14225,14227,14229,14231,14233]"
26,2358,"[14236,14238,14240,14241,14242]"
27,2359,"[14244,14246,14248,14249,14250]"
28,2360,"[14252,14254,14256,14257,14258]"
29,2361,"[14260,14262,14264,14265,14266]"
30,2362,"[14268,14270,14272,14273,14274]"
31,2363,"[14276,14278,14280,14281,14282]"
32,2364,"[14284,14285,14286,14287,14288]"
33,2365,"[14290,14291,14292,14293,14294]"
34,2366,"[14296,14297,14298,14299,14300]"
35,2367,"[14302,14304,14306,14307,14308]"
36,2368,"[14310,14312,14314,14315,14316]"
37,2369,"[14318,14320,14322,14323,14324]"
38,2370,"[14326,14327,14328,14329,14330]"
39,2371,"[14332,14333,14334,14335,14336]"
40,2372,"[14338,14339,14340,14341,14342]"
41,2373,"[14344,14347,14350,14352,14354]"
42,2374,"[14357,14359,14361,14363,14365]"
43,2375,"[14368,14370,14372,14374,14376]"
44,2376,"[14379,14382,14385,14387,14389]"
45,2377,"[14392,14395,14398,14400,14402]"
46,2378,[14405]
47,2379,[14427]
48,2380,[14437]
49,2381,[14448]
