"rownum","rid","rid","i32"
0,15635,15635,3
1,15636,15636,3
2,15632,15632,0
3,15633,15633,0
4,15634,15634,0
5,15637,15637,0
6,15638,210,0
7,15640,5882,0
8,15643,210,1
9,15644,210,2
10,15645,210,3
11,15646,11186,1
12,15564,11186,2
13,15647,166,1
14,15648,166,2
15,15649,15400,1
16,15650,15400,2
17,15662,15559,3
18,15660,15660,1
19,15661,15661,3
20,15622,15622,4
21,15623,15623,4
22,15624,15624,4
23,15653,15653,0
24,15654,15653,1
25,15655,15653,3
26,15657,15656,1
27,15658,15656,2
28,15659,15659,3
29,15651,15651,0
30,15652,15651,3
31,15639,15639,0
32,15641,15639,2
33,15642,15639,3
34,15565,15565,4
35,15663,15684,1
36,15664,15664,0
37,15665,15685,3
38,15673,15673,3
39,15674,15674,2
40,15675,15675,1
41,15676,15676,2
42,15677,15677,2
43,15705,15653,2
44,15712,15712,4
45,15711,15711,4
