"rownum","string","string","i32","i32","bool","i32","i32","i32","i32"
0,"HapticsUIMenuSelect","Audio/Haptics/HapticsUIMenuSelect.wav",2,1048576000,"",2,120,1057635697,1032805417
1,"HapticsUIMenuSelectHold","Audio/Haptics/HapticsUIMenuSelect.wav",2,1048576000,"",2,120,1057635697,1032805417
2,"HapticsUIMenuCancel","Audio/Haptics/HapticsUIMenuCancel.wav",2,1048576000,"",2,120,1057635697,1032805417
3,"HapticsUIMenuCursorMove","Audio/Haptics/HapticsUIMenuCancel.wav",1,1028443341,"",2,25,1051260355,1041865114
4,"HapticsUISocialNotificationGeneral","Audio/Haptics/HapticsUISocialNotificationGeneral.wav",6,1056964608,"",3,120,1057635697,1032805417
5,"HapticsCombatFlaskEmptyMana","Audio/Haptics/HapticsCombatFlaskEmptyMana.wav",7,1056964608,"",1,120,1058139013,1028443341
6,"HapticsCombatHitBig","Audio/Haptics/HapticsCombatHitBig.wav",9,1056964608,"",1,120,1057635697,1059648963
7,"HapticsCombatHitMedium","Audio/Haptics/HapticsCombatHitMedium.wav",8,1053609165,"",1,120,1057635697,1052938076
8,"HapticsCombatLifeHeartbeat","Audio/Haptics/HapticsCombatLifeHeartbeat.wav",100,1056964608,1,1,120,1057635697,1032805417
9,"HapticsSkillsMeleeSlams","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1053609165,"",0,120,1057635697,1041865114
10,"HapticsSkillMeleeEarthQuake","Audio/Haptics/EarthquakeSlam.wav",5,1053609165,"",1,120,1057635697,1032805417
11,"HapticsSkillMeleeEarthQuake_AoE_3D","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1061997773,"",0,120,1057635697,1040522936
12,"HapticsSkillShockwaveTotem_AoE_3D","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1061997773,"",0,120,1057635697,1032805417
13,"HapticsSkillMeleePerfectStrike_charge","Audio/Haptics/PerfectStrike_Charge.wav",5,1056964608,1,1,120,1057635697,1032805417
14,"HapticsSkillMeleePerfectStrike_perfect","Audio/Haptics/PerfectStrike_Perfect.wav",5,1056964608,"",0,120,1057635697,1040522936
15,"HapticSkillMeleeLeapSlam","Audio/Haptics/LeapSlam_Slam.wav",4,1053609165,"",0,120,1057635697,1046562734
16,"HapticSkillVolcanicFissure","Audio/Haptics/VolcanicFissure_Slam.wav",4,1048576000,"",0,120,1065353216,1008981770
17,"HapticSkillSuperChargeSlam_charge","Audio/Haptics/SuperChargeSlam_charge.wav",5,1061997773,1,1,120,1065353216,1008981770
18,"HapticSkillSuperChargeSlam_normal","Audio/Haptics/SuperChargeSlam_Normal.wav",4,1048576000,"",0,120,1065353216,1008981770
19,"HapticSkillSuperChargeSlam_perfect","Audio/Haptics/SuperChargeSlam_Perfect.wav",4,1061158912,"",0,120,1065353216,1008981770
20,"HapticSkillStampede_steps","Audio/Haptics/Stampede_steps.wav",4,1053609165,"",0,120,1057635697,1032805417
