"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]","i32","bool","i32"
0,"ForgottenReliquaryChest",892,1189,0,[9798],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",111,[],60,"",0
1,"ForgottenReliquaryChest2",893,1190,0,[9799],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",112,[],60,"",0
2,"ForgottenReliquaryChestVaal",894,1191,0,[9800],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",113,[],60,"",0
3,"ForgottenReliquaryVenarius",895,1192,0,[9801],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",114,[],60,"",0
4,"ForgottenReliquaryEaterOfWorlds",896,1193,0,[9802],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",115,[],60,"",0
5,"ForgottenReliquaryMaven",897,1194,0,[9803],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",116,[],60,"",0
6,"ForgottenReliquarySearingExarch",898,1195,0,[9804],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",117,[],60,"",0
7,"ForgottenReliquarySirus",899,1196,0,[9805],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",118,[],60,"",0
8,"ForgottenReliquaryShaper",900,1197,0,[9806],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",119,[],60,"",0
9,"ForgottenReliquaryUberElder",901,1198,0,[9807],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",120,[],60,"",0
10,"ForgottenReliquaryCosmic",902,1199,0,[9808],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",121,[],60,"",0
11,"ReliquaryTwilightOrder",1726,1200,0,[],0,[],"Metadata/Chests/Reliquary/kethChestGold.ao",1,[],"",2144,[],60,"",0
12,"UniqueCorruptionVaalStrongboxMartial",1727,3216,58,[4445],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",81,[],57,1,16777216
13,"UniqueCorruptionVaalStrongboxMartialLow",1727,3216,33,[4445],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",82,[],57,1,16777216
14,"UniqueCorruptionVaalStrongboxMartialHigh",1727,3216,0,[4445],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",83,[],57,1,16777216
15,"UniqueCorruptionVaalStrongboxCaster",1727,3216,58,[4445],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",84,[],58,1,16777216
16,"UniqueCorruptionVaalStrongboxCasterLow",1727,3216,33,[4445],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",85,[],58,1,16777216
17,"UniqueCorruptionVaalStrongboxCasterHigh",1727,3216,0,[4445],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",86,[],58,1,16777216
18,"UniqueCorruptionVaalStrongboxArmourer",1727,3216,58,[4445],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",87,[],59,1,16777216
19,"UniqueCorruptionVaalStrongboxArmourerLow",1727,3216,33,[4445],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",88,[],59,1,16777216
20,"UniqueCorruptionVaalStrongboxArmourerHigh",1727,3216,0,[4445],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",89,[],59,1,16777216
21,"UniqueCorruptionVaalStrongboxJeweller",1727,3216,58,[4445],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",90,[],56,1,16777216
22,"UniqueCorruptionVaalStrongboxJewellerLow",1727,3216,33,[4445],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",91,[],56,1,16777216
23,"UniqueCorruptionVaalStrongboxJewellerHigh",1727,3216,0,[4445],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7156,0]","",92,[],56,1,16777216
24,"UniqueRevivingEzomyteStrongboxLarge",1728,3217,0,"[7158,7423]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",97,[],60,"",0
25,"UniqueRevivingEzomyteStrongboxLargeLow",1728,3217,0,"[7158,7423]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",98,[],60,"",0
26,"UniqueRevivingEzomyteStrongboxLargeHigh",1728,3217,0,"[7158,7423]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",99,[],60,"",0
27,"UniqueRevivingEzomyteStrongboxBasic",1728,3217,0,"[7158,7423]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",100,[],60,"",0
28,"UniqueRevivingEzomyteStrongboxBasicLow",1728,3217,0,"[7158,7423]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",101,[],60,"",0
29,"UniqueRevivingEzomyteStrongboxBasicHigh",1728,3217,0,"[7158,7423]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",102,[],60,"",0
30,"UniqueVentorsMysteryBox",1729,3218,0,"[13329,13330,13331,13333]",1000,[],"Metadata/Chests/StrongBoxes/VentorStrongbox/VentorStrongbox.ao",1,[13332],"",95,[],60,"",0
31,"UniqueEtchedBeetleChestOrnate",1730,3219,51,"[13387,13389]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",103,[],60,"",0
32,"UniqueEtchedBeetleChestOrnateLow",1730,3219,20,"[13387,13389]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",104,[],60,"",0
33,"UniqueEtchedBeetleChestOrnateHigh",1730,3219,0,"[13387,13389]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",105,[],60,"",0
34,"UniqueEtchedBeetleChestJeweller",1730,3219,51,"[13388,13390]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",90,[],60,"",0
35,"UniqueEtchedBeetleChestJewellerLow",1730,3219,20,"[13388,13390]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",91,[],60,"",0
36,"UniqueEtchedBeetleChestJewellerHigh",1730,3219,0,"[13388,13390]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",92,[],60,"",0
