"rownum","TaggedStat","rid","[rid]","rid","rid"
0,15451,24,[],"",""
1,15452,8547,[],"",""
2,15550,"",[477],"",""
3,15557,"",[479],"",""
4,15569,"",[],1,""
5,15570,"",[],2,""
6,15571,"",[],4,""
7,15572,"",[],12,""
8,15573,"",[],9,""
9,15574,"",[],10,""
10,15575,"",[],24,""
11,15632,11,[],"",""
12,15633,10,[],"",""
13,15634,15567,[],"",""
14,15635,1745,[],"",""
15,15636,7231,[],"",""
16,15556,"",[],"",1
17,15562,"",[],"",8
18,15563,"",[],"",2
19,15599,"",[],"",3
20,15600,"",[],"",4
21,15601,"",[],"",5
22,15602,"",[],"",6
23,15603,"",[],"",7
24,15604,"",[],"",9
25,15605,"",[],"",10
26,15606,"",[],"",12
27,15607,"",[],"",13
28,15608,"",[],"",14
29,15609,"",[],"",15
30,15610,"",[],"",16
31,15611,"",[],"",17
32,15612,"",[],"",18
33,15613,"",[],"",19
34,15614,"",[],"",20
35,15615,"",[],"",21
36,15616,"",[],"",22
37,15617,"",[],"",23
38,15618,"",[],"",24
39,15719,2355,[],"",""
