"rownum","i32","Biomes","AdjacentBiomes","WorldAreaBoss","WorldArea","NaturalSpawnWeight","NativePacks","FlavourText","MinWatchstoneTier","i32","i32","i32","rid","i32","rid","rid","rid","i32","rid","i32","rid"
0,0,"[4,2,3,4]",[],"",141,[0],[],"The last light at the end of the world.",0,1,0,72,0,0,"",1,2,2,4205,0,""
1,1,"[2,3]",[],216,217,"[200,200,2000]",[566],"Bright colours hide the rot beneath.",0,1,0,72,0,0,4,0,3,0,4205,0,""
2,2,"[2,5]",[],222,223,"[200,200,2000]",[448],"Wild lands spurn those who claim to rule them.",0,1,0,72,0,0,5,0,3,0,4205,0,""
3,3,[5],[],224,225,"[200,200,2000]",[576],"Time overwhelms even the sturdiest walls.",0,1,0,72,0,0,6,0,3,0,4205,0,""
4,4,[6],[],226,227,"[200,200,2000]",[473],"Restless prisoners yearn for freedom.",0,1,0,72,0,0,7,0,3,0,4205,0,""
5,5,[3],[],228,229,[0],[526],"The grandest of monuments, standing proudly before an audience of none.",0,1,0,72,0,0,"",0,4,6,4205,0,118
6,6,[0],"[2,3]","",233,"[200,200,2000]",[421],"A haven for seabirds. A hazard for sailors.",0,1,0,72,0,0,8,0,3,0,4205,0,""
7,7,"[1,5]",[],234,235,"[200,200,2000]",[485],"No living hands ever stoked these flames.",0,1,0,72,0,0,9,0,3,0,4205,0,""
8,8,"[1,4,5]",[],236,237,"[200,200,2000]",[558],"Beasts of many kinds sought shelter one final time.",0,1,0,72,0,0,10,0,3,0,4205,0,""
9,9,"[3,4]",[],238,239,"[200,200,2000]",[443],"These waters devour the same souls they feed.",0,1,0,72,0,0,11,2,3,0,4205,0,""
10,10,[3],[],242,243,"[200,200,2000]",[562],"The woods give their leaves to the seasons. Man takes the rest.",0,1,0,72,0,0,12,0,3,0,4205,0,""
11,11,[4],[],244,245,"[200,200,2000]",[565],"Humanity trapped within a cage of desperation and agony.",0,1,0,72,0,0,49,0,3,0,4205,0,""
12,12,[3],[],246,247,"[200,200,2000]",[415],"Leaves cling to trees as souls cling to life.",0,1,0,72,0,0,13,0,3,0,4205,0,""
13,13,[7],[0],250,251,"[100,100,1000]",[579],"Sturdy walls held out an armada, but not the famine it brought.",0,1,0,72,0,0,14,0,3,0,4205,0,""
14,14,[1],[],252,253,"[200,200,2000]",[410],"The last vestiges of earth, lost beyond the sky.",0,1,0,72,0,0,15,0,3,0,4205,0,""
15,15,[6],[],254,255,"[200,200,2000]",[412],"Silent stones mark ancient graves and forgotten sorrows.",0,1,0,72,0,0,16,0,3,0,4205,0,""
16,16,"[1,2,5]",[],256,257,"[200,200,2000]",[418],"Those killed in battle do not rest peacefully.",0,1,0,72,0,0,17,0,3,0,4205,0,""
17,17,"[1,2,3]",[],260,261,"[200,200,2000]",[430],"The tears of a ravaged earth.",0,1,0,72,0,0,18,0,3,0,4205,0,""
18,18,"[2,3,4]",[],262,263,"[200,200,2000]",[408],"The fetid home of foul generations.",0,1,0,72,0,0,19,0,3,0,4205,0,""
19,19,[3],[],264,265,"[200,200,2000]",[559],"Rushing waters threaten to move the earth.",0,1,0,72,0,0,47,0,3,0,4205,0,""
20,20,[2],[],"",281,"[200,200,2000]",[567],"Even the sparse vegetation does not linger here long.",0,1,0,72,0,0,20,0,3,0,4205,0,""
21,21,"[1,5]",[],"",277,"[200,200,2000]",[583],"Stagnant oils mix to form a deadly concoction.",0,1,0,72,0,0,21,0,3,0,4205,0,""
22,22,[3],[],268,269,"[200,200,2000]",[454],"Vast lairs of silk span the treetops.",0,1,0,72,0,0,22,0,3,0,4205,0,""
