"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32","[rid]","bool","[rid]","bool","[rid]"
0,"LifeTop","Life",[237],0,[],[],18,"",[],0,[],"",[],"",[]
1,"LifeUnreservedTop","Unreserved Life",[10059],0,[3996],[],18,1,[],0,[],"",[],"",[]
2,"LifeRecoveryTop","Recovery per Second",[1411],0,[],[],18,"",[2],0,[],"",[],"",[]
3,"ManaTop","Mana",[238],0,[],[710],21,"",[],0,[],"",[],"",[]
4,"ManaUnreservedTop","Unreserved Mana",[10060],0,[2831],[710],21,1,[],0,[],"",[],"",[]
5,"ManaRecoveryTop","Recovery per Second",[1412],0,[],[710],21,"",[2],0,[],"",[],"",[]
6,"EnergyShieldTop","Energy Shield",[239],0,[],[],19,"",[],0,[],"",[],"",[]
7,"EnergyShieldRecoveryTop","Recovery per Second",[1413],0,[239],[],19,"",[2],0,[],"",[],"",[]
8,"EnergyShieldRechargeTop","Recharge per Second",[242],0,[239],[],19,"",[2],0,[],"",[],"",[]
9,"EnergyShieldRechargeDelayTop","Recharge Delay",[22291],9,[239],[],19,1,[13],0,[],"",[],"",[]
10,"SpiritTop","Spirit",[16423],0,[],[22347],20,"",[],0,[],"",[],"",[]
11,"ArmourEstimatedPhysDamageReductionTopBig","Armour",[729],1,[],[],22,"",[],0,[],"",[],"",[]
12,"ArmourTop","Armour",[233],0,[],[],22,"",[],0,[],"",[],"",[]
13,"ArmourAdditionalPhysReductionTop","Additional Physical Damage Reduction",[433],1,[],[],22,1,[],0,[],"",[],"",[]
14,"ArmourEstimateReductionTop","Estimated Physical Damage Reduction",[729],1,[],[],22,"",[],0,[],"",[],"",[]
15,"EstimateReductionVsHitsTop","Estimated Physical Damage reduction against Hits",[6933],1,[6932],[],22,"",[],0,[],"",[],"",[]
16,"Evasion","Evasion Rating",[274],0,[],[],23,1,[],0,[],"",[],"",[]
17,"EvasionTop","Evasion",[689],1,[],[],23,"",[],0,[],"",[],"",[]
18,"EvasionTopPopup","Estimated Evasion Chance",[689],1,[],[],23,"",[],0,[],"",[],"",[]
19,"MeleeEvadeChanceTop","Estimated chance to Evade Melee Attacks",[10076],1,[],[10078],23,1,[],0,[],"",[],"",[]
20,"ProjectileEvadeChanceTop","Estimated chance to Evade Projectile Attacks",[10077],1,[],[10078],23,1,[],0,[],"",[],"",[]
21,"BlockChanceAttackTop","Block",[22390],1,[],[],26,"",[],0,[],"",[],"",[]
22,"EstimatedBlockChanceTopPopup","Estimated Block Chance",[22390],1,[22392],[],26,"",[],0,[],"",[],"",[]
23,"BlockChanceTopPopup","Block Chance",[945],1,[],[22392],26,"",[],0,[],"",[],"",[]
24,"MaxBlockChanceTop","Maximum Block chance",[14148],1,[],[],26,1,[],0,[],"",[],"",[]
25,"LifeStats","Maximum Life",[237],0,[],[],27,"",[],0,[],"",[],"",[]
26,"LifeUnreserved","[Reservation|Unreserved] maximum Life",[10059],0,[3996],[],27,1,[],0,[],"",[],"",[]
27,"LifeRecovery","Total Life Recovery per second",[1411],0,[],[],27,1,[2],0,[],"",[],"",[]
28,"LifeRecoveryRegen","Life Recovery per second from Regeneration",[240],0,[],[],27,1,[2],0,[],"",[],"",[]
29,"LifeRecoveryRecharge","Life Recovery per second from [LifeRecharge|Recharge]",[12680],0,[],[],27,1,[2],0,[],"",[],"",[]
30,"LifeRecoveryFlasks","Life Recovery per second from [Flask|Flasks]",[12681],0,[],[],27,1,[2],0,[],"",[],"",[]
31,"LifeRecoveryLeech","Life Recovery per second from [Leech]",[12683],0,[],[],27,1,[2],0,[],"",[],"",[]
32,"LifeRecoveryOther","Life Recovery per second from other sources",[12682],0,[],[],27,1,[2],0,[],"",[],"",[]
33,"LifeRecoup","Damage taken [Recoup|Recouped] as Life",[9019],1,[],[],27,1,[],0,[],"",[],"",[]
34,"InfernalLegionBurning","",[9576],12,[],[],27,1,[],0,[],"",[],"",[]
35,"ManaStats","Mana",[238],0,[],[710],29,"",[],0,[],"",[],"",[]
36,"ManaUnreserved","[Reservation|Unreserved] Mana",[10060],0,[2831],[710],29,1,[],0,[],"",[],"",[]
37,"ManaRecovery","Total Mana Recovery per second",[1412],0,[],[710],29,1,[2],0,[],"",[],"",[]
38,"ManaRecoveryRegen","Mana Recovery per second from Regeneration",[241],0,[],[710],29,1,[2],0,[],"",[],"",[]
39,"ManaRecoveryFlasks","Mana Recovery per second from [Flask|Flasks]",[12684],0,[],[710],29,1,[2],0,[],"",[],"",[]
40,"ManaRecoveryLeech","Mana Recovery per second from [ManaLeech|Leech]",[8714],0,[],"[22263,710]",29,1,[2],0,[],"",[],"",[]
41,"ManaRecoveryOther","Mana Recovery per second from other sources",[12685],0,[],"[22263,710]",29,1,[2],0,[],"",[],"",[]
42,"ManaRecoup","Damage taken [Recoup|Recouped] as Mana",[1074],1,[],[710],29,1,[],0,[],"",[],"",[]
43,"EnergyShieldStats","Maximum [EnergyShield|Energy Shield]",[239],0,[],[],28,1,[],0,[],"",[],"",[]
44,"EnergyShieldRecharge","[EnergyShield|Energy Shield] [ESRecharge|Recharge] per Second",[242],0,[239],[],28,1,[2],0,[],"",[],"",[]
45,"EnergyShieldDelay","[EnergyShield|Energy Shield] [ESRecharge|Recharge] delay",[22291],9,[239],[],28,1,[13],0,[],"",[],"",[]
46,"EnergyShieldRecovery","Total [EnergyShield|Energy Shield] Recovery per second",[1413],0,[239],[],28,1,[2],0,[],"",[],"",[]
47,"EnergyShieldRecoveryRegen","[EnergyShield|Energy Shield] Recovery per second from Regeneration",[1058],0,[239],[],28,1,[2],0,[],"",[],"",[]
48,"EnergyShieldRecoveryRecharge","[EnergyShield|Energy Shield] Recovery per second from [ESRecharge|Recharge]",[12686],0,[239],[],28,1,[2],0,[],"",[],"",[]
