"rownum","rid","rid"
0,9415,0
1,9416,31
2,14405,8
3,14406,9
4,14407,10
5,14408,11
6,14409,12
7,14410,13
8,14411,14
9,14412,15
10,14413,16
11,14414,17
12,14415,18
13,14799,19
14,14800,20
15,14801,21
16,14802,22
17,14803,23
18,14804,24
19,14805,25
20,14806,26
21,14807,27
22,14808,28
23,14809,29
24,15230,30
25,13969,31
26,13970,32
27,13971,33
28,13972,34
29,13973,35
30,13974,36
31,13975,37
32,13976,38
33,13977,39
34,13978,40
35,13979,41
36,13980,42
37,13981,43
38,15008,44
39,15009,45
40,15010,46
41,15011,47
42,15012,48
43,15013,49
44,15014,50
45,15015,51
46,15016,52
47,15017,53
48,15018,54
49,15019,55
50,15020,56
51,6775,57
