"rownum","string","string","string","string","rid"
0,"GoldReward","Art/2DItems/QuestItems/RewardGold.dds","Gold","This quest will give you gold.",1714
1,"BookOfSpecialiation","Art/2DItems/QuestItems/RewardBook.dds","Book of Specialisation","This quest will reward you with a Book of Specialiation.",2695
2,"UncutSkillGem","Art/2DItems/QuestItems/RewardSkillGem.dds","Uncut Skill Gem","This quest will reward you with an Uncut Skill Gem.",2771
3,"UncutSupportGem","Art/2DItems/QuestItems/RewardSupportGem.dds","Uncut Support Gem","This quest will reward you with an Uncut Support Gem.",2773
4,"UncutBuffSkillGem","Art/2DItems/QuestItems/RewardSkillGemBuff.dds","Uncut Buff Skill Gem","This quest will reward you with an Uncut Buff Skill Gem.",3111
5,"ConsumablePermanentBenefit","Art/2DItems/QuestItems/RewardConsumableBuff.dds","Permanent Benefit Consumable","This quest will reward you with a consumable that can be used to grant you a permanent benefit.",""
6,"RingMagic","Art/2DItems/QuestItems/RewardJewellery.dds","Magic Ring","This quest will reward you with a magic Ring.",""
7,"RingRare","Art/2DItems/QuestItems/RewardJewellery.dds","Rare Ring","This quest will reward you with a rare Ring.",""
8,"AmuletMagic","Art/2DItems/QuestItems/RewardAmulet.dds","Magic Amulet","This quest will reward you with a magic Amulet.",""
9,"FlaskMagic","Art/2DItems/QuestItems/RewardFlasks.dds","Magic Utility Flask","This quest will reward you with a magic Utility Flask.",""
10,"BootsMagic","Art/2DItems/QuestItems/RewardBoots.dds","Magic Boots","This quest will reward you with a pair of magic Boots.",""
11,"GlovesMagic","Art/2DItems/QuestItems/RewardGloves.dds","Magic Gloves","This quest will reward you with a pair of magic Gloves.",""
12,"Helmet","Art/2DItems/QuestItems/RewardArmours.dds","Helmet","This quest will reward you with a Helmet.",""
13,"Gear","Art/2DItems/QuestItems/RewardGear.dds","Equippable Item","This quest will reward you with an equippable item.",""
14,"Weapons","Art/2DItems/QuestItems/RewardWeapons.dds","Weapon","This quest will reward you with a Weapon.",""
15,"MapMagic","Art/2DItems/QuestItems/RewardMap.dds","Waystone","This quest will reward you with a magic Waystone.",""
16,"CraftingBench","Art/2DItems/QuestItems/RewardCraftingBench.dds","Salvage Bench Unlock","This quest will unlock use of the Salvage Bench.",""
17,"AtlasPassivePoints","Art/2DItems/QuestItems/RewardAtlasPassive.dds","Atlas Passive Points","This quest will reward you with Atlas Passive Points.",""
18,"Charm","Art/2DItems/QuestItems/RewardCharms.dds","Charm","This quest will reward you with a Charm.",""
19,"SpiritDraught1","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","This quest will reward you with a Spirit Draught.",2697
20,"SpiritDraught2","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","This quest will reward you with a Spirit Draught.",2718
21,"SpiritDraught3","Art/2DItems/QuestItems/RewardSpiritDraught.dds","Spirit Draught","This quest will reward you with a Spirit Draught.",2755
22,"PrecursorTablet","Art/2DItems/QuestItems/RewardPrecursorTablet.dds","Precursor Tablet","This quest will reward you with a Precursor Tablet.",""
