"rownum","NPCsKey","MonsterVarietiesKey","SkillLevel_HeistJobsKeys","PortraitFile","HeistNPCStatsKeys","StatValues","f32","SkillLevel_Values","Name","SilhouetteFile","i32","i32","HeistNPCsKey","StatValues2","Ally_NPCsKey","ActiveNPCIcon","HeistJobsKey","Equip_AchievementItemsKeys","AOFile","rid"
0,125,49,"[0,2,6]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterPortrait",[113],[-15],1.1,"[5,3,2]","Karst, the Lockpick","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterSilhouette",4205,0,"",[-5],112,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",0,[7158],"Metadata/NPC/League/Heist/Karst/Karst.ao",45
1,126,40,"[4,7]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterPortrait","[57,106]","[1,1]",1.2,"[5,4]","Niles, the Interrogator","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterSilhouette",742,50,2,"[0,0]",113,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/NilesIcon",4,[7159],"Metadata/NPC/League/Heist/Niles/Niles.ao",46
2,127,41,"[0,1,3,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterPortrait","[108,134]","[1,5]",0.7,"[3,3,3,3]","Huck, the Soldier","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterSilhouette",739,50,0,"[0,5]",114,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/HuckIcon","",[7160],"Metadata/NPC/League/Heist/Huck/Huck.ao",47
3,128,42,"[1,3]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterPortrait",[58],[1],0.9,"[5,4]","Tibbs, the Giant","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterSilhouette",4205,0,"",[0.2],115,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/TibbsIcon",1,[7161],"Metadata/NPC/League/Heist/Tibbs/Tibbs.ao",48
4,129,43,"[2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterPortrait","[109,114]","[1,-5]",1,"[5,4]","Nenet, the Scout","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterSilhouette",741,50,6,"[0,-3]",116,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/NenetIcon",2,[7162],"Metadata/NPC/League/Heist/Nenet/Nenet.ao",49
5,130,44,"[3,5,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterPortrait","[115,56]","[10,4]",1.2,"[5,5,2]","Vinderi, the Dismantler","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterSilhouette",743,50,1,"[4,2]",117,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/VinderiIcon",3,[7163],"Metadata/NPC/League/Heist/Vinderi/Vinderi.ao",50
6,131,50,"[6,0,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterPortrait","[110,116]","[6,-4]",0.9,"[5,3,2]","Tullina, the Catburglar","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterSilhouette",740,50,3,"[4,-2]",118,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/TullinaIcon",6,[7164],"Metadata/NPC/League/Heist/Tullina/Tullina.ao",51
7,132,45,"[7,2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterPortrait","[107,111]","[1,-5]",1.1,"[5,2,3]","Gianna, the Master of Disguise","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterSilhouette",744,50,5,"[0,-5]",119,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/GiannaIcon",7,[7165],"Metadata/NPC/League/Heist/Gianna/Gianna.ao",52
8,133,46,"[8,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterPortrait","[16,117]","[25,25]",1,"[5,4]","Isla, the Engineer","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterSilhouette",4205,0,"","[5,5]",120,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/IslaIcon",8,[7166],"Metadata/NPC/League/Heist/Isla/Isla.ao",53
9,123,47,[2],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterPortrait",[],[],1,[5],"Adiyah, the Wayfinder","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterSilhouette",4205,0,"",[],141,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/AdiyahIcon",2,[],"Metadata/NPC/League/Heist/Adiyah/Adiyah.ao",""
10,121,48,[0],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterPortrait",[],[],1,[5],"Kurai, the Administrator","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterSilhouette",4205,0,"",[],142,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/KuraiIcon",0,[],"Metadata/NPC/League/Heist/Kura/Kura.ao",""
