"rownum","string","[rid]","[rid]","[rid]","[rid]","[rid]","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","string","rid","i32","bool","rid","rid","i32","i32","bool","rid","rid"
0,"MainHandAttack","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",22100,594,18603,2756,"","","",292,18763,14638,11336,18633,945,1073,14597,275,17929,17935,17934,280,454,469,"main hand",2,0,1,22380,22384,1,0,"",22105,538
1,"MainHandFakeHitForAilments","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",22100,594,18603,2756,"","","","","","","","","","","","","","","","","","","main hand fake hit ailment",2,0,1,"","",-16843010,-16843010,1,22105,538
2,"OffHandAttack","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",22101,595,18603,2756,"","","",293,18764,14638,11336,18633,945,1073,14597,276,17929,17935,17934,281,455,470,"off hand",2,1,1,22381,22385,3,0,"",22106,539
3,"OffHandFakeHitForAilments","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",22101,595,18603,2756,"","","","","","","","","","","","","","","","","","","off hand fake hit ailment",2,1,1,"","",-16843010,-16843010,1,22106,539
4,"Spell","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",22102,596,8892,2756,14104,17011,14106,102,197,"",11336,18633,945,1073,14597,2233,"","","",104,14519,2280,"spell",3,2,"",22382,22386,5,0,"","",540
5,"SpellFakeHitForAilments","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",22102,596,8892,2756,"","","","","","","","","","","","","","","","","","","spell fake hit ailment",3,2,"","","",-16843010,-16843010,1,"",540
6,"Secondary","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22103,725,8892,2756,"","","",102,197,"","","","","","","","","","",104,14519,2280,"secondary damage",4,3,"",22383,22387,7,0,"","",726
7,"SecondaryFakeHitForAilments","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22103,725,8892,2756,"","","","","","","","","","","","","","","","","","","secondary fake hit ailment",4,3,"","","",-16843010,-16843010,1,"",726
8,"SecondaryWithMainHandDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22103,725,8892,2756,"","","",292,197,14638,11336,18633,945,1073,14597,275,17929,17935,17934,280,454,469,"secondary main hand",4,3,"",22383,22387,7,0,"","",726
9,"SecondaryWithOffHandDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22103,725,8892,2756,"","","",293,197,14638,11336,18633,945,1073,14597,276,17929,17935,17934,281,455,470,"secondary off hand",4,3,"",22383,22387,7,0,"","",726
10,"SecondaryWithSpellDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22103,725,8892,2756,14104,17011,14106,102,197,"",11336,18633,945,1073,14597,2233,"","","",104,14519,2280,"secondary spell",4,3,"",22383,22387,7,0,"","",726
11,"Thorns","[20372,20373]","[20376,20377]","[20378,20379]","[20374,20375]","[20380,20381]",22104,20382,8892,2756,"","","",102,197,"","","","","","","","","","",104,14519,2280,"thorns",41,4,"",22383,22387,7,0,"","",20385
