"rownum","string","[rid]","[rid]","[rid]","rid","i32","[rid]","bool"
0,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18395,18428]",[2235],"[18863,17893]","",0,[],""
1,"fully_broken_armour_consumed_for_support_damage",[18247],[2235],[18863],"",0,[],""
2,"fully_broken_armour_consumed_to_guarantee_crit",[18248],[2235],[340],"",0,[],""
3,"fully_broken_armour_generic",[20433],[2235],[],"",0,[],""
4,"fully_broken_armour_consumed_to_trigger_battershout_explosion",[21302],[2235],[],"",0,[],""
5,"freeze_consumed_generic",[18859],[2],[],"",0,[],""
6,"freeze_consumed_to_guarantee_crit",[18817],[2],[340],"",0,[],""
7,"freeze_consumed_for_active_skill_hit_damage",[18530],[2],[19331],"",0,[],""
8,"freeze_consumed_for_active_skill_hit_damage_from_support",[20709],[2],[20710],"",0,[],""
9,"shock_consumed_generic",[18864],"[3,2386]",[],"",0,[],""
10,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15792],"[3,2386]",[18865],15790,1045220557,[],""
11,"ignite_consumed_by_elemental_discharge",[18830],[0],[],"",0,[],""
12,"freeze_consumed_by_elemental_discharge",[18830],[2],[],"",0,[],""
13,"shock_consumed_by_elemental_discharge",[18830],[3],[],"",0,[],""
14,"dazed_consumed_for_guarantee_crit",[19785],[2432],[340],"",0,[19790],""
15,"dazed_consumed_for_stun_buildup",[19786],[2432],[19787],"",0,[19790],""
16,"dazed_consumed_for_guarantee_hit",[21262],[2432],[],"",0,[],1
17,"ignite_consumed_generic",[21204],[0],[],"",0,[],""
18,"bloodstained_consumed_generic",[21516],[2635],[],"",0,[],""
19,"parry_consumed_generic",[22285],[2631],[],"",0,[],""
20,"parry_consumed_to_gain_X_frenzy_charges",[21609],[2631],[],"",0,[],""
21,"maim_consumed_to_break_%_armour",[22487],[505],[22488],"",0,[22486],""
