"rownum","Id","LimitStat","ActiveCountStat","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","rid"
0,"SpectreMinion","",3357,1,1,0,1,"",1,"","","","","",1,1,"","","",0
1,"DominatedNormalMinion",7655,7661,1,1,0,"","",1,"","","","","",1,1,"","","",0
2,"DominatedMagicMinion",7656,7662,1,1,0,"","",1,"","","","","",1,1,"","","",0
3,"DominatedRareMinion",7657,7663,1,1,0,"","",1,"","","","","",1,1,"","","",0
4,"VaalDominatedMinion",17193,17232,1,1,0,"","",1,"","","","","",1,1,"","","",0
5,"TotemMinion",21437,3295,"",1,0,"","",1,1,"","","","","",1,"","","",0
6,"TrapMinion",956,3600,"",1,0,"","",1,1,1,1,"","","",1,"","","",0
7,"ZombieMinion",743,3360,1,1,0,"","",1,"","","","","",1,1,"","","",0
8,"SkeletonMinion","",3358,1,1,0,1,"",1,"","","","","",1,1,"","","",0
9,"VaalSkeletonMinion",745,3358,1,1,0,"","",1,"","","","","",1,1,"","","",0
10,"SupportGhostMinion",7949,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
11,"RemoteMineMinion",957,3599,"",1,0,"","",1,1,"",1,"","","",1,"","","",0
12,"IncaMinion",4432,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
13,"InsectMinion",4433,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
14,"WaterElementalMinion",1179,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
15,"GenericUnlimitedMinion","","",1,1,0,1,"",1,"","","","","",1,1,"","","",0
16,"AxisSoldierMinion","","",1,1,0,1,"","","","","","","",1,1,"","","",0
17,"AnimatedArmourMinion","",7189,1,1,1,"",1,1,"","","","","",1,1,"","","",0
18,"AnimatedWeaponMinion",5526,5527,1,1,0,"",1,1,"","","","","",1,1,"","","",0
19,"RagingSpiritMinion",2087,3359,1,1,0,"","",1,"","","","","","",1,"","","",0
20,"DoubleMinion",13511,"","",1,0,"","",1,1,"","","","",1,1,"","","",0
21,"GenericUnlimitedMinionWithDrops","","",1,1,0,1,"","","","","","","",1,1,"","","",0
