"rownum","IntId","MinimapIconsKey","string","MiscAnimatedKey","f32","Id"
0,0,177,"",3079,3,"LegionRewardCurrency"
1,1,192,"",3080,3,"LegionRewardUniques"
2,2,182,"",3081,3,"LegionRewardGems"
3,3,186,"",3082,3,"LegionRewardMaps"
4,4,191,"",3083,3,"LegionRewardTrinkets"
5,5,174,"",3084,3,"LegionRewardArmour"
6,6,193,"",3085,3,"LegionRewardWeapon"
7,7,173,"",3078,3,"LegionRewardAbyss"
8,8,184,"",3087,3,"LegionRewardHarbinger"
9,9,176,"",3088,3.5,"LegionRewardBreach"
10,10,179,"",3089,3,"LegionRewardEssences"
11,11,179,"",3089,3,"LegionRewardEssences"
12,12,181,"",3090,3,"LegionRewardFragments"
13,13,189,"",3091,3,"LegionRewardScarabs"
14,14,180,"",3092,3,"LegionRewardFossils"
15,15,178,"",3094,3.5,"LegionRewardDivination"
16,16,183,"",3095,3,"LegionRewardGeneric"
17,17,190,"",3097,3,"LegionRewardTalismans"
18,18,185,"",3098,3,"LegionRewardLabyrinth"
19,19,185,"",3098,3,"LegionRewardLabyrinth2"
20,20,194,"",3099,3,"LegionRewardIncubators"
21,21,194,"",3099,3,"LegionRewardIncubators"
22,22,194,"",3099,3,"LegionRewardIncubators"
23,23,194,"",3099,3,"LegionRewardIncubators"
24,24,194,"",3099,3,"LegionRewardIncubators"
