"rownum","Id","Types","ExtraMods","TypesFiltered","PreviousTier","bool","Name","Icon","HASH16","i16","[string]","BuffTemplates","Tier","Description","[rid]","TextAudio","rid","MapStats","MapStatValues","MapMods"
0,"PlayerDebuffRecoveryReduction1",[0],[],[],[],1,"Reduced Recovery","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",5772,0,[],[0],1,"40% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate",[],13292,"",[],[],[]
1,"PlayerDebuffRecoveryReduction2",[0],[],[],[0],1,"Reduced Recovery II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",37639,0,[],[51],2,"75% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate",[],13298,"",[],[],[]
2,"PlayerDebuffAreaAndProjectileSpeed","[0,1]",[],[1],[],1,"Lessened Reach","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",50320,0,[],[1],1,"50% less Area of Effect and [Projectile] Speed",[],13175,"",[],[],[]
3,"PlayerDebuffBuffsExpireFasterDebuffsExpireSlower",[0],[],[],[],1,"Time Paradox","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",41777,0,[],[2],1,"[Buff|Buffs] expire three times faster and [Debuff|Debuffs] expire three times slower",[],13304,"",[],[],[]
4,"PlayerDebuffDefences1",[0],[],[],[],1,"Damaged Defences","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",29922,0,[],[8],1,"40% less [Defences]",[],13184,"",[],[],[]
5,"PlayerDebuffDefences2",[0],[],[],[4],1,"Damaged Defences II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",27982,0,[],[9],2,"75% less [Defences]",[],13190,"",[],[],[]
6,"PlayerDebuffResistances1",[0],[],[],[],1,"Reduced Resistances","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",16270,0,[],[6],1,"-15% to Elemental [Resistances] and -10% to [MaximumResistances|Maximum Elemental Resistances]",[],13196,"",[],[],[]
7,"PlayerDebuffResistances2",[0],[],[],[6],1,"Reduced Resistances II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",28878,0,[],[7],2,"-30% to Elemental [Resistances] and -20% to [MaximumResistances|Maximum Elemental Resistances]",[],13202,"",[],[],[]
8,"MonsterNoFlaskCharges",[0],[12460],[],[],1,"Drought","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LimitedFlasks",60990,0,[],[],1,"Monsters grant no [Flask] and [Charm] Charges on death",[],13211,"",[],[],[]
9,"PlayerDebuffIncreasingVulnerability",[0],[],[],[],1,"Escalating Damage Taken","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingDamageTaken",57621,0,[],[4],1,"In each encounter room, damage taken will slowly increase by 1% per second, up to 50%",[],13322,"",[],[],[]
10,"MonsterBuffAcceleratingSpeed",[0],[12455],[],[],1,"Monster Speed","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingMonsterSpeed",7961,0,[],[],1,"Monsters gain 20% increased [SkillSpeed|Skill Speed]",[],13328,"",[],[],[]
11,"MonsterBuffChaosDamage1",[0],[12458],[],[],1,"Chaotic Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",10109,0,[],[],1,"Monsters [Gain|gain] 20% of damage added as extra [Chaos] damage",[],13217,"",[],[],[]
12,"MonsterBuffChaosDamage2",[0],[12459],[],[11],1,"Chaotic Monsters II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",19255,0,[],[],2,"Monsters [Gain|gain] 50% of damage added as extra [Chaos] damage",[],13223,"",[],[],[]
13,"MonsterBuffCriticalStrikes1",[0],[12462],[],[],1,"Deadly Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",29938,0,[],[],1,"Monsters have 300% increased [Critical] Hit Chance",[],13229,"",[],[],[]
14,"MonsterBuffCriticalStrikes2",[0],[12461],[],[13],1,"Deadly Monsters II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",21400,0,[],[],2,"Monsters always deal [Critical] Hits",[],13229,"",[],[],[]
15,"MonsterBuffPoisonAndBleed",[0],"[12463,12464]",[],[],1,"Toxic Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",28995,0,[],[],1,"Monster [HitDamage|Hits] always inflict [Bleeding] and [Poison]",[],13238,"",[],[],[]
16,"MonsterBuffResistances",[0],[12465],[],[],1,"Resistant Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",43631,0,[],[],1,"Monsters have +40% to all [Resistances]",[],13247,"",[],[],[]
17,"MonsterBuffCannotBeSlowed",[0],"[12466,12467]",[],[],1,"Unstoppable Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnstoppableMonsters",50093,0,[],[],1,"Monsters cannot be [Slow|Slowed] or [Stun|Stunned]",[],13253,"",[],[],[]
18,"MonsterBuffEnergyShield",[0],[12468],[],[],1,"Shielding Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ShieldingMonsters",26711,0,[],[],1,"Monsters are protected by [EnergyShield|Energy Shield]",[],13259,"",[],[],[]
19,"MonsterBuffVinesOnHit",[0],[12469],[],[],1,"Entangling Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EntanglingMonsters",43195,0,[],[],1,"Monsters inflict [GraspingVines|Grasping Vines] on [HitDamage|Hit]",[],13265,"",[],[],[]
20,"MonsterBuffEnragedBosses",[0],[],[],[],1,"Enraged Bosses","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",59510,0,[],[],1,"Bosses deal more damage and take less damage",[],13274,"",[],[],[12470]
21,"MonsterBuffRareMonsterMods",[0],[12471],[],[],1,"Lethal Rare Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",3542,0,[],[],1,"[Rarity|Rare] Monsters have an additional [MonsterModifiers|Modifier]\n30% increased Rare Monsters",[],13280,"","[15386,1029]","[1,30]",[]
22,"PlayerDebuffRandomProjectileDirection","[0,1]",[6073],[1],[],1,"Random Projectiles","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ScatteredProjectiles",46286,0,[],[18],1,"Your [Projectile|Projectiles] fly in random directions\r\nMonsters fire additional [Projectile|Projectiles]",[],13316,"",[],[],[]
23,"PlayerDebuffUltimatumDealNoDamageFor2SecondEvery8Seconds",[0],[],[],[],1,"Occasional Impotence","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OccasionalImpotence",65051,0,[],[48],2,"You and your [Minion|Minions] deal no damage for 2 seconds every 8 seconds",[],13286,"",[],[],[]
24,"MonsterVolatileOnDeath",[0],[12452],[],[],1,"Volatile Fiends","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonstersSpawnVolatile",60143,0,[],[],1,"Monsters release deadly [Volatiles] on death. [Rarity|Rare] monsters leave larger ones",[],13167,"",[],[],[]
25,"BindingChainsDaemon1",[5],[],[],[],1,"Heart Tethers","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",20189,0,[],[],1,"Bloody hearts appear that apply tethers, [Slow|Slowing] you. Breaking the tether will [Stun] you",[],13086,"",[],[],[]
26,"BindingChainsDaemon2",[5],[],[],[25],1,"Heart Tethers II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",24494,0,[],[],2,"Bloody hearts appear that apply tethers, [Slow|Slowing] you. Breaking the tether will [Stun] you and cause you to become vulnerable to damage for a duration",[],13089,"",[],[],[]
27,"LightningRuneDaemon1",[5],[],[],[],1,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,0,[],[],1,"Runes will appear that will call deadly [Lightning] storms if you remain in them",[],13095,"",[],[],[]
28,"LightningRuneDaemon2",[5],[],[],[27],1,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,0,[],[],2,"Large runes will appear that will call deadly [Lightning] storms if you remain in them",[],13098,"",[],[],[]
29,"LightningRuneDaemon3",[5],[],[],[28],1,"Stormcaller Runes III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,0,[],[],3,"Many large runes will appear that will call deadly [Lightning] storms if you remain in them",[],13101,"",[],[],[]
30,"ExpandingDonutsDaemon1",[5],[],[],[],1,"Impending Doom","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ExpandingDonut",19673,0,[],[],1,"Rings of Doom appear on the ground which grow over time, exploding for [Physical] damage once they reach a maximum area",[],13104,"",[],[],[]
31,"ExpandingDonutsDaemon2",[5],[],[],[30],1,"Impending Doom II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ExpandingDonut",4737,0,[],[],2,"Rings and circles of Doom appear on the ground which grow over time, exploding for [Physical] damage once they reach a maximum area",[],13107,"",[],[],[]
32,"BloodOrbsDaemon1",[5],[],[],[],1,"Blood Globules","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodOrbs",28945,0,[],[],1,"Globules of blood manifest nearby, tracking you. When above you they will fall, dealing [Physical] damage",[],13110,"",[],[],[]
33,"BloodOrbsDaemon2",[5],[],[],[32],1,"Blood Globules II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodOrbs",29459,0,[],[],2,"Globules of blood manifest nearby, tracking you. When above you they will fall, dealing [Physical] damage and creating damaging blood ground",[],13113,"",[],[],[]
34,"OmnitectDaemon1",[6],[],[6],[],1,"Vaal Omnitect","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",13817,0,[],[],1,"An ancient Vaal machination will deploy attacks against nearby intruders",[],13074,"",[],[],[]
35,"OmnitectDaemon2",[6],[],[],[34],1,"Vaal Omnitect II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",52021,0,[],[],2,"An ancient Vaal machination will deploy an array of attacks against nearby intruders",[],13337,"",[],[],[]
36,"OmnitectDaemon3",[6],[],[],[35],1,"Vaal Omnitect III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",12621,0,[],[],3,"An ancient Vaal machination will deploy a powerful array of attacks against nearby intruders",[],13077,"",[],[],[]
37,"RotatingPyramidDaemon1",[3],[],[3],[],1,"Pyramid Beams","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LaserPyramid",59928,0,[],[],1,"Pyramid objects appear, projecting four rotating lasers that inflict [CorruptedBlood|Corrupted Blood] on Hit",[],13116,"",[],[],[]
38,"RotatingPyramidDaemon2",[3],[],[],[37],1,"Pyramid Beams II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LaserPyramid",30395,0,[],[],2,"Pyramid objects appear, projecting four fast rotating lasers that inflict [CorruptedBlood|Corrupted Blood] on Hit",[],13119,"",[],[],[]
39,"PetrificationStatues1",[4],[],[4],[],1,"Petrification Statues","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PetrificationStatues",31245,0,[],[],1,"Challenge area contains several statues that [Petrify] you if you stand within their gaze for a duration",[],13080,"",[],[],[]
40,"PetrificationStatues2",[4],[],[],[39],1,"Petrification Statues II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PetrificationStatues",7941,0,[],[],2,"Challenge area contains several statues that [Petrify] you for a long duration if you stand within their gaze for a short duration",[],13083,"",[],[],[]
41,"BloodFog1",[6],[],[],[],1,"Blood Mist","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodFog",43277,0,[],[],1,"Challenge area is enshrouded by a blood mist which makes monsters within it immune to damage",[],13122,"",[],[],[]
42,"StalkingShade1",[6],[],[6],[],1,"Stalking Shade","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StalkingShade",6475,0,[],[],1,"An invulnerable shade stalks you, inflicting Ruin with its [Melee] hits\r\nFail the Trials on reaching 7 Ruin",[],13131,"",[],[],[]
43,"StalkingShade2",[6],[],[],[42],1,"Stalking Shade II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StalkingShade",19744,0,[],[],2,"An invulnerable shade stalks you, gaining speed and inflicting Ruin with [Melee] and [Projectile] hits\r\nFail the Trials on reaching 7 Ruin",[],13134,"",[],[],[]
44,"StalkingShade3",[6],[],[],[43],1,"Stalking Shade III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StalkingShade",19963,0,[],[],3,"An invulnerable shade stalks you, gaining further speed and inflicting Ruin with powerful [Melee] and [Projectile] hits\r\nFail the Trials on reaching 7 Ruin",[],13137,"",[],[],[]
45,"FireTurrets1",[4],[],[4],[],1,"Burning Turrets","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsFire",28274,0,[],[],1,"Challenge area contains turrets that will periodically fire [Fire] [Projectile|Projectiles] ahead",[],13140,"",[],[],[]
46,"FireTurrets2",[4],[],[],[45],1,"Burning Turrets II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsFire",43161,0,[],[],2,"Challenge area contains turrets that will periodically fire barrages of [Fire] [Projectile|Projectiles] ahead",[],13143,"",[],[],[]
47,"LightningTurrets1",[4],[],[4],[],1,"Shocking Turrets","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",52422,0,[],[],1,"Challenge area contains turrets that will periodically fire [Lightning] [Projectile|Projectiles] ahead",[],13337,"",[],[],[]
48,"LightningTurrets2",[4],[],[],[47],1,"Shocking Turrets II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",27206,0,[],[],2,"Challenge area contains turrets that will periodically fire a wave of [Lightning] [Projectile|Projectiles] ahead",[],13337,"",[],[],[]
49,"SpikedGround1",[2],[],[],[],1,"Temple Traps","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",48920,0,[],[],1,"Challenge area contains spikes that deal [Physical] damage to those who step on them",[],13158,"",[],[],[]
50,"SpikedGround2",[2],[],[],[49],1,"Temple Traps II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",37629,0,[],[],2,"Challenge area contains many spikes that deal [Physical] damage to those who step on them",[],13161,"",[],[],[]
