"rownum","BaseItemType","Tier","AreaLevel"
0,2771,1,1
1,2771,2,4
2,2771,3,7
3,2771,4,11
4,2771,5,15
5,2771,6,19
6,2771,7,23
7,2771,8,27
8,2771,9,32
9,2771,10,37
10,2771,11,42
11,2771,12,47
12,2771,13,53
13,2771,14,59
14,2773,1,1
15,2773,2,35
16,2773,3,53
17,2773,4,85
18,2773,5,86
19,2773,6,87
20,2773,7,88
21,2773,8,89
22,2773,9,90
23,2773,10,91
24,2773,11,92
25,2772,1,1
26,3111,1,1
27,3111,2,4
28,3111,3,7
29,3111,4,11
30,3111,5,15
31,3111,6,19
32,3111,7,23
33,3111,8,27
34,3111,9,32
35,3111,10,37
36,3111,11,42
37,3111,12,47
38,3111,13,53
39,3111,14,59
