"rownum","string","string","string","i32","i32","[rid]","bool","string"
0,"Player","Art/2DArt/UIImages/InGame/MapLegend/ActsPlayerLocation","Current Location",44,44,"[0,1,2,3,4,5]",1,""
1,"Town","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeTown","Town",70,70,"[0,1,2,3,4,5]",1,""
2,"Unknown","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeUnknown","Unknown Area",70,70,"[0,1,2,3,4,5]",1,""
3,"ActPin","Art/2DArt/UIImages/InGame/WorldMap/AreaNode","Visited Area",70,70,"[0,1,2,3,4,5]",1,""
4,"Waypoint","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeWaypoint","Area with Inactive Waypoint",70,70,"[0,1,2,3,4,5]",1,""
5,"VisitedWaypoint","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeWaypointVisited","Area with Active Waypoint",70,70,"[0,1,2,3,4,5]",1,""
6,"Quest","Art/2DArt/UIImages/InGame/MapLegend/ActsQuestLocation","Quest Location",44,44,"[0,1,2,3,4,5]",1,""
7,"Travel","Art/2DArt/UIImages/InGame/WorldMap/TravelNode","Travel Destination",70,70,"[1,4]",1,""
8,"LandmarkRare","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonster","Rare Monster Encounter",40,40,"[0,1,2,3,4,5]","",""
9,"LandmarkRareUpgrade","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonsterUpgrade","Rare Monster Encounter with Upgrade",40,40,[],"",""
10,"LandmarkRareSanctumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonsterSanctum","Rare Monster Encounter with Djinn Barya",40,40,"[1,4]","",""
11,"LandmarkRareUltimatumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonsterUltimatum","Rare Monster Encounter with Inscribed Ultimatum",40,40,[],"",""
12,"UniqueMonster","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBoss","Boss Encounter",40,40,"[0,1,2,3,4,5]","",""
13,"UniqueMonsterUpgrade","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBossUpgrade","Boss Encounter with Upgrade",40,40,"[0,1,2,3,4,5]","",""
14,"UniqueMonsterSanctumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBossSanctum","Boss Encounter with Djinn Barya",40,40,"[1,4]","",""
15,"UniqueMonsterUltimatumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBossUltimatum","Boss Encounter with Inscribed Ultimatum",40,40,"[2,5]","",""
16,"ActBoss","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentActBoss","Act Boss Encounter",40,40,"[0,1,2,3,4,5]","",""
17,"LandmarkChest","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentChest","Notable Chest",40,40,"[0,1,2,3,4,5]","",""
18,"LandmarkLoot","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBag","Notable Item",40,40,"[0,1,2,3,4,5]","",""
19,"LandmarkCamp","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentCamp","Notable Camp",40,40,"[2,5]","",""
20,"LandmarkEvent","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentQuestionMark","Notable Event",40,40,"[2,5]","",""
21,"LandmarkEventUpgrade","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentQuestionMarkUpgrade","Notable Event with Upgrade",40,40,"[2,5]","",""
22,"EndGamePin","Art/2DArt/UIImages/InGame/MapLegend/AreaNode","[MapNode|Map Node]",50,50,[6],1,""
23,"EndGamePinAccessible","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeAccessible","Map Node (Accessible)",50,50,[6],1,""
24,"EndGamePinComplete","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeCompleted","Map Node (Complete)",50,50,[6],1,""
25,"EndGamePinFailed","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeFailed","Map Node (Failed)",50,50,[6],1,""
26,"EndGamePinCorrupted","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeCorrupted","Map Node ([ContainsCorruption|Corrupted])",50,50,[6],1,""
27,"EndGameTown","Art/2DArt/UIImages/InGame/MapLegend/Town","The Ziggurat Refuge",50,50,[6],1,""
28,"EndGameTower","Art/2DArt/UIImages/InGame/MapLegend/LostTower","[PrecursorTower|Precursor Tower]",50,50,[6],1,""
29,"EndGameRealmGate","Art/2DArt/UIImages/InGame/MapLegend/Stargate","[Realmgate|The Realmgate]",50,50,[6],1,""
30,"EndGameCopperCitadel","Art/2DArt/UIImages/InGame/MapLegend/CopperCitadel","[CopperCitadel|Copper Citadel]",50,50,[6],1,""
31,"EndGameIronCitadel","Art/2DArt/UIImages/InGame/MapLegend/IronCitadel","[IronCitadel|Iron Citadel]",50,50,[6],1,""
32,"EndGameStoneCitadel","Art/2DArt/UIImages/InGame/MapLegend/StoneCitadel","[StoneCitadel|Stone Citadel]",50,50,[6],1,""
33,"EndGameMonolith","Art/2DArt/UIImages/InGame/MapLegend/Monolith","[TheBurningMonoilth|The Burning Monolith]",50,50,[6],1,""
34,"EndGameCurrentLocation","Art/2DArt/UIImages/InGame/MapLegend/CurrentLocation","Current Location",50,50,[6],"",""
35,"EndGameStartingLocation","Art/2DArt/UIImages/InGame/MapLegend/StartingLocation","Starting Location",50,50,[6],"",""
36,"EndGameMapBoss","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentMapBoss","[MapBoss|Map Boss]",50,50,[6],"",""
37,"EndGameMonsterLevelUp","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentIrradiated","[ContainsIrradiated|Irradiated]",50,50,[6],"",""
38,"EndGameBreach","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentBreach","[ContainsBreach|Breach]",50,50,[6],"",""
39,"EndGameDelirium","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentDelirium","[ContainsDelirium|Delirium]",50,50,[6],"",""
40,"EndGameExpedition","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentExpedition","[ContainsExpedition|Expedition]",50,50,[6],"",""
41,"EndGameRitual","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentRitual","[ContainsRitual|Ritual]",50,50,[6],"",""
42,"EndGameCorrupted","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentCorruption","[ContainsCorruption|Corruption]",50,50,[6],"",""
43,"EndGameCorruptedNexus","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentCorruptionNexusNoGrowth","[CorruptedNexus|Corrupted Nexus]",50,50,[6],"",""
44,"EndGameCleansed","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentSanctification","[Cleansed]",50,50,[6],"",""
45,"EndGameUnique","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentUniqueMap","[ContainsUniqueMap|Unique Map]",50,50,[6],"",""
46,"EndGameHideout","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentHideout","[ContainsHideout|Hideout]",50,50,[6],"",""
47,"EndGameTrader","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentTrader","[ContainsWanderingTrader|Wandering Trader]",50,50,[6],"",""
