"rownum","Id","string","rid","i32","string","bool","bool","bool","bool"
0,"life","life",6,100,"Life",1,"","",""
1,"mana","mana",6,100,"Mana","","","",1
2,"spirit","spirit",6,100,"Spirit",1,"","",""
3,"energy_shield","energy shield",6,100,"Energy Shield",1,"",1,""
4,"attribute","attribute",7,100,"Attribute","","","",1
5,"dexterity","dexterity",7,100,"Dexterity",1,"","",1
6,"intelligence","intelligence",7,100,"Intelligence",1,"","",1
7,"strength","strength",7,100,"Strength",1,"","",1
8,"spell","spell",2,100,"Spell",1,1,"",""
9,"cast","cast",2,100,"Cast",1,1,"",""
10,"skill_effect","skill effect",2,100,"Skill Effect",1,"","",""
11,"aura","aura",2,100,"Aura",1,"","",""
12,"minion","minion",2,100,"Minion",1,"","",""
13,"herald","herald",2,100,"Herald",1,"","",""
14,"totem","totem",2,100,"Totem",1,"","",""
15,"curse","curse",2,100,"Curse",1,"","",""
16,"mark","mark",2,100,"Mark",1,"","",""
17,"debuff","debuff",2,100,"Debuff",1,"","",""
18,"buff_effect","buff effect",2,100,"Buff Effect",1,"","",""
19,"meta_skill","meta skill",2,100,"Meta Skill",1,"","",""
20,"trigger","trigger",2,100,"Trigger",1,"","",""
21,"link_skills","link skills",2,100,"Link Skills",1,"","",""
22,"axe","axe",1,100,"Axe",1,1,"",""
23,"bow","bow",1,100,"Bow",1,1,"",""
24,"claw","claw",1,100,"Claw",1,1,"",""
25,"crossbow","crossbow",1,100,"Crossbow",1,1,"",""
26,"dagger","dagger",1,100,"Dagger",1,1,"",""
27,"flail","flail",1,100,"Flail",1,1,"",""
28,"mace","mace",1,100,"Mace",1,1,"",""
29,"quarterstaff","quarterstaff|quarterstaves",1,100,"Quarterstaff",1,1,"",""
30,"spear","spear",1,100,"Spear",1,1,"",""
31,"sword","sword",1,100,"Sword",1,1,"",""
32,"shield","shield",1,100,"Shield",1,1,"",""
33,"trap","trap",1,100,"Trap",1,1,"",""
34,"one_handed","one handed",1,100,"One Handed",1,1,"",""
35,"two_handed","two handed",1,100,"Two Handed",1,1,"",""
36,"unarmed","unarmed",1,100,"Unarmed",1,"","",""
37,"physical","physical",0,100,"Physical",1,1,"",""
38,"elemental","elemental",0,100,"Elemental",1,1,"",""
39,"fire","fire",0,100,"Fire",1,1,"",""
