"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","Duration","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]","rid","rid","rid"
0,"Acceleration",0,"",367,0,100,368,"","",50,45,3,"",[9148],"",1,"",6156,6155,"","",[],"","",""
1,"Lightning",0,"",379,0,100,"","","",0,45,2,"",[9148],"","","",6158,6157,"","",[],"","",""
2,"Cold",0,"",378,0,100,"","","",0,45,0,"",[9148],"","","",6160,6159,"","",[],"","",""
3,"Fire",0,"",377,0,100,"","","",0,45,1,"",[9148],"","","",6162,6161,"","",[],"","",""
4,"Arc",0,"",380,0,100,"","","",0,45,2,"","[516,9148]","","","",6164,6163,"","",[],"","",""
5,"Criticals",0,"",375,0,100,376,"","",50,45,7,"",[9148],"",1,"",6166,6165,"","",[],"","",""
6,"Brutal",0,"",371,0,100,372,"","",50,45,5,"",[9148],"",1,"",6168,6167,"","",[],"","",""
7,"Thorns",0,"",373,0,100,374,"","",50,45,6,"","[519,9148]","",1,"",6170,6169,"","",[],"","",""
8,"Regen",0,1,369,0,100,370,"","",50,45,4,"",[9148],"",1,"",6172,6171,"","",[],"","",""
9,"Massive",0,"",387,0,100,388,"","",50,45,4,"",[9148],"",1,"",6174,6173,"","",[],"","",""
10,"Defence",0,"",389,0,100,390,"","",50,45,6,"",[9148],"",1,"",6176,6175,"","",[],"","",""
11,"Resistance",0,"",391,0,100,392,"","",50,45,6,"",[9148],"",1,"",6178,6177,"","",[],"","",""
12,"GodMode",0,"",393,0,100,394,"","",50,45,6,"",[9148],"",1,"",6180,6179,"","",[],"","",""
13,"Multi",0,"",384,0,100,383,"","",50,45,7,"",[9148],"",1,"",6182,6181,"","",[],"","",""
14,"Curses",0,"",386,0,100,385,"","",50,45,5,"","[526,9148]","","","",6184,6183,"","",[],"","",""
15,"Skeletons",0,"",381,0,100,"","","",0,45,8,"",[9148],"","","",6186,6185,"","",[],"","",""
16,"Smoke",0,"",382,0,100,"","","",0,45,9,"",[9148],"","","",6188,6187,"","",[],"","",""
17,"PVPAcceleration",45,"",367,0,0,"","","",0,12,3,1,[],"","","",6190,6189,"","",[],"","",""
18,"PVPRegen",45,1,369,0,0,"","","",0,12,4,1,[],"","","",6192,6191,"","",[],"","",""
19,"PVPBrutal",45,"",371,0,0,"","","",0,20,5,1,[],"","","",6194,6193,"","",[],"","",""
20,"CTFBrutal",45,"",371,0,0,"","","",0,20,5,1,[],1,"","",6196,6195,"","",[],"","",""
21,"CTFRegen",45,1,369,0,0,"","","",0,20,4,1,[],1,"","",6198,6197,"","",[],"","",""
22,"CTFMassive",45,"",387,0,0,"","","",0,20,4,1,[],1,"","",6200,6199,"","",[],"","",""
23,"CTFDefence",45,"",389,0,0,"","","",0,20,6,1,[],1,"","",6202,6201,"","",[],"","",""
24,"AccelerationLesser",0,"",396,0,1,"","","",0,20,3,"",[],"",1,1,6156,6203,"","",[],"","",""
25,"BrutalLesser",0,"",397,0,1,"","","",0,20,5,"",[],"",1,1,6168,6204,"","",[],"","",""
26,"RegenLesser",0,"",398,0,1,"","","",0,20,4,"",[],"",1,1,6172,6205,"","",[],"","",""
27,"MassiveLesser",0,"",399,0,1,"","","",0,20,4,"",[],"",1,1,6174,6206,"","",[],"","",""
28,"ResistanceLesser",0,"",400,0,1,"","","",0,20,6,"",[],"",1,1,6178,6207,"","",[],"","",""
29,"DefenceLesser",0,"",401,0,1,"","","",0,20,6,"",[],"",1,1,6176,6208,"","",[],"","",""
30,"Resonating",0,"",402,0,2,403,"","",50,45,10,"",[9148],"",1,"",6210,6209,"","",[],"","",""
31,"Gloom",0,"",404,0,2,405,"","",50,45,11,"",[9148],"",1,"",6212,6211,"","",[],"","",""
32,"RoyaleShrineAccelerating",60,"",406,0,0,"","","",0,10,3,"",[],"","","",6156,6155,1,"",[],"","",""
33,"RoyaleShrineBrutal",60,"",407,0,0,"","","",0,10,5,"",[],"","","",6168,6167,1,"",[],"","",""
34,"RoyaleShrineBurning",60,"",408,0,0,"","","",0,10,1,"",[],"","","",6162,6161,1,"",[],"","",""
35,"RoyaleShrineCharged",60,"",409,0,0,"","","",0,10,10,"",[],"","","",6210,6209,1,"",[],"","",""
36,"RoyaleShrineDiamond",60,"",410,0,0,"","","",0,10,7,"",[],"","","",6166,6165,1,"",[],"","",""
37,"RoyaleShrineEchoing",60,"",411,0,0,"","","",0,10,7,"",[],"","","",6182,6181,1,"",[],"","",""
38,"RoyaleShrineFreezing",60,"",412,0,0,"","","",0,10,0,"",[],"","","",6160,6159,1,"",[],"","",""
39,"RoyaleShrineGloom",60,"",413,0,0,"","","",0,10,11,"",[],"","","",6184,6211,1,"",[],"","",""
40,"RoyaleShrineHexing",60,"",414,0,0,"","","",0,10,5,"",[],"","","",6184,6183,1,"",[],"","",""
41,"RoyaleShrineImpenetrable",60,"",415,0,0,"","","",0,10,6,"",[],"","","",6176,6175,1,"",[],"","",""
42,"RoyaleShrineLightning",60,"",416,0,0,"","","",0,10,2,"",[],"","","",6158,6157,1,"",[],"","",""
43,"RoyaleShrineMassive",60,"",417,0,0,"","","",0,10,4,"",[],"","","",6174,6173,1,"",[],"","",""
44,"RoyaleShrineReplenishing",60,"",418,0,0,"","","",0,10,4,"",[],"","","",6172,6171,1,"",[],"","",""
45,"RoyaleShrineResistance",60,"",419,0,0,"","","",0,10,6,"",[],"","","",6178,6177,1,"",[],"","",""
46,"RoyaleShrineShrouded",60,"",420,0,0,"","","",0,10,9,"",[],"","","",6188,6187,1,"",[],"","",""
47,"RoyaleShrineStatic",60,"",421,0,0,"","","",0,10,2,"",[],"","","",6164,6163,1,"",[],"","",""
