"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool"
0,596,[7275],[6838],20,"","","","","",1
1,597,[7275],[6838],20,"","","","","",1
2,598,[7275],[6838],20,"","","","","",1
3,599,[7275],[6838],20,"","","","","",1
4,601,[7276],[],20,"","","","","",1
5,602,[7276],[],20,"","","","","",1
6,603,[7276],[],20,"","","","","",1
7,604,[7276],[],20,"","","","","",1
8,611,[7279],[],20,"","","","","",1
9,612,[7279],[],20,"","","","","",1
10,613,[7279],[],20,"","","","","",1
11,614,[7279],[],20,"","","","","",1
12,616,[7280],[],20,"","","","","",1
13,617,[7280],[],20,"","","","","",1
14,618,[7280],[],20,"","","","","",1
15,619,[7280],[],20,"","","","","",1
16,621,[7281],[],20,"","","","","",1
17,622,[7281],[],20,"","","","","",1
18,623,[7281],[],20,"","","","","",1
19,624,[7281],[],20,"","","","","",1
20,626,[7282],[],20,"","","","","",1
21,627,[7282],[],20,"","","","","",1
22,628,[7282],[],20,"","","","","",1
23,629,[7282],[],20,"","","","","",1
24,631,[7283],[],20,"","","","","",""
25,803,[10745],[6839],1,1,"","","","",""
26,804,[10746],[6839],1,1,"","","","",""
27,805,[10747],[6839],1,1,"","","","",""
28,806,[10748],"[6839,6977]",1,1,"","","","",""
29,807,[10749],[6839],2,1,"","","","",""
30,808,[10750],[6839],2,1,"","","","",""
31,809,[10751],[6839],2,1,"","","","",""
32,810,[10752],"[6839,6978]",2,1,"","","","",""
33,811,[10753],[6839],3,1,"","","","",""
34,812,[10754],[6839],3,1,"","","","",""
35,813,[10755],[6839],3,1,"","","","",""
36,814,[10756],"[6839,6979]",3,1,"","","","",""
37,815,[10757],[6839],0,1,"","","","",""
38,816,[10758],[6839],0,1,"","","","",""
39,817,[10759],[6839],0,1,"","","","",""
40,818,[10760],"[6839,6980]",0,1,"","","","",""
41,819,[10761],[6839],0,1,"","","","",""
42,820,[10762],[6839],0,1,"","","","",""
43,821,[10763],[6839],0,1,"","","","",""
44,822,[10764],[6839],0,1,"","","","",""
45,823,[10765],[6839],4,1,1,"","","",""
46,824,[10766],[6839],4,1,1,"","","",""
47,825,[10767],[6839],4,1,1,"","","",""
48,826,[10768],"[6839,6981]",4,1,1,"","","",""
49,827,[10769],[6839],5,1,"",1,"","",""
50,828,[10770],[6839],5,1,"",1,"","",""
51,829,[10771],[6839],5,1,"",1,"","",""
52,830,[10772],"[6839,6982]",5,1,"",1,"","",""
53,831,[10773],[6839],0,1,"","","","",""
54,832,[10774],[6839],0,1,"","","","",""
55,833,[10775],[6839],0,1,"","","","",""
56,834,[10776],"[6839,6983]",0,1,"","","","",""
57,835,[10777],[6839],6,1,"","","","",""
58,836,[10778],[6839],6,1,"","","","",""
59,837,[10779],[6839],6,1,"","","","",""
60,838,[10780],"[6839,6984]",6,1,"","","","",""
61,839,[10781],[6839],7,1,"","","","",""
62,840,[10782],[6839],7,1,"","","","",""
63,841,[10783],[6839],7,1,"","","","",""
64,842,[10784],"[6839,6985]",7,1,"","","","",""
65,843,[10785],[6839],8,1,"","","","",""
66,844,[10786],[6839],8,1,"","","","",""
67,845,[10787],[6839],8,1,"","","","",""
68,846,[10788],"[6839,6986]",8,1,"","","","",""
69,847,[10789],[6839],9,1,"","","","",""
70,848,[10790],[6839],9,1,"","","","",""
71,849,[10791],[6839],9,1,"","","","",""
72,850,[10792],"[6839,6987]",9,1,"","","","",""
73,851,[10793],[6839],10,1,"","","","",""
74,852,[10794],[6839],10,1,"","","","",""
75,853,[10795],[6839],10,1,"","","","",""
76,854,[10796],"[6839,6988]",10,1,"","","","",""
77,855,[10797],[6839],11,1,"","","","",""
78,856,[10798],[6839],11,1,"","","","",""
79,857,[10799],[6839],11,1,"","","","",""
80,858,[10800],"[6839,6989]",11,1,"","","","",""
81,859,[10801],[6839],12,1,"","","","",""
82,860,[10802],[6839],12,1,"","","","",""
83,861,[10803],[6839],12,1,"","","","",""
84,862,[10804],"[6839,6990]",12,1,"","","","",""
85,863,[10805],[],13,1,"","","","",""
86,864,[10806],[],13,1,"","","","",""
87,865,[10807],[],13,1,"","","","",""
88,866,[10808],[],13,1,"","","","",""
89,867,[10809],[],14,1,"","","","",""
90,868,[10810],[],14,1,"","","","",""
91,869,[10811],[],14,1,"","","","",""
92,870,[10812],[],14,1,"","","","",""
93,658,"[11166,11171]",[],15,"","","",1,"",""
94,659,"[11167,11172]",[],16,"","","",1,"",""
95,660,"[11168,11173]",[],17,"","","",1,"",""
96,661,"[11169,11174]",[],18,"","","",1,"",""
97,662,"[11170,11175]",[],19,"","","",1,"",""
98,663,"[11176,11181]",[],15,"","","",1,"",""
99,664,"[11177,11182]",[],16,"","","",1,"",""
100,665,"[11178,11183]",[],17,"","","",1,"",""
101,666,"[11179,11184]",[],18,"","","",1,"",""
102,667,"[11180,11185]",[],19,"","","",1,"",""
103,668,[7277],[],20,"","","",1,"",""
104,699,[12427],[7608],20,1,"","","",1,""
105,686,[13273],[],20,"","","",1,"",""
106,687,[13274],[],20,"","","",1,"",""
107,688,[13275],[],20,"","","",1,"",""
108,689,[13276],[],20,"","","",1,"",""
109,690,[13277],[],20,"","","",1,"",""
110,691,[13278],[],20,"","","",1,"",""
111,692,[13279],[],20,"","","",1,"",""
112,693,[13280],[],20,"","","",1,"",""
113,694,[13281],[],20,"","","",1,"",""
114,695,[13282],[],20,"","","",1,"",""
115,696,[13283],[],20,"","","",1,"",""
116,697,[13284],[],20,"","","",1,"",""
117,698,[13285],[],20,"","","",1,"",""
