"rownum","Id","IsSupport","AllowedActiveSkillTypes","SupportGemLetter","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","HASH32","CannotBeSupported","LifeLeech","CastTime","ActiveSkill","IgnoreMinionTypes","CooldownNotRecoverDuringActive","AddedMinionActiveSkillTypes","Animation","MultiPartAchievement","bool","RegularVariant","bool","i32","i32","i32","bool","StatSet","AdditionalStatSets","Audio","CostTypes","bool","[i32]","i32","SupportWeaponRestrictions"
0,"MeleePlayer","",[],"",[],[],"",3550269591,"",2,1000,648,"","",[],1,"","","","",0,1,0,"",0,[],"",[],1,[],-1,[]
1,"MeleeUnarmedPlayer","",[],"",[],[],"",4125551329,"",2,1000,737,"","",[],1,"","","","",0,1,0,"",1,[],"",[],1,[],-1,[]
2,"MeleeQuarterstaffPlayer","",[],"",[],[],"",587045433,"",2,1000,738,"","",[],1,"","","","",0,1,0,"",2,[],"",[],1,[],-1,[]
3,"MeleeFlailPlayer","",[],"",[],[],"",513383793,"",2,1000,739,"","",[],1,"","","","",0,1,0,"",3,[],"",[],1,[],-1,[]
4,"Melee1HSwordPlayer","",[],"",[],[],"",1199942645,"",2,1000,740,"","",[],1,"","","","",0,1,0,"",4,[],"",[],1,[],-1,[]
5,"MeleeSwordSwordPlayer","",[],"",[],[],"",1576730375,"",2,1000,741,"","",[],1,"","","","",0,1,0,"",5,[],"",[],1,[],-1,[]
6,"Melee2HSwordPlayer","",[],"",[],[],"",2964411355,"",2,1000,742,"","",[],1,"","","","",0,1,0,"",6,[],"",[],1,[],-1,[]
7,"Melee1HAxePlayer","",[],"",[],[],"",34030638,"",2,1000,743,"","",[],1,"","","","",0,1,0,"",7,[],"",[],1,[],-1,[]
8,"MeleeAxeAxePlayer","",[],"",[],[],"",1135508172,"",2,1000,744,"","",[],1,"","","","",0,1,0,"",8,[],"",[],1,[],-1,[]
9,"Melee2HAxePlayer","",[],"",[],[],"",541522237,"",2,1000,745,"","",[],1,"","","","",0,1,0,"",9,[],"",[],1,[],-1,[]
10,"Melee1HMacePlayer","",[],"",[],[],"",3668289510,"",2,1000,746,"","",[],1,"","","","",0,1,0,"",10,[],"",[],1,[],-1,[]
11,"MeleeMaceMacePlayer","",[],"",[],[],"",681834515,"",2,1000,747,"","",[],1,"","","","",0,1,0,"",11,[],"",[],1,[],-1,[]
12,"Melee2HMacePlayer","",[],"",[],[],"",1135232423,"",2,1000,748,"","",[],1,"","","","",0,1,0,"",12,[],"",[],1,[],-1,[]
13,"MeleeClawPlayer","",[],"",[],[],"",2692993595,"",2,1000,749,"","",[],1,"","","","",0,1,0,"",13,[],"",[],1,[],-1,[]
14,"MeleeClawClawPlayer","",[],"",[],[],"",1563352444,"",2,1000,750,"","",[],1,"","","","",0,1,0,"",14,[],"",[],1,[],-1,[]
15,"MeleeDaggerPlayer","",[],"",[],[],"",1439779049,"",2,1000,751,"","",[],1,"","","","",0,1,0,"",15,[],"",[],1,[],-1,[]
16,"MeleeDaggerDaggerPlayer","",[],"",[],[],"",4164479876,"",2,1000,752,"","",[],1,"","","","",0,1,0,"",16,[],"",[],1,[],-1,[]
17,"MeleeSpearPlayer","",[],"",[],[],"",3186418956,"",2,1000,754,"","",[],1,"","","","",0,1,0,"",17,[],"",[],1,[],-1,[]
18,"MeleeSpearOffHandPlayer","",[],"",[],[],"",2877538626,"",2,1000,753,"","",[],1,"","","","",0,1,0,"",18,[],"",[],1,[],-1,[]
19,"MeleeBowPlayer","",[],"",[],[],"",1159422192,"",2,1000,755,"","",[],413,"","","","",0,1,0,"",19,[],"",[],1,[],-1,[]
20,"MeleeCrossbowPlayer","",[],"",[],[],"",1192121993,"",2,1000,756,"","",[],413,"","","","",0,0,0,"",20,[],"",[],1,[],-1,[]
21,"PlaytestAttack","",[],"",[],[],"",1589733925,"",2,1000,757,"","",[],1,"","","","",0,1,0,"",21,[],"",[0],1,[],-1,[]
22,"PlaytestSlam","",[],"",[],[],"",893567615,"",2,1000,758,"","",[],14,"","","","",0,19,0,"",22,[],"",[0],1,[],-1,[]
23,"PlaytestSpell","",[],"",[],[],"",1975023007,"",2,1000,759,"","",[],434,"","","","",0,0,0,"",23,[24],"",[0],1,[],-1,[]
24,"DodgeRollPlayer","",[],"",[],[],"",1285784734,"",2,750,638,"","",[],255,"","","","",0,0,0,"",1049,[],"",[],1,[],-1,[]
25,"CommandCompanionPlayer","",[],"",[],[],"",384031381,"",2,700,694,"","",[],490,"","","","",0,3,0,"",27,[],"",[],1,[],-1,[]
26,"CommandUnloadAmmoPlayer","",[],"",[],[],"",2449116052,"",2,700,694,"","",[],490,"","","","",0,3,0,"",28,[],"",[],1,[],-1,[]
27,"FireboltPlayer","",[],"",[],[],"",2912824985,"",2,900,35,"","",[],725,"","","","",0,0,0,"",25,[26],"",[],1,[],-1,[]
28,"IceNovaPlayer","",[],"",[],[],"",783282587,"",2,1000,34,"","",[],288,"","","","",1,4,0,"",29,[5433],"",[0],1,[],-1,[]
29,"LeapSlamPlayer","",[],"",[],[],"",1158757118,"",2,1400,12,"","",[],14,"","","","",0,19,0,"",30,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[]
30,"ShieldChargePlayer","",[],"",[],[],"",1244402693,"",2,1000,10,"","",[],10,"","","","",0,0,0,"",31,[5436],"",[7],1,[],-1,[]
31,"DetonateDeadPlayer","",[],"",[],[],"",1720307868,"",2,800,25,"","",[],480,"","","","",0,0,0,"",32,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[]
32,"RaiseZombiePlayer","",[],"",[],[],"",3518949861,"",2,600,39,"","",[],498,"","","","",0,0,0,"",33,[],"",[0],1,[],-1,[]
33,"FlickerStrikePlayer","",[],"",[],[],"",479486538,"",2,1000,27,"","",[],228,"","","","",0,0,0,"",34,[],"",[0],1,[],-1,[]
34,"SparkPlayer","",[],"",[],[],"",784810722,"",2,700,51,"","",[],286,"","","","",0,0,0,"",35,[],"",[0],1,[],-1,[]
35,"UniqueEarthboundTriggeredSparkPlayer","",[],"",[],[],"",4119861130,"",2,700,52,"","",[],286,"","","","",0,0,0,"",36,[],"",[0],1,[],-1,[]
36,"SpearThrowPlayer","",[],"",[],[],"",2034129336,"",2,1000,651,"","",[],717,"","","","",0,0,0,"",262,[263],"",[],1,[],-1,[]
37,"SummonSpectrePlayer","",[],"",[],[],"",3136712647,"",2,850,56,"","",[],364,"","","","",0,0,0,"",37,[],"",[0],1,[],-1,[]
38,"FrostWallPlayer","",[],"",[],[],"",1436428227,"",2,800,60,"","",[],319,"","","","",0,0,0,"",38,[],"",[0],1,[],-1,[]
39,"ShockNovaPlayer","",[],"",[],[],"",3733870602,"",2,700,202,"","",[],553,"","","","",0,0,0,"",39,[],"",[],1,[],-1,[]
40,"TemporalChainsPlayer","",[],"",[],[],"",2568817950,"",2,700,65,"","",[],622,"","","","",0,0,0,"",40,[],"",[0],1,[],-1,[]
41,"EnfeeblePlayer","",[],"",[],[],"",3733505532,"",2,700,68,"","",[],483,"","","","",0,0,0,"",41,[],"",[0],1,[],-1,[]
42,"SnipersMarkPlayer","",[],"",[],[],"",2195084374,"",2,500,70,"","",[],423,"","","","",0,0,0,"",42,[],"",[0],1,[],-1,[]
43,"VulnerabilityPlayer","",[],"",[],[],"",2629204070,"",2,700,71,"","",[],482,"","","","",0,0,0,"",43,[],"",[0],1,[],-1,[]
44,"LightningWarpPlayer","",[],"",[],[],"",4268454739,"",2,500,73,"","",[],436,"","","","",0,0,0,"",44,[],"",[0],1,[],-1,[]
45,"ArmourBreakerPlayer","",[],"",[],[],"",4175507863,"",2,1000,75,"","",[],576,"","","","",0,0,0,"",45,[],"",[0],1,[],-1,[]
46,"FirestormPlayer","",[],"",[],[],"",2335476830,"",2,1400,81,"","",[],378,"","","","",4,30,0,"",46,[5680],"",[0],1,[],-1,[]
47,"FallingThunderPlayer","",[],"",[],[],"",1924535859,"",2,1000,628,"","",[],187,"","","","",0,0,0,"",47,[48],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[]
48,"PowerSiphonPlayer","",[],"",[],[],"",1765669141,"",2,700,92,"","",[],466,"","","","",1,0,0,"",49,[],"",[],1,[],-1,[]
49,"LightningArrowPlayer","",[],"",[],[],"",1125460749,"",2,1000,94,"","",[],417,"","","","",0,0,0,"",50,[350],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[]
50,"DisciplinePlayer","",[],"",[],[],"",1590703230,"",2,0,99,"","",[],"","","","","",0,0,0,"",51,[],"",[],1,[],-1,[]
51,"ShockwaveTotemPlayer","",[],"",[],[],"",2786260401,"",2,600,760,"","",[],457,"","","","",0,0,0,"",52,[],"",[0],1,[],-1,[]
52,"ShockwaveTotemQuakePlayer","",[],"",[],[],"",3824638950,"",2,600,762,"","",[],652,"","","","",0,0,0,"",53,[54],"",[],1,[],-1,[]
53,"KnifeFlipPlayer","",[],"",[],[],"",2292269449,"",2,1000,116,"","",[],232,"","","","",0,0,0,"",55,[],"",[],1,[],-1,[]
54,"ArcPlayer","",[],"",[],[],"",1358643428,"",2,1100,37,"","",[],287,"","","","",2,10,0,"",56,[],"",[0],1,[],-1,[]
55,"ArcticArmourPlayer","",[],"",[],[],"",1864998710,"",2,0,624,"","",[],329,"","","","",0,0,0,"",57,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/ArcticArmour/OnHit_ArcticArmourSG",[],1,[],-1,[]
56,"FlammabilityPlayer","",[],"",[],[],"",2994448471,"",2,700,122,"","",[],530,"","","","",0,0,0,"",58,[],"",[0],1,[],-1,[]
57,"HypothermiaPlayer","",[],"",[],[],"",1495189518,"",2,700,123,"","",[],531,"","","","",0,0,0,"",59,[],"",[0],1,[],-1,[]
58,"ConductivityPlayer","",[],"",[],[],"",836789498,"",2,700,124,"","",[],532,"","","","",0,0,0,"",60,[],"",[0],1,[],-1,[]
59,"BallLightningPlayer","",[],"",[],[],"",2166446495,"",2,1000,125,"","",[],568,"","","","",0,0,0,"",61,[],"",[0],1,[],-1,[]
60,"PurityOfFirePlayer","",[],"",[],[],"",772385188,"",2,0,141,"","",[],"","","","","",0,0,0,"",62,[],"",[],1,[],-1,[]
61,"PurityOfIcePlayer","",[],"",[],[],"",610702832,"",2,0,142,"","",[],"","","","","",0,0,0,"",63,[],"",[],1,[],-1,[]
62,"PurityOfLightningPlayer","",[],"",[],[],"",2619755682,"",2,0,143,"","",[],"","","","","",0,0,0,"",64,[],"",[],1,[],-1,[]
63,"FlameblastPlayer","",[],"",[],[],"",2484641296,"",2,250,149,"","",[],437,"","","","",0,0,0,"",65,[],"",[7],1,[],-1,[]
64,"BarragePlayer","",[],"",[],[],"",3081895918,"",2,700,156,"","",[],92,"","","","",0,0,0,"",66,[],"",[0],1,[],-1,[]
65,"BoneOfferingPlayer","",[],"",[],[],"",2875620419,"",2,600,162,"","",[],380,"","","","",0,0,0,"",67,[],"",[0],1,[],-1,[]
66,"SSMQuadrillaRockPlayer","",[],"",[],[],"",1633909526,"",2,1000,183,"","",[],"","","","","",0,0,0,"",76,[],"",[],1,[],-1,[]
67,"HeraldOfAshPlayer","",[],"",[],[],"",2046080964,"",2,0,175,"","",[],"","","","","",0,0,0,"",68,[69],"",[],1,"[1,0]",-1,[]
68,"HeraldOfIcePlayer","",[],"",[],[],"",3307984671,"",2,0,176,"","",[],"","","","","",0,0,0,"",70,[71],"",[],1,"[1,0]",-1,[]
69,"HeraldOfThunderPlayer","",[],"",[],[],"",3147048835,"",2,0,177,"","",[],"","","","","",0,0,0,"",72,[73],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],1,"[1,0]",-1,[]
70,"InfernalCryPlayer","",[],"",[],[],"",4006193803,"",2,800,439,"","",[],574,"","","","",0,0,0,"",74,[],"",[0],1,[],-1,[]
71,"InfernalCryCorpseExplosionPlayer","",[],"",[],[],"",3407489681,"",2,1000,654,"","",[],"","","","","",0,0,0,"",75,[],"",[],1,[],-1,[]
72,"MarakethUndeadPriestRollingMagma","",[],"",[],[],"",0,"",2,700,208,"","",[],377,"","","","",0,12,0,"",77,[],"",[0],1,[],-1,[]
73,"RollingMagmaPlayer","",[],"",[],[],"",1239665169,"",2,700,208,"","",[],377,"","","","",3,0,0,"",78,[],"",[0],1,[],-1,[]
74,"FrostBombPlayer","",[],"",[],[],"",1625448596,"",2,800,217,"","",[],293,"","","","",0,0,0,"",79,[],"",[0],1,[],-1,[]
75,"OrbOfStormsPlayer","",[],"",[],[],"",4031861065,"",2,800,220,"","",[],441,"","","","",0,0,0,"",80,[],"Audio/Sound Effects/Skills/4.0/Lightning/OrbOfStorms/OrbOfStorms_OnHit/OrbOfStorms_OnHitSG",[0],1,[],-1,[]
76,"EarthquakePlayer","",[],"",[],[],"",3349785682,"",2,1000,224,"","",[],517,"","","","",0,0,0,"",81,[82],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[]
