"rownum","Projectile","Variant","[rid]","i32","rid"
0,"default_ranged",0,[63],3,""
1,"default_ranged",1,[220],3,""
2,"default_ranged",2,[342],3,""
3,"default_ranged",3,[571],3,""
4,"default_ranged",4,[572],3,""
5,"default_ranged",5,[608],3,""
6,"default_ranged",6,[624],3,""
7,"default_ranged",7,[625],3,""
8,"default_ranged",8,[626],3,""
9,"default_ranged",9,[627],3,""
10,"default_ranged",10,[628],3,""
11,"default_ranged",11,[629],3,""
12,"default_ranged",12,[630],3,""
13,"default_ranged",13,[631],3,""
14,"default_ranged",14,[632],3,""
15,"default_ranged",15,[633],3,""
16,"default_ranged",16,[634],3,""
17,"default_ranged",17,[635],3,""
18,"default_ranged",18,[717],3,""
19,"default_ranged",19,[693],3,""
20,"default_ranged",20,[702],3,""
21,"default_ranged",21,[718],3,""
22,"default_ranged",22,[725],3,""
23,"default_ranged",23,[726],3,""
24,"default_ranged",24,[727],3,""
25,"default_ranged",25,[820],3,""
26,"default_ranged",26,[823],3,""
27,"default_ranged",27,[830],3,""
28,"default_ranged",28,[930],3,""
29,"default_ranged",29,[978],3,""
30,"default_ranged",30,[985],3,""
31,"default_ranged",31,[1159],3,""
32,"default_ranged",32,[1170],3,""
33,"default_ranged",33,[1171],3,""
34,"default_ranged",34,[1172],3,""
35,"default_ranged",35,[64],3,""
36,"default_ranged",36,[1361],3,""
37,"default_ranged",1000,[1531],3,""
38,"default_ranged",1001,[1534],3,""
39,"default_ranged",1002,[1574],3,""
40,"default_ranged",1003,[1667],3,""
41,"default_ranged",1004,[1673],3,""
42,"cremation_projectile",0,[382],3,""
43,"cremation_projectile",1,[382],3,""
44,"cremation_projectile",2,[425],3,""
45,"cremation_projectile",3,[429],3,""
46,"cremation_projectile",4,[383],3,""
47,"cremation_projectile",5,[1063],3,""
48,"cremation_projectile",6,[1169],3,""
49,"cremation_projectile",7,[1173],3,""
50,"soulfeast_primary",0,[1175],3,""
51,"soulfeast_secondary",0,[1176],3,""
52,"soulfeast_primary_short",0,[1177],3,""
53,"soulfeast_secondary_short",0,[1178],3,""
54,"soulfeast_primary",1,[1275],3,""
55,"soulfeast_secondary",1,[1276],3,""
56,"soulfeast_primary_short",1,[1277],3,""
57,"soulfeast_secondary_short",1,[1278],3,""
58,"igniting_flask",0,[1192],3,""
59,"spark",0,[17],3,""
60,"spark",1,[18],3,""
61,"spark",2,[19],3,""
62,"spark",3,[267],3,""
63,"spark",4,[365],3,""
64,"spark",5,[366],3,""
65,"spark",6,[17],3,""
66,"spark",7,[442],3,""
67,"spark",8,[457],3,""
68,"spark",9,[480],3,""
69,"spark",10,[493],3,""
70,"spark",11,[542],3,""
71,"spark",12,[619],3,""
72,"spark",13,[728],3,""
73,"spark",14,[735],3,""
74,"spark",15,[786],3,""
75,"spark",16,[927],3,""
76,"spark",17,[1046],3,""
77,"spark",18,[1047],3,""
78,"spark",19,[1193],3,""
79,"spark",1000,[1362],3,""
80,"spark",1001,[1366],3,""
81,"spark",1002,[1391],3,""
82,"spark",1003,[1505],3,""
83,"spark",1004,[1373],3,""
84,"spark",1005,[1367],3,""
85,"spark",1006,[1718],3,""
86,"spark",1007,[1719],3,""
87,"spark",1008,[1720],3,""
88,"spark_monster",1,[101],3,""
89,"spark_monster",2,[102],3,""
90,"spark_monster",3,[873],3,""
91,"spark_monster",4,[874],3,""
92,"spark_monster",1000,[1595],3,""
93,"spark_monster",1004,[1373],3,""
94,"spark_monster",1006,[1718],3,""
95,"spark_monster",1007,[1719],3,""
96,"spark_monster",1008,[1720],3,""
97,"spark_tornado",0,[366],3,""
98,"spark_tornado",2,[369],3,""
99,"spark_tornado",17,[367],3,""
100,"spark_tornado",18,[368],3,""
101,"spark_tornado",19,[370],3,""
102,"spark_tornado",1006,[1718],3,""
103,"spark_tornado",1007,[1719],3,""
104,"spark_tornado",1008,[1720],3,""
105,"lightning_strike_projectile",0,[34],3,""
106,"lightning_strike_projectile_lite",0,[1217],3,""
107,"lightning_strike_projectile",1,[34],3,""
108,"lightning_strike_projectile_lite",1,[1217],3,""
109,"lightning_strike_projectile",2,[1201],3,""
110,"lightning_strike_projectile_lite",2,[1201],3,""
111,"lightning_strike_projectile",3,[1266],3,""
112,"lightning_strike_projectile_lite",3,[1266],3,""
113,"lightning_strike_projectile",4,[1290],3,""
114,"lightning_strike_projectile_lite",4,[1290],3,""
115,"lightning_strike_projectile",5,[1471],3,""
116,"lightning_strike_projectile_lite",5,[1471],3,""
117,"burning_arrow",0,[67],3,""
118,"burning_arrow_vaal",0,[68],3,""
119,"burning_arrow",1,[1206],3,""
120,"burning_arrow_vaal",1,[1207],3,""
121,"eye_of_winter_ball",0,[1194],3,""
122,"eye_of_winter_ball",1,[1221],3,""
123,"eye_of_winter_ball",2,[1468],3,""
124,"eye_of_winter_ball",1000,[1383],3,""
125,"eye_of_winter_shard",0,[1195],3,""
126,"eye_of_winter_shard",1,[1222],3,""
127,"eye_of_winter_shard",2,[1469],3,""
128,"eye_of_winter_shard",1000,[1384],3,""
129,"spectral_helix",0,[1184],3,""
130,"spectral_helix",1,[1223],3,""
131,"mortar_barrage_mine",0,[740],3,""
132,"mortar_barrage_mine",1,[755],3,""
133,"mortar_barrage_mine",2,[1226],3,""
134,"cold_projectile_mine",0,[744],3,""
135,"cold_projectile_mine",1,[754],3,""
136,"cold_projectile_mine",2,[1225],3,""
137,"poisonous_concoction",0,[1229],3,""
138,"poisonous_concoction",1,[1229],3,""
139,"poisonous_concoction",2,[1229],3,""
140,"barrage_bow",0,[63],3,""
141,"barrage_bow",1,[333],3,""
142,"barrage_bow",2,[498],3,""
143,"barrage_bow",3,[556],3,""
144,"barrage_bow",4,[64],3,""
