"rownum","Item","Category","SubCategory","bool","EnabledInChallengeLeague","GoldPurchaseFee","bool"
0,2,0,0,1,1,1,""
1,16,0,0,1,1,20,""
2,11,0,0,1,1,50,""
3,15,0,0,1,1,120,""
4,14,0,0,1,1,120,""
5,3,0,0,1,1,160,""
6,42,0,0,1,1,160,""
7,7,0,0,1,1,200,""
8,26,0,0,1,1,800,""
9,8,0,0,1,1,1000,""
10,110,0,0,1,1,1000,""
11,25,0,0,1,1,1000,""
12,117,0,0,1,1,1000,""
13,6,0,0,1,1,25000,""
14,22,0,2,1,1,200,""
15,23,0,2,1,1,600,""
16,24,0,2,1,1,1000,""
17,31,0,3,1,1,4,""
18,127,0,3,1,1,12,""
19,129,0,3,1,1,100,""
20,34,0,3,1,1,100,""
21,5,0,1,1,1,250,""
22,0,0,1,1,1,500,""
23,1,0,1,1,1,500,""
24,18,0,1,1,1,750,""
25,19,0,1,1,1,1000,""
26,109,15,15,1,1,3,""
27,668,15,15,1,1,1000,""
28,93,12,12,1,1,3,""
29,632,12,12,1,1,1000,""
30,673,4,5,1,1,1000,""
31,3097,4,6,1,1,350,""
32,3098,4,6,1,1,350,""
33,3099,4,6,1,1,350,""
34,871,15,17,1,1,100,""
35,872,15,17,1,1,140,""
36,873,15,17,1,1,180,""
37,874,15,17,1,1,220,""
38,875,15,17,1,1,300,""
39,876,15,17,1,1,400,""
40,877,15,17,1,1,520,""
41,878,15,17,1,1,700,""
42,879,15,17,1,1,920,""
43,880,15,17,1,1,1000,""
44,191,12,14,1,1,100,""
45,192,12,14,1,1,100,""
46,193,12,14,1,1,100,""
47,202,12,14,1,1,160,""
48,195,12,14,1,1,260,""
49,196,12,14,1,1,260,""
50,197,12,14,1,1,260,""
51,194,12,14,1,1,360,""
52,199,12,14,1,1,560,""
53,200,12,14,1,1,560,""
54,198,12,14,1,1,960,""
55,201,12,14,1,1,1000,""
56,1206,26,26,1,1,250,""
57,1207,26,26,1,1,250,""
58,1208,26,26,1,1,250,""
59,1209,26,26,1,1,250,""
60,1205,26,26,1,1,500,""
61,57,9,9,1,1,100,""
62,58,9,9,1,1,100,""
63,59,9,9,1,1,100,""
64,63,9,9,1,1,120,""
65,68,9,9,1,1,120,""
66,61,9,9,1,1,120,""
67,62,9,9,1,1,120,""
68,60,9,9,1,1,140,""
69,65,9,9,1,1,160,""
70,66,9,9,1,1,160,""
71,64,9,9,1,1,180,""
72,67,9,9,1,1,200,""
73,69,9,10,1,1,600,""
74,70,9,10,1,1,600,""
75,71,9,10,1,1,600,""
76,80,9,10,1,1,660,""
77,73,9,10,1,1,740,""
78,74,9,10,1,1,740,""
79,75,9,10,1,1,740,""
80,72,9,10,1,1,820,""
81,77,9,10,1,1,900,""
82,78,9,10,1,1,900,""
83,76,9,10,1,1,1000,""
84,79,9,10,1,1,1000,""
85,81,9,11,1,1,1000,""
86,82,9,11,1,1,1000,""
87,83,9,11,1,1,1000,""
88,84,9,11,1,1,1000,""
89,513,29,29,1,1,100,""
90,503,29,29,1,1,250,""
91,523,29,29,1,1,750,""
92,514,29,29,1,1,100,""
93,504,29,29,1,1,250,""
94,524,29,29,1,1,750,""
95,515,29,29,1,1,100,""
96,505,29,29,1,1,250,""
97,525,29,29,1,1,750,""
98,516,29,29,1,1,100,""
99,506,29,29,1,1,250,""
100,526,29,29,1,1,750,""
101,517,29,29,1,1,125,""
102,507,29,29,1,1,350,""
103,527,29,29,1,1,1000,""
104,518,29,29,1,1,125,""
105,508,29,29,1,1,350,""
106,528,29,29,1,1,1000,""
107,522,29,29,1,1,125,""
108,512,29,29,1,1,350,""
109,532,29,29,1,1,1000,""
110,519,29,29,1,1,150,""
111,509,29,29,1,1,450,""
112,529,29,29,1,1,1000,""
113,520,29,29,1,1,150,""
114,510,29,29,1,1,450,""
115,530,29,29,1,1,1000,""
116,521,29,29,1,1,175,""
117,511,29,29,1,1,500,""
118,531,29,29,1,1,1000,""
119,533,29,30,1,1,1000,""
120,534,29,30,1,1,1000,""
121,535,29,30,1,1,1000,""
122,536,29,30,1,1,1000,""
123,3092,4,7,1,1,1000,""
124,3093,4,7,1,1,1000,""
125,3094,4,7,1,1,1000,""
126,3227,32,32,1,1,120,""
127,3228,32,32,1,1,120,""
128,3229,32,32,1,1,120,""
129,3230,32,32,1,1,120,""
130,3221,32,32,1,1,100,""
131,3222,32,32,1,1,100,""
132,3231,32,32,1,1,260,""
133,3223,32,32,1,1,260,""
134,3233,32,32,1,1,260,""
135,3234,32,32,1,1,260,""
136,3238,32,33,1,1,500,""
137,3240,32,33,1,1,500,""
138,3241,32,33,1,1,500,""
139,3239,32,33,1,1,500,""
140,3235,32,32,1,1,920,""
141,3224,32,32,1,1,920,""
142,3225,32,32,1,1,1000,""
143,3226,32,32,1,1,1000,""
144,3236,32,32,1,1,1000,""
145,3237,32,32,1,1,1000,""
146,3232,32,32,1,1,1000,""
147,546,31,31,1,1,500,""
148,537,31,31,1,1,500,""
149,538,31,31,1,1,500,""
150,539,31,31,1,1,850,""
151,540,31,31,1,1,850,""
152,541,31,31,1,1,850,""
153,542,31,31,1,1,850,""
154,543,31,31,1,1,850,""
155,544,31,31,1,1,850,""
156,547,31,31,1,1,850,""
157,548,31,31,1,1,850,""
158,549,31,31,1,1,1000,""
159,550,31,31,1,1,1000,""
160,551,31,31,1,1,1000,""
161,545,31,31,1,1,1000,""
162,559,34,34,1,1,500,""
163,553,34,34,1,1,500,""
164,557,34,34,1,1,500,""
165,558,34,34,1,1,500,""
166,552,34,34,1,1,500,""
167,556,34,34,1,1,500,""
168,555,34,34,1,1,500,""
169,554,34,34,1,1,500,""
170,560,34,34,1,1,500,""
171,562,34,34,1,1,850,""
172,561,34,34,1,1,850,""
173,686,4,8,1,1,1000,""
174,687,4,8,1,1,1000,""
175,688,4,8,1,1,1000,""
176,689,4,8,1,1,1000,""
177,690,4,8,1,1,1000,""
178,691,4,8,1,1,1000,""
179,692,4,8,1,1,1000,""
180,694,4,8,1,1,1000,""
181,695,4,8,1,1,1000,""
182,696,4,8,1,1,1000,""
183,697,4,8,1,1,1000,""
184,698,4,8,1,1,1000,""
