"rownum","RewardOffer","i32","bool","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","[rid]","rid","i32","i32","i32","rid","i32","[rid]","i32","bool"
0,0,0,"",0,0,134217728,0,3556769792,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
1,1,0,"",0,0,201326592,0,3573547008,67108864,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
2,2,0,"",0,0,201326592,0,2046820352,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
3,3,0,"",0,0,201326592,0,2264924160,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
4,4,0,"",0,0,201326592,0,3573547008,134217728,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
5,5,0,"",0,0,201326592,0,33554432,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
6,5,1,"",0,0,201326592,0,50331648,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
7,5,2,"",0,0,201326592,0,67108864,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
8,6,0,"",0,0,201326592,0,3539992576,251658240,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
9,7,0,"",0,0,201326592,0,3573547008,251658240,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
10,11,0,"",0,0,201326592,0,3539992576,268435456,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
11,12,0,"",0,0,201326592,0,3539992576,385875968,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
12,16,0,"",0,0,201326592,0,2365587456,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
13,8,0,"",0,0,201326592,0,2634022912,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
14,9,0,"",0,0,201326592,0,2684354560,369098752,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
15,10,0,"",0,0,201326592,0,3019898880,16777216,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
16,13,0,"",0,0,201326592,0,3573547008,352321536,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
17,14,0,"",0,0,201326592,0,3573547008,335544320,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
18,15,0,"",0,0,201326592,0,3573547008,335544320,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
19,17,0,"",0,0,201326592,0,3724541952,570425344,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
20,17,1,"",0,0,201326592,0,3741319168,570425344,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
21,18,0,"",0,0,201326592,0,2751463424,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
22,18,1,"",0,0,201326592,0,2768240640,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
23,18,2,"",0,0,201326592,0,2785017856,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
24,19,0,"",0,0,201326592,0,3539992576,687865856,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
25,20,0,"",0,0,201326592,0,4211081216,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
26,20,1,"",0,0,201326592,0,4227858432,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
27,20,2,"",0,0,201326592,0,4244635648,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
28,20,3,"",0,0,201326592,0,4261412864,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
29,20,4,"",0,0,201326592,0,4278190080,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
30,21,0,"",0,0,201326592,0,855638016,1090519040,16777216,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
31,22,0,"",0,0,201326592,0,3288334336,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
32,23,0,"",0,0,201326592,0,3305111552,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
33,0,0,1,0,0,201326592,0,3539992576,754974720,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
34,1,0,1,0,0,201326592,0,654311424,754974720,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
35,2,0,1,0,0,201326592,0,2046820352,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
36,3,0,1,0,0,201326592,0,2264924160,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
37,4,0,1,0,0,201326592,0,3573547008,788529152,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
38,5,0,1,0,0,201326592,0,4211081216,822083584,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
39,5,1,1,0,0,201326592,0,4261412864,822083584,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
40,5,2,1,0,0,201326592,0,4278190080,822083584,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
41,6,0,1,0,0,201326592,0,3539992576,838860800,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
42,7,0,1,0,0,201326592,0,3573547008,855638016,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
43,11,0,1,0,0,201326592,0,3539992576,889192448,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
44,16,0,1,0,0,201326592,0,2365587456,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
45,8,0,1,0,0,201326592,0,2634022912,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
46,9,0,1,0,0,201326592,0,2684354560,973078528,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
47,13,0,1,0,0,201326592,0,3539992576,922746880,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
48,14,0,1,0,0,201326592,0,3573547008,922746880,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
49,15,0,1,0,0,201326592,0,654311424,922746880,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
50,17,0,1,0,0,201326592,0,3825205248,973078528,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
51,17,1,1,0,0,201326592,0,3841982464,973078528,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
52,18,0,1,0,0,201326592,0,2801795072,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
53,18,1,1,0,0,201326592,0,2818572288,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
54,18,2,1,0,0,201326592,0,2835349504,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
55,19,0,1,0,0,201326592,0,3539992576,1073741824,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
56,20,0,1,0,0,201326592,0,4211081216,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
57,20,1,1,0,0,201326592,0,4227858432,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
58,20,2,1,0,0,201326592,0,4244635648,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
59,20,3,1,0,0,201326592,0,4261412864,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
60,20,4,1,0,0,201326592,0,4278190080,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
61,21,0,1,0,0,201326592,0,855638016,1090519040,16777216,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
62,24,0,"",0,0,201326592,0,1258291200,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
63,25,0,"",0,0,201326592,0,1275068416,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
64,26,0,"",0,0,201326592,0,1291845632,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
65,27,0,"",0,0,201326592,0,1308622848,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
66,28,0,"",0,0,201326592,0,1325400064,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
67,29,0,"",0,0,201326592,0,1342177280,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
68,30,0,"",0,0,201326592,0,1358954496,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
69,31,0,"",0,0,201326592,0,1375731712,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
70,32,0,"",0,0,201326592,0,1392508928,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
71,33,0,"",0,0,201326592,0,1409286144,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
72,34,0,"",0,0,201326592,0,1426063360,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
73,35,0,"",0,0,201326592,0,1442840576,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
74,36,0,"",0,0,201326592,0,1459617792,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
75,37,0,"",0,0,201326592,0,1476395008,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
76,38,0,"",0,0,201326592,0,1493172224,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
77,39,0,"",0,0,201326592,0,1509949440,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
78,40,0,"",0,0,201326592,0,1526726656,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
79,41,0,"",0,0,201326592,0,1543503872,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
80,42,0,"",0,0,201326592,0,1560281088,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
81,43,0,"",0,0,201326592,0,1577058304,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
82,44,0,"",0,0,201326592,0,1929379840,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
83,45,0,"",0,0,201326592,0,1929379840,1174405120,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
84,46,0,"",0,0,201326592,0,1962934272,1174405120,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
85,47,0,"",0,0,201326592,0,1979711488,1174405120,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
86,48,0,"",0,0,201326592,0,1946157056,1174405120,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
87,49,0,"",0,0,201326592,0,1996488704,1174405120,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
