"rownum","Id","Name","i32","[i32]","i32","bool","u16","bool"
0,0,"Weapon Skin",1,"[1,4,36,39,42,45]",119,1,0,""
1,1,"Shield Skin",1,"[4,39,45]",118,1,0,""
2,2,"Weapon Effect",1,"[2,5,37,40,43,46]",117,"",0,""
3,3,"Weapon Added Effect",1,"[3,6,38,41,44,47]",116,"",0,""
4,4,"Armour Skin",1,[9],125,1,0,""
5,5,"Armour Attachment",1,[10],122,"",0,""
6,6,"Helmet Skin",1,[7],127,"",0,""
7,7,"Helmet Attachment",1,"[8,21]",126,"",0,""
8,8,"Gloves Skin",1,[11],124,"",0,""
9,9,"Boots Skin",1,[12],123,"",0,""
10,10,"Footprints",1,[13],110,"",0,""
11,11,"Portal",1,[20],113,"",0,""
12,12,"Social Frame",1,[17],101,"",0,""
13,13,"Portrait",1,[16],100,"",0,""
14,14,"Pet",3,"[18,19]",112,"",0,""
15,15,"Apparition",1,[14],109,"",0,""
16,16,"Character Effect",1,[15],111,"",0,""
17,17,"Skill Gem Effect",2,[],114,"",0,""
18,18,"Dance",1,[],97,"",0,""
19,19,"Consumable",5,[],200,"",0,""
20,20,"Hideout Item",4,[],99,"",0,""
21,21,"Miscellaneous",5,[],98,"",0,""
22,22,"Helmet Skin / Attachment",1,[],124,"",0,""
23,23,"Cursor",1,[23],102,"",0,""
24,24,"Amulet Skin",1,[25],121,"",0,""
25,25,"Belt Skin",1,[24],107,"",0,""
26,26,"Flask Skin",1,"[26,27]",105,"",0,""
27,27,"Passive Jewel Skin",2,[],103,"",0,""
28,28,"Ring Skin",1,"[31,32]",120,"",0,""
29,29,"Hip Attachment",1,[33],108,"",0,""
30,30,"Alternate Charge Skin",1,[34],104,"",0,""
31,31,"Extra Effect",1,[],115,"",0,""
32,32,"Charm Effect",1,"[48,49,50,51,52,53]",106,"",0,""
33,33,"Character Skin",1,[56],110,"",0,""
