"rownum","rid","rid","[rid]","bool"
0,0,0,[411],""
1,16,0,[412],""
2,20,0,[413],""
3,3,0,[414],""
4,0,3,[414],""
5,3,3,[415],""
6,8,0,[416],""
7,4,0,[417],""
8,0,4,[417],""
9,4,4,[418],""
10,9,0,[419],""
11,5,0,[420],""
12,0,5,[420],""
13,5,5,[421],""
14,10,0,[422],""
15,14,0,[423],""
16,0,14,[423],""
17,14,14,[424],""
18,1,0,[425],""
19,0,1,[425],""
20,1,1,[426],""
21,17,21,"[428,429]",1
22,17,0,"[427,429]",""
23,6,0,[430],""
24,18,0,[431],""
25,10,10,[421],""
26,10,5,[421],""
27,5,10,[421],""
28,0,10,[420],""
29,8,8,[415],""
30,8,3,[415],""
31,3,8,[415],""
32,0,8,[414],""
33,9,9,[418],""
34,9,4,[418],""
35,4,9,[418],""
36,0,9,[417],""
