"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys","[rid]"
0,"IIQGrind",[],[1042],[],[],1,[0],[]
1,"TierGrind",[],[9475],[8050],[],1,[0],[]
2,"LeaguestoneGrind",[10],[],[],[],1,[0],[]
3,"Twinned",[3],[],[],[28],1,[0],[]
4,"RareUnid","[1,4]",[],[],[27],1,[0],[]
5,"Rare8Mod","[1,8]",[],[],[],1,[0],[]
6,"Rare8ModRed","[1,8,18]",[],"[7926,9342]",[],1,[0],[]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0],[]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0],[]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0],[]
10,"ZanaMod",[11],[],[],[],1,[0],[]
11,"CraftedMods",[12],[],[],[],1,[0],[]
12,"Corrupted",[5],[],[],[],1,[0],[]
13,"AnySextant",[21],[],[],[],1,[0],[]
14,"NemesisSextant",[22],[],[],[],1,[0],[]
15,"GroundHasteSextant",[23],[],[],[],1,[0],[]
16,"NoReflectSextant",[24],[],[],[],1,[0],[]
17,"ExtraTeamMonstersSextant",[25],[],[],[],1,[0],[]
18,"BodyguardsSextant",[26],[],[],[],1,[0],[]
19,"BarrelSextant","[27,28,29,30,31,32]",[],[],[],"",[0],[]
20,"ConvertOnDeathSextant",[33],[],[],[],1,[0],[]
21,"OnslaughtIfHitRecentlySextant",[34],[],[],[],1,[0],[]
22,"QualityAffectsRaritySextant",[35],[],[],[],1,[0],[]
23,"CorruptedDropsSextant",[36],[],[],[],1,[0],[]
24,"MinStrongboxRaritySextant",[37],[],[],[],1,[0],[]
25,"PossessedRustedScarabSextant",[38],[],[],[],1,[0],[]
26,"PossessedPolishedScarabSextant",[39],[],[],[],1,[0],[]
27,"PossessedGildedScarabSextant",[40],[],[],[],1,[0],[]
28,"PossessedUniqueDropSextant",[42],[],[],[],1,[0],[]
29,"PossessedMapDropSextant",[43],[],[],[],1,[0],[]
30,"ShrineDurationSextant",[44],[],[],[],1,[0],[]
31,"CurrencyShardSextant",[45],[],[],[],1,[0],[]
32,"VaalMonstersSextant",[46],[],[],[],1,[0],[]
33,"BeyondSextant",[47],[],[],[],1,[0],[]
34,"TormentBetrayersSextant",[48],[],[],[],1,[0],[]
35,"TormentHereticsSextant",[49],[],[],[],1,[0],[]
36,"TormentGraverobbersSextant",[50],[],[],[],1,[0],[]
37,"CorruptEssenceSextant",[51],[],[],[],1,[0],[]
38,"LegionSextant","[21,53]",[],[],[],1,[0],[]
39,"Tempest",[52],[],[],[],1,[0],[]
40,"Total10Mods",[9],[],[],[],1,[0],[]
41,"HasQuality",[54],[],[],[],1,[0],[]
42,"RareDeliriumMap","[1,55]",[],[],[],1,[0],[]
43,"RareDeliriumMapMaxDelirium","[1,56]",[],[6934],[],1,[0],[]
44,"RareDeliriumMapMaxDelirium4ModsTier16","[1,56,6,20]",[],[8610],[],1,[0],[]
45,"TwinnedMapMaxDelirium","[3,56]",[],[],[],1,[0],[]
46,"RareMapAwakening8MaxDelirium","[1,57,56]",[],[],[],1,[0],[]
47,"ElderGuardianMapMaxDelirium","[58,56]",[],[],[],1,[0],[]
48,"8ModBlightedMap","[59,73,8]",[],[8775],[],1,[0],[]
49,"UniqueMap_HallOfGrandmasters",[],[],[],[],1,[0],[]
50,"UniqueMap_WhakawairuaTuahu",[],[],"[8000,8197,8643,8833,9225]",[],1,[0],[]
51,"UniqueMap_VinktarSquare",[],[],"[8001,8198,8644,8834,9226]",[],1,[0],[]
52,"UniqueMap_VaultsOfAtziri",[],[],"[7991,8188,8634,8824,9216]",[],1,[0],[]
53,"UniqueMap_PutridCloister",[],[],"[8003,8200,8646,8836,9228]",[],1,[0],[]
54,"UniqueMap_PoorjoysAsylum",[],[],"[7995,8192,8638,8828,9220]",[],1,[0],[]
55,"UniqueMap_PerandusManor",[],[],[8007],[],1,[0],[]
56,"UniqueMap_OlmecsSanctum",[],[],"[7998,8195,8641,8831,9223]",[],1,[0],[]
57,"UniqueMap_ObasCursedTrove",[],[],"[7997,8194,8640,8830,9222]",[],1,[0],[]
58,"UniqueMap_MaoKun",[],[],"[7996,8193,8639,8829,9221]",[],1,[0],[]
59,"UniqueMap_MaelstromOfChaos",[],[],"[7992,8189,8635,8825,9217]",[],1,[0],[]
60,"UniqueMap_HallowedGround",[],[],"[8004,8201,8647,8837,9229]",[],1,[0],[]
61,"UniqueMap_DeathAndTaxes",[],[],"[7999,8196,8642,8832,9224]",[],1,[0],[]
62,"UniqueMap_CowardsTrial",[],[],"[7993,8190,8636,8826,9218]",[],1,[0],[]
63,"UniqueMap_CaerBlaidd",[],[],"[8002,8199,8645,8835,9227]",[],1,[0],[]
64,"UniqueMap_ActonsNightmare",[],[],"[7994,8191,8637,8827,9219]",[],1,[0],[]
65,"UniqueMap_DoryanisMachinarium",[],[],"[8008,8204,8650,8840,9232]",[],1,[0],[]
66,"UniqueMap_TwilightTemple",[],[],"[8005,8202,8648,8838,9230]",[],1,[0],[]
67,"UniqueMap_PillarsOfArun",[],[],"[8006,8203,8649,8839,9231]",[],1,[0],[]
