"rownum","rid","string","i32","i32","i32","i32","i32","bool"
0,6,"mid",1879048192,-939524031,-1610612671,64,23040,""
1,1,"mid",536870912,-1610612671,-1610612671,64,0,""
2,4,"mid",1879048192,-1610612671,-1610612543,64,0,""
3,5,"mid",1879048192,-1610612671,-1610612543,64,0,""
4,3,"mid",1879048192,536870977,-1610612670,64,0,""
5,9,"mid",1879048192,-268435391,-1610612543,64,0,""
6,10,"mid",1879048192,-268435391,-1610612543,64,0,""
7,8,"mid",1879048192,1207959617,-1610612670,64,0,""
8,15,"mid",1879048192,65,-1610612736,64,0,""
9,16,"mid",1879048192,-939524031,-1610612543,64,0,""
10,17,"mid",1879048192,65,-1610612736,64,0,""
11,18,"mid",1879048192,65,-1610612736,-22976,255,""
12,20,"mid",1879048192,536870977,-1610612670,64,0,""
