"rownum","string","string","string","string","string"
0,"Ranger1","Long Range","Let arrows fly from afar. Kill them before they arrive. ","Art/Videos/CharacterCreation/RangerLongRange.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureRanger1.dds"
1,"Ranger2","Agility","Shoot on the move. Jump over your enemies. Leap away from danger.","Art/Videos/CharacterCreation/RangerAgility.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureRanger2.dds"
2,"Ranger3","Crowd Control","Slow your enemies. Freeze them in place. Don't let them reach you.","Art/Videos/CharacterCreation/Ranger_Crowd.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureRanger3.dds"
3,"Huntress1","Hit and Run","Close in for the kill, then cover your retreat with a hail of spears. Don't let your enemies catch you.","Art/Videos/CharacterCreation/HuntressHitAndRun.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureHuntress1.dds"
4,"Huntress2","Savage Attacks","Blind them, bleed them, maim them. Prevail at any cost.","Art/Videos/CharacterCreation/HuntressSavageAttacks.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureHuntress2.dds"
5,"Huntress3","Primal Fury","Harness the ferocity of the wilds. Tame beasts and whip up storms.","Art/Videos/CharacterCreation/HuntressPrimalFury.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureHuntress3.dds"
6,"Warrior1","Heavy Slams","Hit hard. Slam your mace on the ground. Crack the earth.","Art/Videos/CharacterCreation/WarriorHeavySlams.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWarrior1.dds"
7,"Warrior2","Stuns and Knockback","Stun your enemies. Push them back. Knock them to the ground.","Art/Videos/CharacterCreation/WarriorStuns.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWarrior3.dds"
8,"Warrior3","Defences","Shrug off small hits with heavy armour. Block big attacks with your shield. Use your large life pool to absorb the rest.","Art/Videos/CharacterCreation/WarriorDefence.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWarrior2.dds"
9,"Sorceress1","Fire Spells","Create large explosions. Set your enemies on fire. Watch them burn.","Art/Videos/CharacterCreation/SorceressFire.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureSorceress1.dds"
10,"Sorceress2","Cold Spells","Slow your enemies down. Freeze them in place. Control their movement.","Art/Videos/CharacterCreation/SorceressCold.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureSorceress2.dds"
11,"Sorceress3","Lightning Spells","Bounce lightning around your foes. Shock them for even higher damage.","Art/Videos/CharacterCreation/SorceressLightning.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureSorceress3.dds"
12,"Witch1","Minions","Send forth armies of the dead. Command them to do your bidding.","Art/Videos/CharacterCreation/Witch_Necro.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWitch1.dds"
13,"Witch2","Chaos Magic","Let loose plague and withering afflictions. A slow but painful death.","Art/Videos/CharacterCreation/Witch_Chaos.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWitch2.dds"
14,"Witch3","Osteomancy","Spikes of bone grow at your command. A fast and deadly magic.","Art/Videos/CharacterCreation/Witch_Bone.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWitch3.dds"
15,"Monk1","Quick Strikes","Overwhelm them with a ceaseless flurry of blows. Don't let up.","Art/Videos/CharacterCreation/Monk_Quick.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMonk1.dds"
16,"Monk2","Mobility","Weave through hordes. Dodge out of danger. Close in for the kill.","Art/Videos/CharacterCreation/Monk_Mobility.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMonk2.dds"
17,"Monk3","Combos","Build up power before unleashing devastating finishers.","Art/Videos/CharacterCreation/Monk_Combo.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMonk3.dds"
18,"Mercenary1","Ammunition","Switch between varied crossbow ammunition. Adapt to enemy behaviour. Exploit their weaknesses.","Art/Videos/CharacterCreation/MercAmmunition.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMercenary1.dds"
19,"Mercenary2","Elemental Rounds","Use cold to freeze them. Use fire rounds to set them aflame. Unleash cascading lightning bolts.","Art/Videos/CharacterCreation/MercElementalRounds.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMercenary2.dds"
20,"Mercenary3","Versatile Range","Adapt to enemy behaviour. Pick them off from afar. Destroy any that get close.","Art/Videos/CharacterCreation/MercLongRange.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureMercenary3.dds"
