"rownum","Mod","Categories","DestroyAchievements"
0,4426,[3],[]
1,4433,[3],[]
2,4432,[3],[]
3,4440,[3],[]
4,4427,[0],[]
5,4428,[2],[]
6,4429,[0],[]
7,4438,[0],[]
8,4430,[2],[]
9,4431,[0],[]
10,4439,[0],[]
11,4437,[0],[]
12,4441,[0],[]
13,4425,[0],[]
14,4434,[3],[]
15,4435,[3],[]
16,4436,[3],[]
17,4392,[0],[]
18,4393,[0],[]
19,4394,[0],[]
20,4395,[0],[]
21,4396,[0],[]
22,4397,[0],[]
23,4398,[0],[]
24,4399,[0],[]
25,4400,[0],[]
26,4401,[0],[]
27,4402,[0],[]
28,4403,[1],[]
29,4404,[0],[]
30,4405,[0],[]
31,4406,[0],[]
32,4407,[1],[]
33,4408,[0],[]
34,4409,[0],[]
35,4410,[0],[]
36,4411,[0],[]
37,4412,[0],[]
38,4413,[0],[]
39,4414,[0],[]
40,4415,[0],[]
41,4416,[0],[]
42,4417,[0],[]
43,4418,[0],[]
44,4419,[0],[]
45,4420,[0],[]
46,4421,[0],[]
47,4422,[0],[]
48,4423,[0],[]
49,4424,[0],[]
