"rownum","BaseItemType","AreaLevel","Tier","Odds"
0,2771,62,14,128
1,2771,62,15,1
2,2771,63,14,128
3,2771,63,15,2
4,2771,64,14,128
5,2771,64,15,4
6,2771,65,14,128
7,2771,65,15,8
8,2771,66,14,128
9,2771,66,15,16
10,2771,66,16,1
11,2771,67,14,64
12,2771,67,15,32
13,2771,67,16,2
14,2771,68,14,8
15,2771,68,15,64
16,2771,68,16,4
17,2771,69,14,4
18,2771,69,15,128
19,2771,69,16,8
20,2771,70,15,64
21,2771,70,16,16
22,2771,70,17,1
23,2771,71,15,32
24,2771,71,16,32
25,2771,71,17,2
26,2771,72,15,8
27,2771,72,16,64
28,2771,72,17,4
29,2771,73,15,4
30,2771,73,16,128
31,2771,73,17,8
32,2771,74,16,64
33,2771,74,17,16
34,2771,74,18,1
35,2771,75,16,32
36,2771,75,17,32
37,2771,75,18,2
38,2771,76,16,8
39,2771,76,17,64
40,2771,76,18,4
41,2771,77,16,4
42,2771,77,17,128
43,2771,77,18,8
44,2771,78,17,64
45,2771,78,18,16
46,2771,78,19,1
47,2771,79,17,32
48,2771,79,18,32
49,2771,79,19,2
50,2771,80,17,8
51,2771,80,18,64
52,2771,80,19,4
53,2771,81,17,4
54,2771,81,18,128
55,2771,81,19,8
56,2771,82,18,64
57,2771,82,19,16
58,2771,82,20,1
59,2771,83,18,32
60,2771,83,19,32
61,2771,83,20,2
62,2771,84,18,8
63,2771,84,19,64
64,2771,84,20,4
65,2771,85,18,4
66,2771,85,19,128
67,2771,85,20,8
68,2771,86,19,64
69,2771,86,20,16
70,2771,87,19,32
71,2771,87,20,32
72,2771,88,19,8
73,2771,88,20,64
74,2771,89,19,4
75,2771,89,20,128
76,3111,62,14,128
77,3111,62,15,1
78,3111,63,14,128
79,3111,63,15,2
80,3111,64,14,128
81,3111,64,15,4
82,3111,65,14,128
83,3111,65,15,8
84,3111,66,14,128
85,3111,66,15,16
86,3111,66,16,1
87,3111,67,14,64
88,3111,67,15,32
89,3111,67,16,2
90,3111,68,14,8
91,3111,68,15,64
92,3111,68,16,4
93,3111,69,14,4
94,3111,69,15,128
95,3111,69,16,8
96,3111,70,15,64
97,3111,70,16,16
98,3111,70,17,1
99,3111,71,15,32
100,3111,71,16,32
101,3111,71,17,2
102,3111,72,15,8
103,3111,72,16,64
104,3111,72,17,4
105,3111,73,15,4
106,3111,73,16,128
107,3111,73,17,8
108,3111,74,16,64
109,3111,74,17,16
110,3111,74,18,1
111,3111,75,16,32
112,3111,75,17,32
113,3111,75,18,2
114,3111,76,16,8
115,3111,76,17,64
116,3111,76,18,4
117,3111,77,16,4
118,3111,77,17,128
119,3111,77,18,8
120,3111,78,17,64
121,3111,78,18,16
122,3111,78,19,1
123,3111,79,17,32
124,3111,79,18,32
125,3111,79,19,2
126,3111,80,17,8
127,3111,80,18,64
128,3111,80,19,4
129,3111,81,17,4
130,3111,81,18,128
131,3111,81,19,8
132,3111,82,18,64
133,3111,82,19,16
134,3111,82,20,1
135,3111,83,18,32
136,3111,83,19,32
137,3111,83,20,2
138,3111,84,18,8
139,3111,84,19,64
140,3111,84,20,4
141,3111,85,18,4
142,3111,85,19,128
143,3111,85,20,8
144,3111,86,19,64
145,3111,86,20,16
146,3111,87,19,32
147,3111,87,20,32
148,3111,88,19,8
149,3111,88,20,64
150,3111,89,19,4
151,3111,89,20,128
