"rownum","Id","[i32]","[i32]","VolumePercentage","i32","i32","i32","i32","[rid]","[i32]","[i32]"
0,"Tarkleigh1","[32,0,120,0,208,0,296,0,384,0,472]",[],100,0,0,1088,0,[],[],[]
1,"Tarkleigh2","[1112,0,1196,0,1280,0]",[],100,0,0,1664,0,[],[],[]
2,"Nessa1","[1680,0,1770,0,1860,0,1950,0,2040,0]",[],100,0,0,2660,0,[],[],[]
3,"Nessa2","[2676,0,2762,0,2848,0,2934,0,3020,0,3106,0,3192,0,3278]",[],100,0,0,4086,0,[],[],[]
4,"Bestel1","[4104,0,4176,0,4248,0,4320,0,4392,0,4464,0]",[],100,0,0,5064,0,[],[],[]
5,"Act1Fairgraves2","[5098,0,5210]",[],100,0,0,5458,0,[],[],[]
6,"Eramir1","[5476,0,5570,0,5664,0,5758,0,5852,0,5946,0,6040,0,6134]",[],100,0,0,6894,0,[],[],[]
7,"Eramir2","[6912,0,6990,0,7068,0,7146,0]",[],100,0,0,7600,0,[],[],[]
8,"Yeena1","[7616,0,7698,0,7780,0,7862,0,7944,0,8026,0,8108,0,8190,0,8272,0,8354,0,8436,0]",[],100,0,0,9596,0,[],[],[]
9,"Yeena2","[9612,0,9690,0,9768,0,9846,0,9924,0,10002,0,10080,0,10158,0,10236,0,10314]",[],100,0,0,11246,0,[],[],[]
10,"Greust1","[11264,0,11358,0,11452,0,11546,0,11640,0,11734,0,11828,0,11922,0]",[],100,0,0,12896,0,[],[],[]
11,"Greust2","[12914,0,13012,0,13110,0,13208,0,13306,0,13404,0,13502]","[2,2,2,4,4,4,3,3,3,3,4,4,4]",100,0,0,14344,0,[],[],[]
12,"Silk1","[14358,0,14426,0,14494,0,14562,0,14630,0,14698,0,14766,0,14834,0,14902,0,14970,0,15038,0]",[],100,0,0,16030,0,[],[],[]
13,"Silk1b","[14562,0,14630,0,14698,0,14766,0,14834,0]",[],100,0,0,16126,0,[],[],[]
14,"Hargan1","[16144,0,16216,0,16288,0,16360,0,16432,0,16504,0]",[],100,0,0,17104,0,[],[],[]
15,"Hargan2","[17122,0,17192,0,17264,0,17348,0,17432,0,17516]",[],100,0,0,18108,0,[],[],[]
16,"Act3Dialla1","[18134,0,18206,0,18280,0]",[],100,0,0,18616,0,[],[],[]
17,"Act3Dialla2","[18642,0,18714,0,18786,0,18858,0,18930,0,19014]",[],100,0,0,19606,0,[],[],[]
18,"Maramoa1","[19626,0,19716,0,19806,0,19896,0,19986,0,20076,0,20166,0,20256,0,20346,0,20436,0,20526,0]",[],100,0,0,21782,0,[],[],[]
19,"Maramoa2","[21802,0,21896,0,21990,0,22084,0,22178,0,22272,0,22366,0,22460,0,22554,0,22648,0,22742]",[],100,0,0,23944,0,[],[],[]
20,"Grigor1","[23962,0,24034,0,24106,0,24178]",[],100,0,0,24522,0,[],[],[]
21,"Grigor2","[24540,0,24614,0,24688,0,24762,0]",[],100,0,0,25190,0,[],[],[]
22,"Clarissa1","[25212,0,25302,0,25392,0,25482,0,25572]",[],100,0,0,26094,0,[],[],[]
23,"Clarissa2","[26116,0,26190,0,26266,0,26342]",[],100,0,0,26702,0,[],[],[]
