"rownum","Id","Projectile","bool","bool","bool","i32","bool"
0,0,13,"","","",0,""
1,1,35,"","","",0,""
2,2,77,"","","",0,""
3,3,92,"","","",0,""
4,4,77,"","","",0,""
5,5,98,"","","",0,""
6,6,20,"","","",0,""
7,7,103,"","","",0,""
8,8,122,"","","",0,""
9,9,63,"","","",0,""
10,10,130,"","","",0,""
11,11,131,"","","",0,""
12,12,145,"","","",0,""
13,13,166,"","","",0,""
14,14,211,"","","",0,""
15,15,232,"","","",0,""
16,16,282,"","","",0,""
17,17,283,"","","",0,""
18,18,289,"","","",0,""
19,19,216,"","","",0,""
20,20,272,"","","",0,""
21,21,309,"","","",0,""
22,22,126,"","","",0,""
23,23,273,"","","",0,""
24,24,328,"","","",0,""
25,25,327,"","","",0,""
26,26,334,"","","",0,""
27,27,384,"","","",0,""
28,28,405,"","","",0,""
29,29,414,"","","",0,""
30,30,434,"","","",0,""
31,31,443,"","","",0,""
32,32,444,"","","",0,""
33,33,445,"","","",0,""
34,34,446,"","","",0,""
35,35,447,"","","",0,""
36,36,448,"","","",0,""
37,37,450,"","","",0,""
38,38,453,"","","",0,""
39,39,539,"","","",0,""
40,40,540,"","","",0,""
41,41,541,"","","",0,""
42,42,571,"","","",0,""
43,43,561,"","","",0,""
44,44,583,"","","",0,""
45,45,507,1,"","",0,""
46,46,578,"","","",0,""
47,47,584,"","","",0,""
48,48,587,"","","",0,""
49,49,588,"","","",0,""
50,50,585,"","","",0,""
51,51,596,"","","",0,""
52,52,601,"","","",0,""
53,53,604,"","","",0,""
54,54,609,"","","",0,""
55,55,618,"","","",0,""
56,56,624,"","","",0,""
57,57,625,"","","",0,""
58,58,626,"","","",0,""
59,59,627,"","","",0,""
60,60,628,"","","",0,""
61,61,629,"","","",0,""
62,62,630,"","","",0,""
63,63,631,"","","",0,""
64,64,632,"","","",0,""
65,65,633,"","","",0,""
66,66,634,"","","",0,""
67,67,635,"","","",0,""
68,68,563,"","","",0,""
69,69,677,"","","",0,""
70,70,678,1,1,"",0,""
71,71,695,"","","",0,""
72,72,686,1,"","",0,""
73,73,702,"","","",0,""
74,74,682,"","","",0,""
75,75,685,1,"","",0,""
76,76,720,"","","",0,""
77,77,609,"","","",0,""
78,78,703,"","","",0,""
79,79,704,"","","",0,""
80,80,565,"","","",0,""
81,81,567,"","","",0,""
82,82,785,"","","",0,""
83,85,811,1,"","",0,""
84,86,813,"","","",0,""
85,87,816,1,"","",10,""
86,88,817,1,"","",0,""
87,91,822,"",1,"",0,""
88,92,825,"","","",0,""
89,93,826,1,"","",0,""
90,96,832,1,"","",10,""
91,97,834,1,"","",5,""
92,98,835,1,"","",5,""
93,99,852,1,"","",5,""
94,100,854,"","","",0,""
95,101,855,1,"","",0,""
96,102,859,1,"","",0,""
97,103,867,1,"","",0,""
98,104,853,1,"","",0,""
99,105,880,"","","",0,""
100,106,872,"","","",0,""
101,107,885,"","","",0,""
102,108,888,"","","",0,""
103,109,892,"","","",0,""
104,110,899,1,"","",0,""
105,111,903,"","","",0,""
106,112,906,"","","",0,""
107,113,907,1,"","",7,""
108,114,929,"","","",0,""
109,115,931,"","","",0,""
110,116,132,"","","",0,""
111,117,936,1,"","",60,""
112,118,232,"","","",0,""
113,119,937,1,"","",100,""
114,120,955,"","","",0,""
115,121,950,"",1,"",0,""
116,122,958,"","","",0,""
117,123,951,"",1,"",0,""
118,124,963,"","","",0,""
119,125,964,"","","",0,""
120,126,965,"",1,"",0,""
121,127,971,"","","",0,""
122,128,949,"",1,"",0,""
123,129,1003,"","","",0,""
124,130,1004,"","","",0,""
125,131,1005,"","","",0,""
126,132,1006,"","","",0,""
127,133,1003,"","","",0,""
128,134,1004,"","","",0,""
129,135,1007,"",1,"",0,""
130,136,1008,"",1,"",0,""
131,137,1024,"","","",0,""
132,138,1032,"","","",0,""
133,139,111,1,"","",0,""
134,140,1053,1,"","",0,""
135,141,1160,"","",1,0,""
136,142,1161,"","",1,0,""
137,143,1166,1,"","",0,""
138,144,1179,"","","",0,""
139,145,1180,"",1,"",0,""
140,146,1181,"",1,"",0,""
141,147,1189,"","","",0,""
142,148,1190,"","","",0,""
143,149,1191,"","","",0,""
144,150,1205,"","","",0,""
145,151,1213,"","","",0,""
146,152,1214,"","","",0,""
147,153,1218,1,"","",0,""
148,154,1237,"","","",0,""
149,155,1239,"","","",0,""
150,156,1238,"","","",0,""
151,157,21,"","","",0,""
152,158,618,"","","",0,""
153,159,703,"","","",0,""
154,160,1633,"","","",0,""
155,161,1635,"","","",10,""
156,1000,1071,1,"","",15,1
157,1001,1079,"","","",0,""
158,1002,1072,"","","",15,""
159,1003,1073,"","","",15,""
160,1004,1074,"","","",15,""
161,1005,1075,"","","",15,""
162,1006,1076,"","","",15,""
163,1007,1097,"","","",0,""
164,1008,1097,"","","",0,""
165,1010,1097,"","","",0,""
166,1011,1097,"","","",0,""
167,1012,1097,"","","",0,""
168,1014,98,"","","",0,""
169,1015,98,"","","",0,""
170,1016,1101,"",1,"",0,""
171,1017,1102,"","","",0,""
172,1018,1114,1,"","",0,""
173,1019,1118,1,"","",100,""
174,1020,1125,1,"","",40,""
175,1021,1131,"",1,"",0,""
176,1022,1130,"",1,"",0,""
177,1023,1134,"",1,"",0,""
178,1024,1135,"","",1,0,""
179,1025,1153,"",1,"",0,""
180,1026,1303,1,"","",0,""
181,1028,384,"","","",0,""
182,1029,384,"","","",0,""
183,1030,1331,"",1,"",15,""
184,1031,1338,"","","",0,""
185,1032,1342,"",1,"",0,""
186,1033,1088,1,"","",10,""
187,1034,1355,1,"","",0,""
188,1035,1356,"","","",0,""
189,1036,1315,"","","",0,""
190,1037,1400,"","","",0,""
191,1038,1409,"","","",0,""
192,1039,1412,1,"","",10,""
193,1041,1416,1,"","",0,""
194,1042,1417,1,"","",0,""
195,1043,1401,1,"","",7,""
196,1044,1403,"","","",0,""
197,1045,1404,"","","",0,""
198,1046,1400,"","","",0,""
199,1047,1421,"","","",0,""
200,1048,1424,"","","",15,""
201,1049,1078,"","","",15,""
202,1050,1365,"","","",10,""
203,1051,1426,"","","",0,""
204,1052,1447,"","","",0,""
205,1053,1448,1,"","",0,""
206,1054,1449,1,"","",35,""
207,1055,1450,"","","",0,""
208,1056,1451,"","","",0,""
209,1057,1453,"","","",0,""
210,1058,1454,1,"","",18,""
211,1059,1455,1,"","",18,""
