"rownum","Id","[string]"
0,"StandardRules",[]
1,"ArenaPVPRules",[]
2,"MapRoomRules",[]
3,"MapAreaRules",[]
4,"MonstersRepeatedChargesRules",[]
5,"CTFPVPRules",[]
6,"FreeForAllRules",[]
7,"MissionMapRules",[]
8,"HideoutDemoRules",[]
9,"HideoutRules",[]
10,"BeyondRules",[]
11,"PlayersRepeatedCurseRules",[]
12,"RampageRules",[]
13,"FreeForAllTourneyRules",[]
14,"BreachRules",[]
15,"BreachMapRules",[]
16,"PathOfEnduranceRules",[]
17,"FirstAreaTutorialRules",[]
18,"AbyssRules",[]
19,"AbyssLichFightRules",[]
20,"InfluenceAmbushRules",[]
21,"BestiaryTigerFightRules",[]
22,"MenagerieRules",[]
23,"RoyaleRules",[]
24,"IncursionRules",[]
25,"IncursionTempleRules",[]
26,"DelveAboveRules",[]
27,"DelveBelowRules",[]
28,"MissionBeastCatcherRules",[]
29,"MissionBeastCatcherBossRules",[]
30,"MissionHideoutRules",[]
31,"JobAssassinationRules",[]
32,"JobRaidRules",[]
33,"JobEscortRules",[]
34,"JobSiegeRules",[]
35,"JobSafehouseRules",[]
36,"ProtoVaalMapRules",[]
37,"BetrayalAreaRules",[]
38,"BetrayalCatarinaRules",[]
39,"LegionRules",[]
40,"BlightRules",[]
41,"BlightEndGameRules",[]
42,"AfflictionEncounterRules",[]
43,"AfflictionEndGameRules",[]
44,"AfflictionMapRules",[]
45,"HarvestRules",[]
46,"HeistHubRules",[]
47,"HeistContractRules",[]
48,"HeistCoinRules",[]
49,"GrandHeistRules",[]
50,"RitualRules","[""倀刀甀氀攀猀""]"
51,"UltimatumRules","[""VPRules""]"
52,"HarvestBossRules",[]
53,"ExpeditionRules",[]
54,"SynthesisDecayRules",[]
55,"SeethingHideoutRules",[]
56,"BreachMemoryLineRules",[]
57,"ExcursionMemoryLineRules",[]
58,"PlayerHarbingerRules",[]
59,"AbyssScourgeRules",[]
60,"UNUSED_PlayerTormentRules",[]
61,"SanctumRules",[]
62,"SanctumAirlockRules",[]
63,"AfflictionHideoutRules",[]
64,"AtlasHideoutRules",[]
65,"PolarityRules",[]
66,"FriendlyFireRules",[]
67,"AncestralTrialRules",[]
68,"EinharHuntQuestRules",[]
69,"SanctumHubRules",[]
70,"OuterWastesAmbushRules",[]
71,"WaterCartEscortRules",[]
72,"FirstAreaTutorialMobileRules",[]
73,"DPADTutorialMobileRules",[]
74,"CaravanRules",[]
75,"WaveSprayRules",[]
76,"PrisonWaterRules",[]
77,"SailAwayRules",[]
78,"WobblePointRules",[]
79,"BeastSquareRules",[]
80,"UltimatumAirlockRules",[]
81,"AncestralOmenRules",[]
82,"VoodooKingFightRules",[]
83,"EssenceBossRules",[]
84,"AzmeriRules",[]
85,"CastawayMapRules",[]
86,"TempestRules",[]
87,"LakeMapRules",[]
88,"TormentPathingRules",[]
89,"SentinelRandomEncounterRules",[]
90,"KillTrackingRules",[]
