"rownum","rid","i32","f32","i32","bool"
0,2336,320,21,1065562931,""
1,2337,400,27,1065562931,""
2,2341,400,27,1065562931,""
3,2343,320,21,1065562931,""
4,2344,400,27,1065562931,""
5,2345,320,21,1065562931,""
6,2346,400,27,1065562931,""
7,2347,320,21,1065562931,""
8,2338,320,21,1065562931,""
9,2349,400,27,1065562931,1
10,2350,400,27,1065562931,""
11,2351,400,27,1065562931,""
12,2352,400,27,1065562931,""
13,2353,400,27,1065562931,""
14,2354,400,27,1065562931,""
15,2355,290,19,1065562931,""
16,2356,290,19,1065562931,""
17,2357,290,19,1065562931,""
18,2358,290,19,1065562931,""
19,2359,290,19,1065562931,""
20,2360,290,19,1065562931,""
21,2361,280,19,1065562931,""
22,2362,280,19,1065562931,""
23,2363,280,19,1065562931,""
24,2364,280,19,1065562931,""
25,2365,280,19,1065562931,""
26,2366,280,19,1065562931,""
27,2367,280,19,1065562931,""
28,2368,280,19,1065562931,""
29,2369,280,19,1065562931,""
30,2370,280,19,1065562931,""
31,2371,280,19,1065562931,""
32,2372,280,19,1065562931,""
33,2373,290,19,1065562931,1
34,2374,290,19,1065562931,""
35,2375,290,19,1065562931,""
36,2376,290,19,1065562931,""
37,2377,290,19,1065562931,""
38,2378,1000,0,1065604874,""
39,2379,3000,0,1065604874,1
40,2380,2000,0,1065604874,""
41,2381,1600,0,1065604874,""
