"rownum","BaseItemType","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","RecoveryTime2","BuffDefinition","i32","UtilityBuff"
0,2281,"Lesser Life Flask",1,50,0,30,30,"",0,[]
1,2282,"Medium Life Flask",1,90,0,50,50,"",0,[]
2,2283,"Greater Life Flask",1,150,0,40,40,"",0,[]
3,2284,"Grand Life Flask",1,260,0,50,50,"",0,[]
4,2285,"Giant Life Flask",1,340,0,40,40,"",0,[]
5,2286,"Colossal Life Flask",1,450,0,40,40,"",0,[]
6,2287,"Gargantuan Life Flask",1,710,0,50,50,"",0,[]
7,2288,"Transcendent Life Flask",1,840,0,40,40,"",0,[]
8,2289,"Ultimate Life Flask",1,920,0,30,30,"",0,[]
9,2290,"Lesser Mana Flask",2,0,50,20,20,"",0,[]
10,2291,"Medium Mana Flask",2,0,70,30,30,"",0,[]
11,2292,"Greater Mana Flask",2,0,90,25,25,"",0,[]
12,2293,"Grand Mana Flask",2,0,110,25,25,"",0,[]
13,2294,"Giant Mana Flask",2,0,165,35,35,"",0,[]
14,2295,"Colossal Mana Flask",2,0,165,25,25,"",0,[]
15,2296,"Gargantuan Mana Flask",2,0,185,20,20,"",0,[]
16,2297,"Transcendent Mana Flask",2,0,285,35,35,"",0,[]
17,2298,"Ultimate Mana Flask",2,0,310,30,30,"",0,[]
18,2299,"Thawing Charm",3,0,0,30,30,"",0,[1]
19,2300,"Staunching Charm",3,0,0,30,30,"",0,[0]
20,2301,"Antidote Charm",3,0,0,30,30,"",0,[4]
21,2302,"Dousing Charm",3,0,0,30,30,"",0,[2]
22,2303,"Grounding Charm",3,0,0,30,30,"",0,[3]
23,2304,"Stone Charm",3,0,0,25,25,"",0,[5]
24,2305,"Silver Charm",3,0,0,30,30,"",0,[6]
25,2306,"Ruby Charm",3,0,0,40,40,"",0,[7]
26,2307,"Sapphire Charm",3,0,0,40,40,"",0,[8]
27,2308,"Topaz Charm",3,0,0,40,40,"",0,[9]
28,2309,"Amethyst Charm",3,0,0,40,40,"",0,[10]
29,2310,"Golden Charm",3,0,0,10,10,"",0,[11]
